Tool,Count
web browser,117
search engine,111
calculator,43
image recognition,25
pdf viewer,16
spreadsheet,15
none,10
video,6
python,5
file system,5
ocr,4
wikipedia,4
audio,3
youtube,3
color recognition,3
speech-to-text,3
computer vision,2
google maps,2
jsonld file access,1
unlambdcompiler (optional),1
text processing/diff tool,1
"the internet archive, webarchiveorg",1
xml file access,1
counter,1
code/datanalysis tools,1
word document access,1
word reversal tool / script,1
tool to extract text from images,1
google translate access,1
markdown,1
gif parsing tools,1
bass note data,1
powerpoint viewer,1
xlsx file access,1
computer algebrsystem,1
text editor,1
csv file access,1
spreadsheet editor,1
c++ compiler,1
natural language processor,1
graph interaction tools,1
bablyonian cuniform -> arabic legend,1
academic journal websites,1
rubik's cube model,1
