step_id,memory,thought,action,task,feedback,location,description,inventory,score,reward,is_done,error
0,,,,The dinner is almost ready! It's only missing a grilled half of a bag of chips.,,Bedroom,"You are in a bedroom. A normal kind of place.

A closed chest drawer is in the room. You see an antique trunk. You can see a king-size bed. However, the king-size bed, like an empty king-size bed, has nothing on it.

There is a closed wooden door leading east.",You are carrying nothing.,0 of 8,0.0,False,
1,"- I am in the bedroom.
- There is a closed chest drawer and an antique trunk in the bedroom.
- There is a closed wooden door leading east.
- The dinner needs a grilled half of a bag of chips.",I should go east through the wooden door to explore more rooms where I might find the chips or a grill.,go east,,You have to open the wooden door first.,Bedroom,"You are in a bedroom. A normal kind of place.

A closed chest drawer is in the room. You see an antique trunk. You can see a king-size bed. However, the king-size bed, like an empty king-size bed, has nothing on it.

There is a closed wooden door leading east.",You are carrying nothing.,0 of 8,0.0,False,
2,"- I am in the bedroom.
- There is a closed chest drawer and an antique trunk in the bedroom.
- There is a closed wooden door leading east.
- The dinner needs a grilled half of a bag of chips.
- The wooden door leading east is closed and must be opened before going through.",I should open the wooden door to the east before trying to go through it.,open wooden door,,You have to unlock the wooden door with the old key first.,Bedroom,"You are in a bedroom. A normal kind of place.

A closed chest drawer is in the room. You see an antique trunk. You can see a king-size bed. However, the king-size bed, like an empty king-size bed, has nothing on it.

There is a closed wooden door leading east.",You are carrying nothing.,0 of 8,0.0,False,
3,"- I am in the bedroom.
- There is a closed chest drawer and an antique trunk in the bedroom.
- There is a closed wooden door leading east that is locked.
- The door must be unlocked with an old key before it can be opened.
- I am carrying nothing.
- The dinner needs a grilled half of a bag of chips.",I should search the bedroom for the old key to unlock the door.,open chest drawer,,You open the chest drawer.,Bedroom,"You are in a bedroom. A normal kind of place.

An open chest drawer is in the room. What a letdown! The chest drawer is empty! You see an antique trunk. You can see a king-size bed. However, the king-size bed, like an empty king-size bed, has nothing on it.

There is a closed wooden door leading east.",You are carrying nothing.,0 of 8,0.0,False,
4,"- I am in the bedroom.
- The chest drawer is open and empty.
- There is an antique trunk in the bedroom.
- The wooden door leading east is locked and requires an old key to unlock.
- I am carrying nothing.
- The dinner needs a grilled half of a bag of chips.","Since the chest drawer is empty, I should examine or open the antique trunk to look for the old key.",open antique trunk,,"You open the antique trunk, revealing an old key.


Your score has just gone up by one point.",Bedroom,"You are in a bedroom. A normal kind of place.

An open chest drawer is in the room. What a letdown! The chest drawer is empty! You see an antique trunk. The antique trunk contains an old key. You check the price tag that the antique trunk's owner still hasn't taken off. Ninety big ones?! That's ridiculous! You know, I got a friend who could get you one of those for 50 bucks! You can see a king-size bed. However, the king-size bed, like an empty king-size bed, has nothing on it.

There is a closed wooden door leading east.",You are carrying nothing.,1 of 8,0.125,False,
5,"- I am in the bedroom.
- The chest drawer is open and empty.
- The antique trunk is open and contains an old key.
- The wooden door leading east is locked and requires the old key to unlock.
- I am carrying nothing.
- The dinner needs a grilled half of a bag of chips.",I should take the old key from the antique trunk to unlock the wooden door.,take old key from antique trunk,,"You take the old key from the antique trunk.



Your score has just gone up by one point.",Bedroom,"You are in a bedroom. A normal kind of place.

An open chest drawer is in the room. What a letdown! The chest drawer is empty! You see an antique trunk. The antique trunk is empty! What a waste of a day! You can see a king-size bed. However, the king-size bed, like an empty king-size bed, has nothing on it.

There is a closed wooden door leading east.",You are carrying: an old key.,2 of 8,0.25,False,
6,"- I am in the bedroom.
- The chest drawer is open and empty.
- The antique trunk is open and empty.
- I am carrying an old key.
- The wooden door leading east is locked and requires the old key to unlock.
- The dinner needs a grilled half of a bag of chips.",I should unlock the wooden door with the old key to be able to open it and go east.,unlock wooden door with old key,,"You unlock wooden door.


Your score has just gone up by one point.",Bedroom,"You are in a bedroom. A normal kind of place.

An open chest drawer is in the room. What a letdown! The chest drawer is empty! You see an antique trunk. The antique trunk is empty! What a waste of a day! You can see a king-size bed. However, the king-size bed, like an empty king-size bed, has nothing on it.

There is a closed wooden door leading east.",You are carrying: an old key.,3 of 8,0.375,False,
7,"- I am in the bedroom.
- The wooden door leading east is unlocked but still closed.
- I am carrying an old key.
- The chest drawer and antique trunk are empty.
- The dinner needs a grilled half of a bag of chips.",I should open the now unlocked wooden door to go east.,open wooden door,,"You open wooden door.


Your score has just gone up by one point.",Bedroom,"You are in a bedroom. A normal kind of place.

An open chest drawer is in the room. What a letdown! The chest drawer is empty! You see an antique trunk. The antique trunk is empty! What a waste of a day! You can see a king-size bed. However, the king-size bed, like an empty king-size bed, has nothing on it.

There is an open wooden door leading east.",You are carrying: an old key.,4 of 8,0.5,False,
8,"- I am in the bedroom.
- The wooden door leading east is open.
- I am carrying an old key.
- The chest drawer and antique trunk are empty.
- The dinner needs a grilled half of a bag of chips.",I should go east through the open wooden door to continue the task.,go east,,"You are in a kitchen. A standard one.

You can make out a refrigerator. You can make out a counter. The counter is typical. But the thing is empty, unfortunately. You can see a stove. The stove is ordinary. But the thing hasn't got anything on it. You lean against the wall, inadvertently pressing a secret button. The wall opens up to reveal a kitchen island. The kitchen island is standard. On the kitchen island you can make out a note.

There is a closed screen door leading east. There is an open wooden door leading west. There is an unguarded exit to the north. You need an unguarded exit? You should try going south.



Your score has just gone up by one point.",Kitchen,"You are in a kitchen. A standard one.

You can make out a refrigerator. You can make out a counter. The counter is typical. But the thing is empty, unfortunately. You can see a stove. The stove is ordinary. But the thing hasn't got anything on it. You lean against the wall, inadvertently pressing a secret button. The wall opens up to reveal a kitchen island. The kitchen island is standard. On the kitchen island you can make out a note.

There is a closed screen door leading east. There is an open wooden door leading west. There is an unguarded exit to the north. You need an unguarded exit? You should try going south.",You are carrying: an old key.,5 of 8,0.625,False,
9,"- I am in the kitchen.
- The kitchen has a refrigerator, counter, stove, and a secret kitchen island with a note.
- There is a closed screen door leading east.
- There is an unguarded exit to the north and a suggestion to try going south.
- I am carrying an old key.
- The dinner needs a grilled half of a bag of chips.",I should examine the note on the kitchen island to gather more information.,examine note on kitchen island,,I only understood you as far as wanting to examine the note.,Kitchen,"You are in a kitchen. A standard one.

You can make out a refrigerator. You can make out a counter. The counter is typical. But the thing is empty, unfortunately. You can see a stove. The stove is ordinary. But the thing hasn't got anything on it. You lean against the wall, inadvertently pressing a secret button. The wall opens up to reveal a kitchen island. The kitchen island is standard. On the kitchen island you can make out a note.

There is a closed screen door leading east. There is an open wooden door leading west. There is an unguarded exit to the north. You need an unguarded exit? You should try going south.",You are carrying: an old key.,5 of 8,0.625,False,
