step_id,memory,thought,action,task,feedback,location,description,inventory,score,reward,is_done,error
0,,,,The dinner is almost ready! It's only missing a grilled bell pepper.,,Bedroom,"You're now in a bedroom. You decide to start listing off everything you see in the room, as if you were in a text adventure.

Look out! It's a- oh, never mind, it's just a chest drawer. I mean, just wow! Isn't TextWorld just the best? You can see an antique trunk. You idly wonder how they came up with the name TextWorld for this place. It's pretty fitting. You can make out a king-size bed. Wow, isn't TextWorld just the best? But the thing is empty. It would have been so cool if there was stuff on the king-size bed.

There is a closed wooden door leading east.",You are carrying nothing.,0 of 1,0.0,False,
1,"- Current location is the bedroom.
- There is a closed wooden door leading east.
- The bedroom contains an antique trunk and a king-size bed.
- The goal is to grill a bell pepper for dinner.",I need to find a bell pepper and a way to grill it. I should start by leaving the bedroom through the door to the east to explore other rooms.,go east,,You have to open the wooden door first.,Bedroom,"You're now in a bedroom. You decide to start listing off everything you see in the room, as if you were in a text adventure.

Look out! It's a- oh, never mind, it's just a chest drawer. I mean, just wow! Isn't TextWorld just the best? You can see an antique trunk. You idly wonder how they came up with the name TextWorld for this place. It's pretty fitting. You can make out a king-size bed. Wow, isn't TextWorld just the best? But the thing is empty. It would have been so cool if there was stuff on the king-size bed.

There is a closed wooden door leading east.",You are carrying nothing.,0 of 1,0.0,False,
2,"- Current location is the bedroom.
- There is a closed wooden door leading east that must be opened before going through.
- The bedroom contains an antique trunk and a king-size bed.
- The goal is to grill a bell pepper for dinner.",I need to open the wooden door to the east before I can go through it.,open wooden door,,You have to unlock the wooden door with the old key first.,Bedroom,"You're now in a bedroom. You decide to start listing off everything you see in the room, as if you were in a text adventure.

Look out! It's a- oh, never mind, it's just a chest drawer. I mean, just wow! Isn't TextWorld just the best? You can see an antique trunk. You idly wonder how they came up with the name TextWorld for this place. It's pretty fitting. You can make out a king-size bed. Wow, isn't TextWorld just the best? But the thing is empty. It would have been so cool if there was stuff on the king-size bed.

There is a closed wooden door leading east.",You are carrying nothing.,0 of 1,0.0,False,
3,"- Current location is the bedroom.
- The wooden door to the east is closed and locked.
- The door must be unlocked with an old key before it can be opened.
- The bedroom contains an antique trunk and a king-size bed.
- The goal is to grill a bell pepper for dinner.
- I do not have the old key yet.","I need to find the old key to unlock the door. I should look around the bedroom more carefully, especially the antique trunk, to see if the key is there.",open antique trunk,,You open the antique trunk.,Bedroom,"You're now in a bedroom. You decide to start listing off everything you see in the room, as if you were in a text adventure.

Look out! It's a- oh, never mind, it's just a chest drawer. I mean, just wow! Isn't TextWorld just the best? You can see an antique trunk. You idly wonder how they came up with the name TextWorld for this place. It's pretty fitting. The antique trunk is empty! What a waste of a day! You can make out a king-size bed. Wow, isn't TextWorld just the best? But the thing is empty. It would have been so cool if there was stuff on the king-size bed.

There is a closed wooden door leading east.",You are carrying nothing.,0 of 1,0.0,False,
4,"- Current location is the bedroom.
- The wooden door to the east is closed and locked.
- The door must be unlocked with an old key before it can be opened.
- The antique trunk in the bedroom is empty.
- The bedroom contains a king-size bed which is empty.
- I do not have the old key yet.
- The goal is to grill a bell pepper for dinner.","Since the antique trunk is empty and the bed is empty, I should check the chest drawer mentioned in the room description for the old key.",open chest drawer,,"You open the chest drawer, revealing an old key.",Bedroom,"You're now in a bedroom. You decide to start listing off everything you see in the room, as if you were in a text adventure.

Look out! It's a- oh, never mind, it's just a chest drawer. I mean, just wow! Isn't TextWorld just the best? The chest drawer contains an old key. You can see an antique trunk. You idly wonder how they came up with the name TextWorld for this place. It's pretty fitting. The antique trunk is empty! What a waste of a day! You can make out a king-size bed. Wow, isn't TextWorld just the best? But the thing is empty. It would have been so cool if there was stuff on the king-size bed.

There is a closed wooden door leading east.",You are carrying nothing.,0 of 1,0.0,False,
5,"- Current location is the bedroom.
- The chest drawer contains an old key.
- The wooden door to the east is closed and locked.
- The door must be unlocked with the old key before it can be opened.
- The antique trunk and king-size bed are empty.
- The goal is to grill a bell pepper for dinner.","I should take the old key from the chest drawer, then unlock and open the wooden door to the east.",take old key from chest drawer,,You take the old key from the chest drawer.,Bedroom,"You're now in a bedroom. You decide to start listing off everything you see in the room, as if you were in a text adventure.

Look out! It's a- oh, never mind, it's just a chest drawer. I mean, just wow! Isn't TextWorld just the best? The chest drawer is empty! This is the worst thing that could possibly happen, ever! You can see an antique trunk. You idly wonder how they came up with the name TextWorld for this place. It's pretty fitting. The antique trunk is empty! What a waste of a day! You can make out a king-size bed. Wow, isn't TextWorld just the best? But the thing is empty. It would have been so cool if there was stuff on the king-size bed.

There is a closed wooden door leading east.",You are carrying: an old key.,0 of 1,0.0,False,
6,"- I am carrying an old key.
- The wooden door to the east is closed and locked.
- The door must be unlocked with the old key before it can be opened.
- The goal is to grill a bell pepper for dinner.",I should unlock the wooden door with the old key and then open it to proceed east.,unlock wooden door with old key,,You unlock wooden door.,Bedroom,"You're now in a bedroom. You decide to start listing off everything you see in the room, as if you were in a text adventure.

Look out! It's a- oh, never mind, it's just a chest drawer. I mean, just wow! Isn't TextWorld just the best? The chest drawer is empty! This is the worst thing that could possibly happen, ever! You can see an antique trunk. You idly wonder how they came up with the name TextWorld for this place. It's pretty fitting. The antique trunk is empty! What a waste of a day! You can make out a king-size bed. Wow, isn't TextWorld just the best? But the thing is empty. It would have been so cool if there was stuff on the king-size bed.

There is a closed wooden door leading east.",You are carrying: an old key.,0 of 1,0.0,False,
7,"- The wooden door to the east is now unlocked.
- The door is still closed.
- I am carrying an old key.
- The goal is to grill a bell pepper for dinner.",I should open the now unlocked wooden door to go east.,open wooden door,,You open wooden door.,Bedroom,"You're now in a bedroom. You decide to start listing off everything you see in the room, as if you were in a text adventure.

Look out! It's a- oh, never mind, it's just a chest drawer. I mean, just wow! Isn't TextWorld just the best? The chest drawer is empty! This is the worst thing that could possibly happen, ever! You can see an antique trunk. You idly wonder how they came up with the name TextWorld for this place. It's pretty fitting. The antique trunk is empty! What a waste of a day! You can make out a king-size bed. Wow, isn't TextWorld just the best? But the thing is empty. It would have been so cool if there was stuff on the king-size bed.

There is an open wooden door leading east.",You are carrying: an old key.,0 of 1,0.0,False,
8,"- The wooden door to the east is now open.
- I am carrying an old key.
- The goal is to grill a bell pepper for dinner.",I should go east through the open wooden door to continue my search for a bell pepper to grill.,go east,,"You arrive in a kitchen. A normal one.

You see a refrigerator. You see a counter. Wow, isn't TextWorld just the best? Unfortunately, there isn't a thing on it. Look out! It's a- oh, never mind, it's just a stove. The stove is normal. But the thing is empty, unfortunately. Oh! Why couldn't there just be stuff on it? You make out a kitchen island. The kitchen island is typical. On the kitchen island you make out a note.

There is a closed screen door leading east. There is an open wooden door leading west. You need an unblocked exit? You should try going north. You need an unblocked exit? You should try going south.",Kitchen,"You arrive in a kitchen. A normal one.

You see a refrigerator. You see a counter. Wow, isn't TextWorld just the best? Unfortunately, there isn't a thing on it. Look out! It's a- oh, never mind, it's just a stove. The stove is normal. But the thing is empty, unfortunately. Oh! Why couldn't there just be stuff on it? You make out a kitchen island. The kitchen island is typical. On the kitchen island you make out a note.

There is a closed screen door leading east. There is an open wooden door leading west. You need an unblocked exit? You should try going north. You need an unblocked exit? You should try going south.",You are carrying: an old key.,0 of 1,0.0,False,
9,"- I am in the kitchen.
- The kitchen has a refrigerator, counter, stove, and a kitchen island with a note on it.
- The stove is empty.
- There is a closed screen door leading east.
- There is an open wooden door leading west.
- There are possible exits north and south.
- I am carrying an old key.
- The goal is to grill a bell pepper for dinner.",I should examine the note on the kitchen island to see if it provides any useful information or clues.,examine note,,The dinner is almost ready! It's only missing a grilled bell pepper.,Kitchen,"You arrive in a kitchen. A normal one.

You see a refrigerator. You see a counter. Wow, isn't TextWorld just the best? Unfortunately, there isn't a thing on it. Look out! It's a- oh, never mind, it's just a stove. The stove is normal. But the thing is empty, unfortunately. Oh! Why couldn't there just be stuff on it? You make out a kitchen island. The kitchen island is typical. On the kitchen island you make out a note.

There is a closed screen door leading east. There is an open wooden door leading west. You need an unblocked exit? You should try going north. You need an unblocked exit? You should try going south.",You are carrying: an old key.,0 of 1,0.0,False,
