agent_name,model_name,eval_name,episode,task,success,reward,steps,max_steps,solution_steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,start_time,end_time,total_time,reward_per_step,reward_per_token,error,stop_time
truncate-0,gpt-4.1-mini,tw-cooking-1,1,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.5,20,20,6,27238,594,27832,0.0217904,0.0019008000000000002,0.023691200000000003,1763804055.5425656,,11.642280101776123,0.025,1.796493245185398e-05,,1763804087.1848457
truncate-0,gpt-4.1-mini,tw-cooking-1,2,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.5,20,20,6,27513,759,28272,0.0220104,0.0024288,0.0244392,1763804088.4596822,,24.11116909980774,0.025,1.7685342388228637e-05,,1763804132.5708513
truncate-0,gpt-4.1-mini,tw-cooking-1,3,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.5,20,20,4,28570,555,29125,0.022856,0.0017760000000000002,0.024632,1763804133.7851477,,16.62403631210327,0.025,1.7167381974248926e-05,,1763804170.409184
truncate-0,gpt-4.1-mini,tw-cooking-1,4,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.5,20,20,4,26326,654,26980,0.0210608,0.0020928,0.0231536,1763804171.6982377,,17.72677755355835,0.025,1.8532246108228318e-05,,1763804209.4250152
truncate-0,gpt-4.1-mini,tw-cooking-1,5,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",True,1.0,6,20,4,7865,161,8026,0.006292000000000001,0.0005152000000000001,0.006807200000000001,1763804210.6979337,,2.568118095397949,0.16666666666666666,0.000124595066035385,,1763804219.2660518
truncate-0,gpt-4.1-mini,tw-cooking-1,6,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",True,1.0,10,20,4,14086,309,14395,0.0112688,0.0009888,0.0122576,1763804220.570804,,6.702483892440796,0.1,6.946856547412296e-05,,1763804237.273288
truncate-0,gpt-4.1-mini,tw-cooking-1,7,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",True,1.0,4,20,4,5236,105,5341,0.0041888,0.00033600000000000004,0.004524800000000001,1763804238.5261986,,2.671738386154175,0.25,0.0001872308556450103,,1763804245.197937
truncate-0,gpt-4.1-mini,tw-cooking-1,8,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",True,1.0,4,20,4,5654,106,5760,0.004523200000000001,0.0003392,0.004862400000000001,1763804246.457051,,1.2571368217468262,0.25,0.00017361111111111112,,1763804251.7141879
truncate-0,gpt-4.1-mini,tw-cooking-1,9,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.5,20,20,6,27323,654,27977,0.0218584,0.0020928,0.0239512,1763804252.9998894,,13.401362895965576,0.025,1.7871823283411373e-05,,1763804286.4012523
truncate-0,gpt-4.1-mini,tw-cooking-1,10,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",True,1.0,3,20,4,4120,75,4195,0.0032960000000000003,0.00023999999999999998,0.003536,1763804287.6754696,,2.1728127002716064,0.3333333333333333,0.00023837902264600716,,1763804292.8482823
