level,sublevel,average_depth,count
1,1,4.0,10
1,2,5.0,10
1,3,5.6,10
1,4,6.0,10
1,5,6.4,10
1,6,8.0,10
1,7,9.4,10
1,8,9.4,10
1,9,10.4,10
1,10,16.0,10
1,11,20.2,10
2,1,4.0,10
2,2,5.4,10
2,3,6.0,10
2,4,7.4,10
2,5,8.0,10
2,6,9.1,10
2,7,12.0,10
2,8,15.2,10
2,9,19.2,10
2,10,20.2,10
2,11,31.0,10
2,12,34.7,10
3,1,4.0,10
3,2,6.2,10
3,3,6.5,10
3,4,7.0,10
3,5,8.6,10
3,6,10.0,10
3,7,11.7,10
3,8,16.0,10
3,9,20.9,10
3,10,26.9,10
3,11,27.7,10
3,12,38.3,10
3,13,48.4,10
4,1,4.0,10
4,2,6.5,10
4,3,7.2,10
4,4,7.5,10
4,5,8.0,10
4,6,10.4,10
4,7,12.0,10
4,8,14.5,10
4,9,20.0,10
4,10,26.7,10
4,11,34.7,10
4,12,35.6,10
4,13,49.5,10
4,14,59.0,10
5,1,4.0,10
5,2,7.3,10
5,3,8.0,10
5,4,8.1,10
5,5,8.4,10
5,6,9.0,10
5,7,13.0,10
5,8,14.0,10
5,9,16.8,10
5,10,24.0,10
5,11,31.9,10
5,12,41.9,10
5,13,42.9,10
5,14,59.2,10
5,15,68.5,10
