level,sublevel,average_depth,count
1,1,4.0,1
1,2,5.0,1
1,3,5.0,1
1,4,8.0,1
1,5,6.0,1
1,6,9.0,1
1,7,9.0,1
1,8,9.0,1
1,9,10.0,1
1,10,17.0,1
1,11,17.0,1
2,1,4.0,1
2,2,5.0,1
2,3,6.0,1
2,4,7.0,1
2,5,12.0,1
2,6,8.0,1
2,7,13.0,1
2,8,15.0,1
2,9,19.0,1
2,10,21.0,1
2,11,21.0,1
2,12,21.0,1
3,1,4.0,1
3,2,5.0,1
3,3,6.0,1
3,4,7.0,1
3,5,9.0,1
3,6,16.0,1
3,7,10.0,1
3,8,18.0,1
3,9,21.0,1
3,10,27.0,1
3,11,28.0,1
3,12,49.0,1
3,13,49.0,1
4,1,4.0,1
4,2,5.0,1
4,3,6.0,1
4,4,7.0,1
4,5,8.0,1
4,6,10.0,1
4,7,20.0,1
4,8,12.0,1
4,9,23.0,1
4,10,26.0,1
4,11,34.0,1
4,12,36.0,1
4,13,44.0,1
4,14,55.0,1
5,1,4.0,1
5,2,5.0,1
5,3,7.0,1
5,4,8.0,1
5,5,8.0,1
5,6,9.0,1
5,7,13.0,1
5,8,24.0,1
5,9,14.0,1
5,10,27.0,1
5,11,32.0,1
5,12,42.0,1
5,13,44.0,1
5,14,72.0,1
5,15,83.0,1
