agent_name,model_name,eval_name,tasks,successes,failures,errors,accuracy,total_reward,total_steps,input_tokens,output_tokens,total_tokens,avg_reward_per_task,avg_reward_per_step,avg_reward_per_token
human,gpt-4.1-mini,textworld-1,1,3.0,0,0,3.0,3.0,10,0,0,0,3.0,0.3,0.0
human,gpt-4.1-mini,textworld-1,1,1.0,0,0,1.0,1.0,12,0,0,0,1.0,0.0833333333333333,0.0
react,gpt-4.1,coin-game-10,10,10.0,0,0,1.0,10.0,151,278113,3340,281453,1.0,0.0662251655629139,3.552991085545366e-05
react,gpt-4.1,cooking-game-1,1,1.0,0,0,1.0,1.0,30,55052,797,55849,1.0,0.0333333333333333,1.790542355279414e-05
react,gpt-4.1,cooking-game-10,10,9.527272727272727,0,0,0.9527272727272728,9.527272727272727,414,1035094,12508,1047602,0.9527272727272728,0.0230127360562143,9.094362866119698e-06
react,gpt-4.1,treasure-game-10,10,10.0,0,0,1.0,10.0,58,71137,1395,72532,1.0,0.1724137931034483,0.00013787018143715876
react,gpt-4.1-mini,coin-game-1,1,1.0,0,0,1.0,1.0,2,1290,62,1352,1.0,0.5,0.0007396449704142
react,gpt-4.1-mini,coin-game-1,1,1.0,0,0,1.0,1.0,2,1290,67,1357,1.0,0.5,0.0007369196757553
react,gpt-4.1-mini,coin-game-10,10,10.0,0,0,1.0,10.0,79,84711,1941,86652,1.0,0.1265822784810126,0.0001154041453168
react,gpt-4.1-mini,coin-game-10,10,8.0,2,0,0.8,8.0,171,306188,3883,310071,0.8,0.0467836257309941,2.5800542456405143e-05
react,gpt-4.1-mini,cooking-game-1,1,0.2727272727272727,0,0,0.2727272727272727,0.2727272727272727,25,43369,851,44220,0.2727272727272727,0.0109090909090909,6.167509559639817e-06
react,gpt-4.1-mini,cooking-game-1,1,0.2727272727272727,0,0,0.2727272727272727,0.2727272727272727,12,15866,465,16331,0.2727272727272727,0.0227272727272727,1.6699973836707655e-05
react,gpt-4.1-mini,cooking-game-10,10,3.3818181818181823,0,0,0.3381818181818182,3.3818181818181823,500,1432048,16387,1448435,0.3381818181818182,0.0067636363636363,2.334808384096064e-06
react,gpt-4.1-mini,simple-game-1,1,1.0,0,0,1.0,1.0,8,8250,159,8409,1.0,0.125,0.0001189202045427
react,gpt-4.1-mini,simple-game-10,10,10.0,0,0,1.0,10.0,104,126455,2600,129055,1.0,0.0961538461538461,7.748634303204061e-05
react,gpt-4.1-mini,simple-game-10,10,10.0,0,0,1.0,10.0,105,129219,2792,132011,1.0,0.0952380952380952,7.575126315231306e-05
react,gpt-4.1-mini,textworld-1,1,1.0,0,0,1.0,1.0,17,23826,402,24228,1.0,0.0588235294117647,4.127455836222553e-05
react,gpt-4.1-mini,textworld-1,1,1.0,0,0,1.0,1.0,15,20313,349,20662,1.0,0.0666666666666666,4.839802536056529e-05
react,gpt-4.1-mini,textworld-4,4,3.2727272727272725,0,0,0.8181818181818181,3.2727272727272725,44,54788,1211,55999,0.8181818181818181,0.0743801652892561,5.844260205945236e-05
react,gpt-4.1-mini,treasure-game-1,1,1.0,0,0,1.0,1.0,3,3380,113,3493,1.0,0.3333333333333333,0.0002862868594331
react,gpt-4.1-mini,treasure-game-10,10,10.0,0,0,1.0,10.0,60,75352,1710,77062,1.0,0.1666666666666666,0.0001297656432482
