agent_name,model_name,eval_name,chunk_size,tasks,successes,failures,errors,accuracy,total_reward,total_steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,total_time,avg_reward_per_task,avg_reward_per_step,avg_reward_per_token
react-c1,gpt-4.1-mini,simple-qa-10,1,10,6.0,4,0,0.6,6.0,128,336821,8987,345808,0.2694568,0.0287584,0.2982152,415.99580550193787,0.6,0.046875,1.7350668579095913e-05
react-c1,gpt-4.1-mini,simple-qa-100,1,100,56.0,44,1,0.56,56.0,1313,3860931,88957,3949888,3.0887448,0.2846624,3.3734071999999995,3686.350863218308,0.56,0.0426504188880426,1.4177617188132929e-05
react-c10,gpt-4.1-mini,simple-qa-10,10,10,8.0,2,0,0.8,8.0,60,212340,4715,217055,0.169872,0.015088,0.18496,170.45674514770508,0.8,0.1333333333333333,3.685701780654673e-05
react-c10,gpt-4.1-mini,simple-qa-100,10,100,82.0,18,0,0.82,82.0,537,2496184,39357,2535541,1.9969472,0.1259424,2.1228896,1777.599868774414,0.82,0.1527001862197393,3.2340238237125725e-05
react-c11,gpt-4.1-mini,simple-qa-100,11,100,75.0,25,0,0.75,75.0,498,2432536,35862,2468398,1.9460288,0.1147584,2.0607872,1912.4625103473663,0.75,0.1506024096385542,3.038407906666591e-05
react-c12,gpt-4.1-mini,simple-qa-100,12,100,75.0,25,1,0.75,75.0,460,1777519,32975,1810494,1.4220152,0.10552,1.5275352000000002,1440.2548813819883,0.75,0.1630434782608695,4.142515799555259e-05
react-c13,gpt-4.1-mini,simple-qa-100,13,100,80.0,20,0,0.8,80.0,488,2468370,35345,2503715,1.974696,0.113104,2.0878,1866.9528222084043,0.8,0.1639344262295081,3.195251855742367e-05
react-c14,gpt-4.1-mini,simple-qa-100,14,100,78.0,22,0,0.78,78.0,484,2475302,35225,2510527,1.9802416000000005,0.11272,2.0929616,1779.1178302764893,0.78,0.1611570247933884,3.106917392244736e-05
react-c15,gpt-4.1-mini,simple-qa-100,15,100,83.0,17,0,0.83,83.0,492,2663294,35535,2698829,2.1306352000000004,0.11371200000000002,2.2443472000000004,1919.8174743652344,0.83,0.16869918699186992,3.0754078898663086e-05
react-c2,gpt-4.1-mini,simple-qa-10,2,10,5.0,5,1,0.5,5.0,84,232236,6325,238561,0.1857888,0.02024,0.2060288,472.0770819187164,0.5,0.0595238095238095,2.09590000041918e-05
react-c2,gpt-4.1-mini,simple-qa-100,2,100,70.0,30,1,0.7,70.0,924,3189744,64697,3254441,2.5517952000000004,0.2070304,2.7588256000000007,2511.2500026226044,0.7,0.0757575757575757,2.1509070221276097e-05
react-c3,gpt-4.1-mini,simple-qa-10,3,10,6.0,4,1,0.6,6.0,89,340317,6624,346941,0.2722536,0.0211968,0.2934504,290.6168370246887,0.6,0.0674157303370786,1.7294006761956643e-05
react-c3,gpt-4.1-mini,simple-qa-100,3,100,74.0,26,1,0.74,74.0,783,2962646,55741,3018387,2.370116800000001,0.1783712,2.5484880000000003,2201.094933748245,0.74,0.0945083014048531,2.4516405616642267e-05
react-c4,gpt-4.1-mini,simple-qa-10,4,10,7.0,3,0,0.7,7.0,76,285327,5813,291140,0.2282616,0.0186016,0.2468632,251.70480489730835,0.7,0.0921052631578947,2.4043415538915987e-05
react-c4,gpt-4.1-mini,simple-qa-100,4,100,72.0,28,2,0.72,72.0,686,2703769,48475,2752244,2.1630152,0.15512,2.318135200000001,2029.9290435314176,0.72,0.1049562682215743,2.616047123728856e-05
react-c5,gpt-4.1-mini,simple-qa-10,5,10,7.0,3,0,0.7,7.0,70,207880,5497,213377,0.166304,0.0175904,0.1838944,223.47820115089417,0.7,0.1,3.280578506586933e-05
react-c5,gpt-4.1-mini,simple-qa-100,5,100,73.0,27,0,0.73,73.0,638,2516004,45159,2561163,2.0128032,0.1445088,2.157312,1929.974417448044,0.73,0.1144200626959247,2.8502676323217227e-05
react-c6,gpt-4.1-mini,simple-qa-10,6,10,5.0,5,0,0.5,5.0,70,242779,5522,248301,0.1942232,0.0176704,0.2118936,258.8640420436859,0.5,0.0714285714285714,2.0136850032823066e-05
react-c6,gpt-4.1-mini,simple-qa-100,6,100,76.0,24,1,0.76,76.0,564,2098643,40244,2138887,1.6789144,0.1287808,1.8076952,7399.512951374054,0.76,0.1347517730496454,3.553249891181722e-05
react-c7,gpt-4.1-mini,simple-qa-10,7,10,5.0,5,0,0.5,5.0,76,477056,5824,482880,0.3816448,0.0186368,0.4002816,367.6833913326264,0.5,0.0657894736842105,1.035453943008615e-05
react-c7,gpt-4.1-mini,simple-qa-100,7,100,71.0,29,0,0.71,71.0,566,2321581,41567,2363148,1.8572648,0.1330144,1.9902792,1622.55721783638,0.71,0.1254416961130742,3.004466922935e-05
react-c8,gpt-4.1-mini,simple-qa-10,8,10,6.0,4,0,0.6,6.0,61,205145,4848,209993,0.1641159999999999,0.0155136,0.1796296,190.3161399364472,0.6,0.0983606557377049,2.857238098412804e-05
react-c8,gpt-4.1-mini,simple-qa-100,8,100,78.0,22,0,0.78,78.0,550,2468918,39729,2508647,1.9751344,0.1271328,2.1022672,1727.9250955581665,0.78,0.1418181818181818,3.109245740831612e-05
