step_id,plan,summary,thought,action,task,feedback,location,description,inventory,score,reward,is_done,error
0,,,,,"Welcome to another exciting game of TextWorld! Here is your task for today. First stop, try to venture west. After that, go to the south. If you can succeed at that, make an effort to take a trip west. With that done, make an attempt to move north. And then, make an attempt to go north. Once you get around to doing that, head north. Following that, attempt to go to the east. And then, retrieve the cashew from the bureau. And if you do that, you're the winner!",,Study,"You find yourself in a study. A typical one.

You make out a desk. However, the desk, like an empty desk, has nothing on it. You swear loudly. You see a mantelpiece. You shudder, but continue examining the mantelpiece. The mantelpiece is usual. But oh no! there's nothing on this piece of junk.

There is an unblocked exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
1,,,I should go west as the first step of the task.,go west,,"You've just sauntered into a restroom. Let's see what's in here.

You see a box.

There is an open gate leading west. There is an unguarded exit to the east. You need an unblocked exit? You should try going south.",Restroom,"You've just sauntered into a restroom. Let's see what's in here.

You see a box.

There is an open gate leading west. There is an unguarded exit to the east. You need an unblocked exit? You should try going south.",You are carrying nothing.,0 of 1,0.0,False,
2,,,I should go south as the next step of the task.,go south,,"You've just sauntered into a kitchen.

You hear a noise behind you and spin around, but you can't see anything other than a platter. But oh no! there's nothing on this piece of junk. It would have been so cool if there was stuff on the platter! oh well.

There is an exit to the north. Don't worry, it is unguarded. You don't like doors? Why not try going west, that entranceway is unblocked.",Kitchen,"You've just sauntered into a kitchen.

You hear a noise behind you and spin around, but you can't see anything other than a platter. But oh no! there's nothing on this piece of junk. It would have been so cool if there was stuff on the platter! oh well.

There is an exit to the north. Don't worry, it is unguarded. You don't like doors? Why not try going west, that entranceway is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
3,,,I should go west as the next step of the task.,go west,,"You find yourself in a parlor. A typical one. Let's see what's in here.

Oh, great. Here's a suitcase. You can make out a bed. The bed is typical. The bed appears to be empty.

You need an unblocked exit? You should try going east. There is an exit to the north. Don't worry, it is unguarded.",Parlor,"You find yourself in a parlor. A typical one. Let's see what's in here.

Oh, great. Here's a suitcase. You can make out a bed. The bed is typical. The bed appears to be empty.

You need an unblocked exit? You should try going east. There is an exit to the north. Don't worry, it is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
4,,,I should go north as the next step of the task.,go north,,"You've entered a washroom. You decide to just list off a complete list of everything you see in the room, because hey, why not?

If you haven't noticed it already, there seems to be something there by the wall, it's a dresser. The light flickers for a second, but nothing else happens.

There is an open gate leading east. There is an open door leading north. There is an exit to the south. Don't worry, it is unblocked.",Washroom,"You've entered a washroom. You decide to just list off a complete list of everything you see in the room, because hey, why not?

If you haven't noticed it already, there seems to be something there by the wall, it's a dresser. The light flickers for a second, but nothing else happens.

There is an open gate leading east. There is an open door leading north. There is an exit to the south. Don't worry, it is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
5,,,I should go north as the next step of the task.,go north,,"You find yourself in a dish-pit. A typical one. You decide to start listing off everything you see in the room, as if you were in a text adventure.

You see a freezer. You idly wonder how they came up with the name TextWorld for this place. It's pretty fitting.

There is an open gateway leading north. There is an open door leading south. You don't like doors? Why not try going east, that entranceway is unblocked. There is an unblocked exit to the west.",Dish-Pit,"You find yourself in a dish-pit. A typical one. You decide to start listing off everything you see in the room, as if you were in a text adventure.

You see a freezer. You idly wonder how they came up with the name TextWorld for this place. It's pretty fitting.

There is an open gateway leading north. There is an open door leading south. You don't like doors? Why not try going east, that entranceway is unblocked. There is an unblocked exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
6,,,I should go east as the next step of the task.,go east,,"You've just sauntered into a vault.

You see a workbench. The workbench is ordinary. But there isn't a thing on it. It would have been so cool if there was stuff on the workbench! oh well.

You need an unblocked exit? You should try going west.",Vault,"You've just sauntered into a vault.

You see a workbench. The workbench is ordinary. But there isn't a thing on it. It would have been so cool if there was stuff on the workbench! oh well.

You need an unblocked exit? You should try going west.",You are carrying nothing.,0 of 1,0.0,False,
7,,,I should take the cashew from the bureau as the final step of the task.,take cashew from bureau,,You can't see any such thing.,Vault,"You've just sauntered into a vault.

You see a workbench. The workbench is ordinary. But there isn't a thing on it. It would have been so cool if there was stuff on the workbench! oh well.

You need an unblocked exit? You should try going west.",You are carrying nothing.,0 of 1,0.0,False,
8,,,I should look around the vault carefully to find the bureau with the cashew.,look,,"You've just sauntered into a vault.

You see a workbench. The workbench is ordinary. But there isn't a thing on it. It would have been so cool if there was stuff on the workbench! oh well.

You need an unblocked exit? You should try going west.",Vault,"You've just sauntered into a vault.

You see a workbench. The workbench is ordinary. But there isn't a thing on it. It would have been so cool if there was stuff on the workbench! oh well.

You need an unblocked exit? You should try going west.",You are carrying nothing.,0 of 1,0.0,False,
9,,,"Since there is no bureau in the vault, I should go west to explore other rooms for the bureau with the cashew.",go west,,"You find yourself in a dish-pit. A typical one. You decide to start listing off everything you see in the room, as if you were in a text adventure.

You see a freezer. You idly wonder how they came up with the name TextWorld for this place. It's pretty fitting.

There is an open gateway leading north. There is an open door leading south. You don't like doors? Why not try going east, that entranceway is unblocked. There is an unblocked exit to the west.",Dish-Pit,"You find yourself in a dish-pit. A typical one. You decide to start listing off everything you see in the room, as if you were in a text adventure.

You see a freezer. You idly wonder how they came up with the name TextWorld for this place. It's pretty fitting.

There is an open gateway leading north. There is an open door leading south. You don't like doors? Why not try going east, that entranceway is unblocked. There is an unblocked exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
10,,,I should go west from the dish-pit as the next step of the task.,go west,,"You've just walked into a salon.



You don't like doors? Why not try going east, that entranceway is unblocked.",Salon,"You've just walked into a salon.



You don't like doors? Why not try going east, that entranceway is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
11,,,I should go south from the salon as the next step of the task.,go south,,You can't go that way.,Salon,"You've just walked into a salon.



You don't like doors? Why not try going east, that entranceway is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
12,,,"Since I cannot go south, I should try going east from the salon.",go east,,"You find yourself in a dish-pit. A typical one. You decide to start listing off everything you see in the room, as if you were in a text adventure.

You see a freezer. You idly wonder how they came up with the name TextWorld for this place. It's pretty fitting.

There is an open gateway leading north. There is an open door leading south. You don't like doors? Why not try going east, that entranceway is unblocked. There is an unblocked exit to the west.",Dish-Pit,"You find yourself in a dish-pit. A typical one. You decide to start listing off everything you see in the room, as if you were in a text adventure.

You see a freezer. You idly wonder how they came up with the name TextWorld for this place. It's pretty fitting.

There is an open gateway leading north. There is an open door leading south. You don't like doors? Why not try going east, that entranceway is unblocked. There is an unblocked exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
13,,,I should go north from the dish-pit as the next step of the task.,go north,,"You've walked into an usual room. Your mind races to think of what kind of room would be usual. And then it hits you. Of course. You're in the cellar.



There is an open gateway leading south. You don't like doors? Why not try going east, that entranceway is unblocked.",Cellar,"You've walked into an usual room. Your mind races to think of what kind of room would be usual. And then it hits you. Of course. You're in the cellar.



There is an open gateway leading south. You don't like doors? Why not try going east, that entranceway is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
14,,,I should go north from the cellar as the next step of the task.,go north,,You can't go that way.,Cellar,"You've walked into an usual room. Your mind races to think of what kind of room would be usual. And then it hits you. Of course. You're in the cellar.



There is an open gateway leading south. You don't like doors? Why not try going east, that entranceway is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
15,,,"Since I cannot go north, I should try going east from the cellar.",go east,,"You've entered an office.

You make out an opened bureau nearby. The bureau contains a cashew.

You need an unguarded exit? You should try going west.",Office,"You've entered an office.

You make out an opened bureau nearby. The bureau contains a cashew.

You need an unguarded exit? You should try going west.",You are carrying nothing.,0 of 1,0.0,False,
16,,,I should take the cashew from the bureau.,take cashew from bureau,,"You take the cashew from the bureau.



Your score has just gone up by one point.


                               *** The End ***

You scored 1 out of a possible 1, in 16 turns.


Would you like to RESTART, RESTORE a saved game, QUIT or UNDO the last command?
>",Office,"You've entered an office.

You make out an opened bureau nearby. The bureau is empty! This is the worst thing that could possibly happen, ever!

You need an unguarded exit? You should try going west.",You are carrying: a cashew.,1 of 1,1.0,True,
