id,type,question,correct_answer,agent_answer,reward,steps,input_tokens,output_tokens,total_tokens,reward_per_step,reward_per_token,error,task_id,tokens
0,bridge,Who was the body double for Emilia Clarke playing Daenerys Targaryen in Game of Thrones?,Rosie Mac,Rosie Mac,1.0,3,5518,162,5680,0.3333333333333333,0.00017605633802816902,,0,5680
0,bridge,In what literary movement was the nineteenth century writer featured in Alicia Ramsey's historical play a leading figure?,Romantic,Romanticism,0.0,8,16274,578,16852,0.0,0.0,,1,16852
0,bridge,Richard E. Grant starred in what 1995 British romantic comedy film?,Richard E. Grant,The Age of Innocence,0.0,3,5569,182,5751,0.0,0.0,,2,5751
0,bridge,"What is the name of the lead remix of the track from the remix album containing remixes of the lady gaga studio album ""The Fame""?",Bad Romance,,0.0,10,22990,636,23626,0.0,0.0,,3,23626
0,comparison,"Who was born earlier, Thomas Wolfe or Margaret Wilson?",Margaret Wilson,Thomas Wolfe,0.0,3,5584,137,5721,0.0,0.0,,4,5721
0,bridge,Who was born first Percy Clifford Mills or Nigel Graham Pearson?,Percy Clifford Mills,,0.0,10,22164,706,22870,0.0,0.0,,5,22870
0,bridge,"Which studio album by childish gambina is produced by Glover and contains the song ""redbone""?","""Awaken, My Love!""","Awaken, My Love!",0.0,5,19950,260,20210,0.0,0.0,,6,20210
0,bridge, Since 2017 Nick Ayers has been Chief of Staff to a man that served as governor of what state?,Indiana,Indiana,1.0,3,5450,155,5605,0.3333333333333333,0.0001784121320249777,,7,5605
0,comparison,"Which band formed first, Sunrise Avenue or Marcy Playground?",Marcy Playground,Marcy Playground,1.0,4,7992,180,8172,0.25,0.00012236906510034264,,8,8172
0,bridge,"What was the member of the Lok Sabha from June 1977 to January 1978 as a member of political Party that belonged to one of the two major political parties in India, along with the Indian National Congress?",chief minister of the state,George Fernandes,0.0,10,25014,920,25934,0.0,0.0,,9,25934
