agent_name,model_name,eval_name,top_k,tasks,successes,failures,errors,accuracy,total_reward,total_steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,total_time,avg_reward_per_task,avg_reward_per_step,avg_reward_per_token
react-k1,gpt-4.1-mini,simple-qa-1000,1,1000,575.0,425,2,0.575,575.0,4963,4454133,316101,4770234,3.5633064,1.0115231999999998,4.5748296,12010.714504480362,0.575,0.1158573443481765,0.0001205391601334
react-k10,gpt-4.1-mini,simple-qa-1000,10,1000,758.0,242,1,0.758,758.0,2735,4078982,172369,4251351,3.2631856000000004,0.5515808,3.8147664,5285.43327331543,0.758,0.2771480804387569,0.00017829626394056853
react-k2,gpt-4.1-mini,simple-qa-1000,2,1000,666.0,334,1,0.666,666.0,3584,3122410,228303,3350713,2.497928,0.7305696,3.2284976,7625.69784784317,0.666,0.1858258928571428,0.0001987636661212
react-k3,gpt-4.1-mini,simple-qa-1000,3,1000,682.0,318,1,0.682,682.0,3331,3239662,210530,3450192,2.5917296000000003,0.6736960000000001,3.2654256000000004,6755.56807756424,0.682,0.2047433203242269,0.0001976701586462
react-k4,gpt-4.1-mini,simple-qa-1000,4,1000,732.0,268,1,0.732,732.0,3142,3363081,201036,3564117,2.6904648,0.6433152,3.3337800000000004,6515.059764623642,0.732,0.2329726288987905,0.0002053804630992
react-k5,gpt-4.1-mini,simple-qa-1000,5,1000,727.0,273,1,0.727,727.0,3017,3508980,192018,3700998,2.8071840000000003,0.6144576,3.4216416,6333.894319295883,0.727,0.2409678488564799,0.0001964335025309
react-k6,gpt-4.1-mini,simple-qa-1000,6,1000,747.0,253,1,0.747,747.0,2988,3856973,191390,4048363,3.0855784,0.612448,3.6980264,6129.250835895538,0.747,0.25,0.0001845190265793
react-k7,gpt-4.1-mini,simple-qa-1000,7,1000,755.0,245,1,0.755,755.0,2914,3847864,184317,4032181,3.0782912,0.5898144000000001,3.668105600000001,6323.722443580627,0.755,0.2590940288263555,0.0001872435785992
react-k8,gpt-4.1-mini,simple-qa-1000,8,1000,743.0,257,1,0.743,743.0,2873,4124584,182456,4307040,3.2996672000000005,0.5838592,3.8835264,5669.425426006317,0.743,0.2586146884789418,0.0001725082655373
react-k9,gpt-4.1-mini,simple-qa-1000,9,1000,744.0,256,1,0.744,744.0,2867,4539794,181465,4721259,3.6318352,0.5806880000000001,4.2125232,5546.413015842438,0.744,0.259504708754796,0.0001575850848258
