agent_name,model_name,eval_name,chunk_size,task_id,type,task,correct_answer,agent_answer,reward,steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,start_time,end_time,total_time,reward_per_step,reward_per_token,error,episode_id,episode,question,stop_time
react-c2,gpt-4.1-mini,simple-qa-100,2,0,Art,,20,"""20""",1.0,7,13792,438,14230,0.011033600000000001,0.0014016000000000002,0.0124352,1758585283.1525698,,16.618995189666748,0.14285714285714285,7.02740688685875e-05,,0,Answer the following question:,At what age was Ken Noda invited by President Ronald Reagan and First Lady Nancy Reagan to perform at the White House?,1758585299.771565
react-c2,gpt-4.1-mini,simple-qa-100,2,0,Art,,Knoedler,"""Duveen Brothers""",0.0,9,15336,806,16142,0.012268800000000002,0.0025792000000000002,0.014848000000000002,1758585300.7789648,,25.842445611953735,0.0,0.0,,1,Answer the following question:,"Which art dealership did Peter Arrell Browne Widener buy ""Portrait of Elena Grimaldi Cattaneo"" from in 1906?",1758585326.6214104
react-c2,gpt-4.1-mini,simple-qa-100,2,0,Music,,Anna Bruun Tordenskjold,"""Anna Bruun Tordenskjol""",1.0,5,6798,326,7124,0.0054384,0.0010432,0.0064816000000000006,1758585327.6314187,,15.471236228942871,0.2,0.00014037057832678272,,2,Answer the following question:,What was composer Sigrid Ingeborg Henriette Wienecke's mother's name?,1758585343.102655
react-c2,gpt-4.1-mini,simple-qa-100,2,0,Geography,,"77,482.49",,0.0,20,99994,1757,101751,0.0799952,0.0056224000000000005,0.0856176,1758585344.1125941,,69.34085440635681,0.0,0.0,,3,Answer the following question:,What is the forest cover area of Madhya Pradesh in square kilometers according to the India State of Forest Report 2019?,1758585413.4534485
react-c2,gpt-4.1-mini,simple-qa-100,2,0,TV shows,,Alison Garrs,"""Alison Garrs kills Daryl Garrs in Happy Valley.""",0.0,7,14436,471,14907,0.0115488,0.0015072000000000002,0.013056,1758585414.4695365,,19.30346155166626,0.0,0.0,,4,Answer the following question:,Who kills Daryl Garrs in Happy Valley?,1758585433.772998
react-c2,gpt-4.1-mini,simple-qa-100,2,0,Politics,,165,"""165th district""",1.0,8,11729,542,12271,0.009383200000000001,0.0017343999999999999,0.011117600000000002,1758585434.8034678,,21.66648769378662,0.125,8.149295085975064e-05,,5,Answer the following question:,Which district did Mary Ann Arty serve in the Pennsylvania House of Representatives in 1981?,1758585456.4699554
react-c2,gpt-4.1-mini,simple-qa-100,2,0,Science and technology,,1843,"""Augustus De Morgan published the article 'Trochoidal Curve' in the Penny Cyclopaedia between 1833 and 1843.""",0.0,12,28643,1001,29644,0.0229144,0.0032032,0.0261176,1758585457.479564,,38.10029053688049,0.0,0.0,,6,Answer the following question:,"In what year did Augustus De Morgan publish the article ""Trochoidal Curve"" in the Penny Cyclopaedia?",1758585495.5798545
react-c2,gpt-4.1-mini,simple-qa-100,2,0,Music,,1946.,,0.0,20,121938,1570,123508,0.09755040000000001,0.005024000000000001,0.10257440000000001,1758585496.5905762,,77.73283123970032,0.0,0.0,,7,Answer the following question:,In what year was American music producer George Avakian discharged from the U.S. Army?,1758585574.3234074
react-c2,gpt-4.1-mini,simple-qa-100,2,0,Art,,the Slade School of Art ,"""Slade School of Art""",1.0,6,10443,391,10834,0.0083544,0.0012512,0.009605599999999999,1758585575.345619,,16.179624795913696,0.16666666666666666,9.230201218386561e-05,,8,Answer the following question:,From what school did Phyllida Barlow graduate in 1966?,1758585591.5252438
react-c2,gpt-4.1-mini,simple-qa-100,2,0,TV shows,,Peters,"""Peters""",1.0,6,7613,415,8028,0.0060904,0.0013280000000000002,0.0074184,1758585592.536933,,18.057595252990723,0.16666666666666666,0.00012456402590931738,,9,Answer the following question:,"What is the surname of the psychiatrist who prescribes medication for Marie Hanson for her periodic blackouts in Season 1, Episode 20 of Ally McBeal?",1758585610.5945282
react-c2,gpt-4.1-mini,simple-qa-100,2,0,Art,,Second Empire style,"""Second Empire""",1.0,6,10177,338,10515,0.0081416,0.0010816,0.0092232,1758585611.6075466,,16.983510732650757,0.16666666666666666,9.51022349025202e-05,,10,Answer the following question:,"What is the architectural style of the Odd Fellows Hall building in Eureka, California?",1758585628.5910573
react-c2,gpt-4.1-mini,simple-qa-100,2,0,Politics,,September 1989,"""June 1989""",0.0,7,15354,467,15821,0.012283200000000001,0.0014944000000000001,0.013777600000000001,1758585629.5990117,,19.69996452331543,0.0,0.0,,11,Answer the following question:,"In what month and year was Nikolai Talyzin dismissed from Nikolai Ryzhkov's government, along with many other conservatives, during the period of perestroika?",1758585649.2989762
react-c2,gpt-4.1-mini,simple-qa-100,2,0,Politics,,13 May 2004,"""May 13, 2004""",1.0,20,85428,1273,86701,0.06834240000000001,0.0040736,0.07241600000000001,1758585650.3155365,,54.985782623291016,0.05,1.1533892342648874e-05,,12,Answer the following question:,"What day, month, and year was David Crombie appointed an Officer of the Order of Canada?",1758585705.3013191
react-c2,gpt-4.1-mini,simple-qa-100,2,0,Geography,,Ahmedabad,"""Ahmedabad""",1.0,5,7750,347,8097,0.006200000000000001,0.0011103999999999999,0.007310400000000001,1758585706.317686,,13.69638991355896,0.2,0.00012350253180190194,,13,Answer the following question:,In which city in India is the flyover bridge named after Sam Manekshaw?,1758585720.014076
react-c2,gpt-4.1-mini,simple-qa-100,2,0,Music,,12,"""12""",1.0,6,11225,496,11721,0.00898,0.0015872000000000002,0.0105672,1758585721.0290003,,16.438153743743896,0.16666666666666666,8.531695247845747e-05,,14,Answer the following question:,"What total number of newly discovered pieces of music by Maddalena Casulana were played for the first time in 400 years on March 8, 2022, as part of BBC Radio 3's programming for International Women's Day?",1758585737.467154
react-c2,gpt-4.1-mini,simple-qa-100,2,0,Science and technology,,Garfield,"""Garfield""",1.0,6,10177,371,10548,0.0081416,0.0011872000000000002,0.009328800000000002,1758585738.4743476,,16.61268186569214,0.16666666666666666,9.480470231323473e-05,,15,Answer the following question:,What is the surname of the individual who won the Herman Skolnik Award in 1977?,1758585755.0870295
react-c2,gpt-4.1-mini,simple-qa-100,2,0,Geography,,1586,"""1586""",1.0,7,14773,379,15152,0.0118184,0.0012128,0.0130312,1758585756.0937483,,16.883465051651,0.14285714285714285,6.599788806758183e-05,,16,Answer the following question:,"What year was the municipality of Cómbita, Boyacá, Colombia, founded?",1758585772.9772134
