agent_name,model_name,eval_name,task_id,type,question,correct_answer,agent_answer,reward,steps,input_tokens,output_tokens,total_tokens,reward_per_step,reward_per_token,error
baseline,gpt-4.1,aqua-rat-100,0,Math,"A car is being driven, in a straight line and at a uniform speed, towards the base of a vertical tower. The top of the tower is observed from the car and, in the process, it takes 10 minutes for the angle of elevation to change from 45° to 60°. After how much more time will this car reach the base of the tower?",5(√3 + 1),5 minutes,0.0,1,296,168,464,0.0,0.0,
baseline,gpt-4.1,aqua-rat-100,1,Math,"The original price of an item is discounted 22%. A customer buys the item at this discounted price using a $20-off coupon. There is no tax on the item, and this was the only item the customer bought. If the customer paid $1.90 more than half the original price of the item, what was the original price of the item?",$78.20,$78.21,0.0,1,293,145,438,0.0,0.0,
baseline,gpt-4.1,aqua-rat-100,2,Math,"Find out which of the following values is the multiple of X, if it is divisible by 9 and 12?",36,A value is a multiple of X if it is divisible by both 9 and 12; such values are multiples of 36.,1.0,1,245,86,331,1.0,0.0030211480362537764,
baseline,gpt-4.1,aqua-rat-100,3,Math,"If the probability that Stock A will increase in value during the next month is 0.56, and the probability that Stock B will increase in value during the next month is 0.74. What is the greatest value for the probability that neither of these two events will occur?",0.26,0.1144,0.0,1,278,126,404,0.0,0.0,
baseline,gpt-4.1,aqua-rat-100,4,Math,A trader sold an article at a profit of 20% for Rs.360. What is the cost price of the article?,300,300,1.0,1,247,59,306,1.0,0.0032679738562091504,
baseline,gpt-4.1,aqua-rat-100,5,Math,"20 marbles were pulled out of a bag of only white marbles, painted black, and then put back in. Then, another 20 marbles were pulled out, of which 1 was black, after which they were all returned to the bag. If the percentage of black marbles pulled out the second time represents their percentage in the bag, how many marbles in total Q does the bag currently hold?",400,400,1.0,1,306,87,393,1.0,0.002544529262086514,
baseline,gpt-4.1,aqua-rat-100,6,Math,Find the total no. of distinct bike no.'s that can beformed using 2 letters followed by 2 no.'s. How many letters need to be distinct?,65000,The 2 letters need to be distinct for maximum distinct bike numbers.,0.0,1,256,66,322,0.0,0.0,
baseline,gpt-4.1,aqua-rat-100,7,Math,"A train running at a speed of 100 miles/hour, takes 10 hours to reach its destination. After covering quarter of the distance, it starts raining and the train has to be slowed to speed of 75 miles/hour. What is the total journey duration?",12.5,12.5 hours,1.0,1,274,110,384,1.0,0.0026041666666666665,
baseline,gpt-4.1,aqua-rat-100,8,Math,"Of the 200 students in a school, at least 45% attended the prom night and at least 35% took part in the debating session. What is the maximum number of students who could have neither attended the prom night nor the debating session?",110,40,0.0,1,272,99,371,0.0,0.0,
baseline,gpt-4.1,aqua-rat-100,9,Math,A sales person gets a 10% commission on each sale he makes. How many sales of $250 each must he make in order to reach a salary of at least $1000?,40,40,1.0,1,259,52,311,1.0,0.003215434083601286,
baseline,gpt-4.1,aqua-rat-100,10,Math,"A company produces 420 units of a particular computer component every month, at a production cost to the company of $110 per component, and sells all of the components by the end of each month. What is the minimum selling price per component that will guarantee that the yearly profit (revenue from sales minus production costs) will be at least $626,400 ?",230,$260,0.0,1,294,64,358,0.0,0.0,
baseline,gpt-4.1,aqua-rat-100,11,Math,"At a certain factory, 10 percent of the staplers produced on Monday were defective and 2 percent of the non-defective staplers were rejected by mistake. If 72 of the non-defective staplers were rejected, what was the number of staplers produced that day?","4,000",4000,1.0,1,278,94,372,1.0,0.002688172043010753,
baseline,gpt-4.1,aqua-rat-100,12,Math,Machine A puts out a yo-yo every 6 minutes. Machine B puts out a yo-yo every 9 minutes. After how many minutes will they have produced 10 yo-yos?,36 minutes,54,0.0,1,261,139,400,0.0,0.0,
baseline,gpt-4.1,aqua-rat-100,13,Math,Add: +45 and -30,15,15,1.0,1,228,19,247,1.0,0.004048582995951417,
baseline,gpt-4.1,aqua-rat-100,14,Math,"In how many ways can the letters of the word ""PROBLEC"" be rearranged to make 7 letter words such that none of the letters repeat?",7!,5040,1.0,1,253,43,296,1.0,0.0033783783783783786,
baseline,gpt-4.1,aqua-rat-100,15,Math,Let A and B be independent events with P (A) = 0.2 and P(B) = 0.8. Find P(A/B)?,0.2,0.2,1.0,1,253,27,280,1.0,0.0035714285714285713,
baseline,gpt-4.1,aqua-rat-100,16,Math,"Consider there is an staircase elevator and you are coming down. If you walk 20 steps and stop, then you reach bottom in 10 minutes. If you walk 10 steps and stop, you reach to the ground in 20 minutes. What is the speed of the elevator?",1 step/minute,1 step per minute,1.0,1,278,151,429,1.0,0.002331002331002331,
baseline,gpt-4.1,aqua-rat-100,17,Math,"Last year, a Home Appliance Store sold an average(arithmetic mean) of 42 microwave ovens per month. In the first 10 months of this year,the store has sold an average(arithmetic mean) of only 20 microwave ovens per month. What was the average number of microwave ovens sold per month during the entire 22 months period ?",32,,0.0,1,290,63,353,0.0,0.0,
baseline,gpt-4.1,aqua-rat-100,18,Math,"An exam is given in a certain class. The average (arithmetic mean) of the highest score and the lowest score is equal to x. If the average score for the entire class is equal to y and there are z students in the class, where z > 5, then in terms of x, y, and z, what is the average score for the class excluding the highest and lowest scorers?",(zy – 2x)/(z -2),,0.0,1,304,138,442,0.0,0.0,
baseline,gpt-4.1,aqua-rat-100,19,Math,[5 + ? × 19 - 15 - 7]/[13 × 13 - 156] = 6,5,5,1.0,1,247,161,408,1.0,0.0024509803921568627,
baseline,gpt-4.1,aqua-rat-100,20,Math,"A grocer makes a 25% profit on the selling price for each bag of flour it sells. If he sells each bag for $100 and makes $3,000 in profit, how many bags did he sell?",24,120,0.0,1,266,70,336,0.0,0.0,
baseline,gpt-4.1,aqua-rat-100,21,Math,"Alex and Jacob works at a toy shop that make toys. Alex takes 7 hours to make a toy, and Jacob takes 9 hours to make a toy. During a month, both of them makes 35 toys in total. If both of them have worked for almost similar number of hours how many toys have been prepared by Jacob?",15,15,1.0,1,289,139,428,1.0,0.002336448598130841,
baseline,gpt-4.1,aqua-rat-100,22,Math,"John likes to have lightly flavored tea every evening. In a 50% strong milk tea, he replaces 15% of it with milk twice. Then, he replaces 10 percent of the resultant solution with more milk.
What is the final concentration of tea John drinks?",32.51%,32.51%,1.0,1,276,120,396,1.0,0.0025252525252525255,
baseline,gpt-4.1,aqua-rat-100,23,Math,"In a class 1/16 of the students study math, 1/10 of the students study bio, 1/8 of the students study english. The total number of students is a 4 digit number. Find the diffrence between maximum number of students and minimum number of students.",8880,"8,920",0.0,1,282,93,375,0.0,0.0,
