agent_name,model_name,eval_name,task_id,type,question,correct_answer,agent_answer,reward,steps,input_tokens,output_tokens,total_tokens,reward_per_step,reward_per_token,error
baseline,gpt-4.1-mini,aqua-rat-10,0,Math,"Hoses A and B spout water at different constant rates, and hose A can fill a certain pool in 8 hours. Hose A filled the pool alone for the first 2 hours and the two hoses, working together, then finished filling the pool in another 3 hours. How many hours would it have taken hose B, working alone, to fill the entire pool?",A,A,0.0,1,339,235,574,0.0,0.0,
baseline,gpt-4.1-mini,aqua-rat-10,1,Math,"In a railway station, there are two trains going. One in the harbor line and one in the main line, each having a frequency of 10 minutes. The main line service starts at 5 o'clock and the harbor line starts at 5.02 A.M. A man goes to the station every day to catch the first train that comes. What is the probability of the man catching the first train?",B,B,1.0,1,356,449,805,1.0,0.0012422360248447205,
baseline,gpt-4.1-mini,aqua-rat-10,2,Math,When folded into two equal halves a rectangular sheet had a perimeter of 48cm for each part folded along one set of sides and the same is 66cm when folded along the other set of sides. Find the area of the sheet.,B,280,0.0,1,315,1397,1712,0.0,0.0,
baseline,gpt-4.1-mini,aqua-rat-10,3,Math,"If the probability that Stock A will increase in value during the next month is 0.56, and the probability that Stock B will increase in value during the next month is 0.74. What is the greatest value for the probability that neither of these two events will occur?",B,B,1.0,1,330,162,492,1.0,0.0020325203252032522,
baseline,gpt-4.1-mini,aqua-rat-10,4,Math,"At a certain factory, 10 percent of the staplers produced on Monday were defective and 2 percent of the non-defective staplers were rejected by mistake. If 72 of the non-defective staplers were rejected, what was the number of staplers produced that day?",A,72 / ,0.0,2,804,187,991,0.0,0.0,
baseline,gpt-4.1-mini,aqua-rat-10,5,Math,"When I was 2 years old, my brother was half my age. Now I am 60 years old, how old is my brother?",A,"""A""",1.0,1,297,63,360,1.0,0.002777777777777778,
baseline,gpt-4.1-mini,aqua-rat-10,6,Math,"30 is subtracted from a number, it is reduced to its one third. What is the value of 50% of that number?",A,A,1.0,1,294,96,390,1.0,0.002564102564102564,
baseline,gpt-4.1-mini,aqua-rat-10,7,Math,there are more than 501 students in a school such that 20% of them exactly took physics and 28% of them exactly took math. What could be the least possible no of students in the school?,E,A,0.0,1,307,245,552,0.0,0.0,
baseline,gpt-4.1-mini,aqua-rat-10,8,Math,x men working x hours per day can do x units of a work in x days. How much work can be completed by y men working y hours per day in y days?,B,B,1.0,1,312,149,461,1.0,0.0021691973969631237,
baseline,gpt-4.1-mini,aqua-rat-10,9,Math,"If 75 percent of the employees of a certain company take a winter vacation, 40 percent take a winter and a summer vacation, and 20 percent take neither a winter nor a summer vacation, what Q percent of the employees take a summer vacation but not a winter vacation?",A,"""A""",1.0,1,320,278,598,1.0,0.0016722408026755853,
