agent_name,model_name,eval_name,task_id,type,question,correct_answer,agent_answer,reward,steps,input_tokens,output_tokens,total_tokens,reward_per_step,reward_per_token,error
react,gpt-4.1,aqua-rat-10,0,Math,"A car is being driven, in a straight line and at a uniform speed, towards the base of a vertical tower. The top of the tower is observed from the car and, in the process, it takes 10 minutes for the angle of elevation to change from 45° to 60°. After how much more time will this car reach the base of the tower?",5(√3 + 1),"""13.66 minutes""",0.0,4,2061,311,2372,0.0,0.0,
react,gpt-4.1,aqua-rat-10,1,Math,"The original price of an item is discounted 22%. A customer buys the item at this discounted price using a $20-off coupon. There is no tax on the item, and this was the only item the customer bought. If the customer paid $1.90 more than half the original price of the item, what was the original price of the item?",$78.20,78.21,0.0,4,2077,278,2355,0.0,0.0,
react,gpt-4.1,aqua-rat-10,2,Math,"Find out which of the following values is the multiple of X, if it is divisible by 9 and 12?",36,36,1.0,5,2357,305,2662,0.2,0.0003756574004507889,
react,gpt-4.1,aqua-rat-10,3,Math,"If the probability that Stock A will increase in value during the next month is 0.56, and the probability that Stock B will increase in value during the next month is 0.74. What is the greatest value for the probability that neither of these two events will occur?",0.26,0.1144,0.0,3,1273,199,1472,0.0,0.0,
react,gpt-4.1,aqua-rat-10,4,Math,A trader sold an article at a profit of 20% for Rs.360. What is the cost price of the article?,300,300,1.0,2,660,71,731,0.5,0.0013679890560875513,
react,gpt-4.1,aqua-rat-10,5,Math,"20 marbles were pulled out of a bag of only white marbles, painted black, and then put back in. Then, another 20 marbles were pulled out, of which 1 was black, after which they were all returned to the bag. If the percentage of black marbles pulled out the second time represents their percentage in the bag, how many marbles in total Q does the bag currently hold?",400,400,1.0,2,820,119,939,0.5,0.0010649627263045794,
react,gpt-4.1,aqua-rat-10,6,Math,Find the total no. of distinct bike no.'s that can beformed using 2 letters followed by 2 no.'s. How many letters need to be distinct?,65000,"""2 letters need to be distinct for 65,000 combinations; if not, there are 67,600 combinations.""",0.0,4,1838,307,2145,0.0,0.0,
react,gpt-4.1,aqua-rat-10,7,Math,"A train running at a speed of 100 miles/hour, takes 10 hours to reach its destination. After covering quarter of the distance, it starts raining and the train has to be slowed to speed of 75 miles/hour. What is the total journey duration?",12.5,12.5,1.0,6,2869,279,3148,0.16666666666666666,0.0003176620076238882,
react,gpt-4.1,aqua-rat-10,8,Math,"Of the 200 students in a school, at least 45% attended the prom night and at least 35% took part in the debating session. What is the maximum number of students who could have neither attended the prom night nor the debating session?",110,40,0.0,3,1333,226,1559,0.0,0.0,
react,gpt-4.1,aqua-rat-10,9,Math,A sales person gets a 10% commission on each sale he makes. How many sales of $250 each must he make in order to reach a salary of at least $1000?,40,40,1.0,3,1091,113,1204,0.3333333333333333,0.0008305647840531562,
