step_id,memory,thought,action,task,feedback,location,description,inventory,score,reward,is_done,error
0,,,,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",,Kitchen,"You arrive in a kitchen. A normal kind of place.

You see a closed fridge. You rest your hand against a wall, but you miss the wall and fall onto an oven. I mean, just wow! Isn't TextWorld just the best? You see a table. The table is massive. On the table you can see a cookbook. You see a gleam over in a corner, where you can see a counter. On the counter you can see a red hot pepper, a red apple, a raw yellow potato, a raw purple potato, a raw red potato and a knife. You see a stove. The stove is conventional. Unfortunately, there isn't a thing on it.",You are carrying: an orange bell pepper and a yellow bell pepper.,0 of 16,0.0,False,
1,"- I am in the kitchen.
- There is a closed fridge.
- There is a massive table with a cookbook on it.
- There is a counter with a red hot pepper, a red apple, a raw yellow potato, a raw purple potato, a raw red potato, and a knife.
- There is a stove, but it is empty.
- I am carrying an orange bell pepper and a yellow bell pepper.",I should check the cookbook on the table to find a recipe for a delicious meal.,examine cookbook,,"You open the copy of ""Cooking: A Modern Approach (3rd Ed.)"" and start reading:

Recipe #1
---------
Gather all following ingredients and follow the directions to prepare this tasty meal.

Ingredients:
red apple
  block of cheese
  red onion
  orange bell pepper
  red hot pepper

Directions:
dice the red apple
  fry the red apple
  chop the block of cheese
  roast the block of cheese
  dice the red onion
  fry the red onion
  dice the orange bell pepper
  roast the orange bell pepper
  slice the red hot pepper
  fry the red hot pepper
  prepare meal",Kitchen,"You arrive in a kitchen. A normal kind of place.

You see a closed fridge. You rest your hand against a wall, but you miss the wall and fall onto an oven. I mean, just wow! Isn't TextWorld just the best? You see a table. The table is massive. On the table you can see a cookbook. You see a gleam over in a corner, where you can see a counter. On the counter you can see a red hot pepper, a red apple, a raw yellow potato, a raw purple potato, a raw red potato and a knife. You see a stove. The stove is conventional. Unfortunately, there isn't a thing on it.",You are carrying: an orange bell pepper and a yellow bell pepper.,0 of 16,0.0,False,
2,"- I am in the kitchen.
- The cookbook recipe requires: red apple, block of cheese, red onion, orange bell pepper, red hot pepper.
- The recipe steps: dice and fry red apple, chop and roast block of cheese, dice and fry red onion, dice and roast orange bell pepper, slice and fry red hot pepper, then prepare meal.
- On the counter: red hot pepper, red apple, raw yellow potato, raw purple potato, raw red potato, knife.
- I am carrying an orange bell pepper and a yellow bell pepper.
- The stove is empty.","I need to gather the missing ingredients: block of cheese and red onion, and take the ingredients from the counter: red apple and red hot pepper. I already have an orange bell pepper.",open fridge,,"You open the fridge, revealing a block of cheese, a red onion, a raw pork chop and a carrot.",Kitchen,"You arrive in a kitchen. A normal kind of place.

You see an opened fridge. The fridge contains a block of cheese, a red onion, a raw pork chop and a carrot. Huh, weird. You rest your hand against a wall, but you miss the wall and fall onto an oven. I mean, just wow! Isn't TextWorld just the best? You see a table. The table is massive. On the table you can see a cookbook. You see a gleam over in a corner, where you can see a counter. On the counter you can see a red hot pepper, a red apple, a raw yellow potato, a raw purple potato, a raw red potato and a knife. You see a stove. The stove is conventional. Unfortunately, there isn't a thing on it.",You are carrying: an orange bell pepper and a yellow bell pepper.,0 of 16,0.0,False,
3,"- I am in the kitchen.
- The fridge is open and contains a block of cheese, a red onion, a raw pork chop, and a carrot.
- The recipe requires red apple, block of cheese, red onion, orange bell pepper, red hot pepper.
- On the counter: red hot pepper, red apple, raw yellow potato, raw purple potato, raw red potato, knife.
- I am carrying an orange bell pepper and a yellow bell pepper.
- The stove is empty.","I should take the block of cheese and red onion from the fridge, and also take the red apple and red hot pepper from the counter.",take block of cheese from fridge,,"You take the block of cheese from the fridge.



Your score has just gone up by one point.",Kitchen,"You arrive in a kitchen. A normal kind of place.

You see an opened fridge. The fridge contains a red onion, a raw pork chop and a carrot. Huh, weird. You rest your hand against a wall, but you miss the wall and fall onto an oven. I mean, just wow! Isn't TextWorld just the best? You see a table. The table is massive. On the table you can see a cookbook. You see a gleam over in a corner, where you can see a counter. On the counter you can see a red hot pepper, a red apple, a raw yellow potato, a raw purple potato, a raw red potato and a knife. You see a stove. The stove is conventional. Unfortunately, there isn't a thing on it.","You are carrying: a block of cheese, an orange bell pepper and a yellow bell pepper.",1 of 16,0.0625,False,
4,"- I am in the kitchen.
- The fridge is open and contains a red onion, a raw pork chop, and a carrot.
- The recipe requires red apple, block of cheese, red onion, orange bell pepper, red hot pepper.
- On the counter: red hot pepper, red apple, raw yellow potato, raw purple potato, raw red potato, knife.
- I am carrying a block of cheese, an orange bell pepper, and a yellow bell pepper.
- The stove is empty.",I should take the red onion from the fridge next.,take red onion from fridge,,"You take the red onion from the fridge.



Your score has just gone up by one point.",Kitchen,"You arrive in a kitchen. A normal kind of place.

You see an opened fridge. The fridge contains a raw pork chop and a carrot. Huh, weird. You rest your hand against a wall, but you miss the wall and fall onto an oven. I mean, just wow! Isn't TextWorld just the best? You see a table. The table is massive. On the table you can see a cookbook. You see a gleam over in a corner, where you can see a counter. On the counter you can see a red hot pepper, a red apple, a raw yellow potato, a raw purple potato, a raw red potato and a knife. You see a stove. The stove is conventional. Unfortunately, there isn't a thing on it.","You are carrying: a red onion, a block of cheese, an orange bell pepper and a yellow bell pepper.",2 of 16,0.125,False,
5,"- I am in the kitchen.
- The fridge is open and contains a raw pork chop and a carrot.
- The recipe requires red apple, block of cheese, red onion, orange bell pepper, red hot pepper.
- On the counter: red hot pepper, red apple, raw yellow potato, raw purple potato, raw red potato, knife.
- I am carrying a red onion, a block of cheese, an orange bell pepper, and a yellow bell pepper.
- The stove is empty.",I should take the red apple and red hot pepper from the counter next.,take red apple from counter,,"You take the red apple from the counter.



Your score has just gone up by one point.",Kitchen,"You arrive in a kitchen. A normal kind of place.

You see an opened fridge. The fridge contains a raw pork chop and a carrot. Huh, weird. You rest your hand against a wall, but you miss the wall and fall onto an oven. I mean, just wow! Isn't TextWorld just the best? You see a table. The table is massive. On the table you can see a cookbook. You see a gleam over in a corner, where you can see a counter. On the counter you can see a red hot pepper, a raw yellow potato, a raw purple potato, a raw red potato and a knife. You see a stove. The stove is conventional. Unfortunately, there isn't a thing on it.","You are carrying: a red apple, a red onion, a block of cheese, an orange bell pepper and a yellow bell pepper.",3 of 16,0.1875,False,
6,"- I am in the kitchen.
- The fridge is open and contains a raw pork chop and a carrot.
- The recipe requires red apple, block of cheese, red onion, orange bell pepper, red hot pepper.
- On the counter: red hot pepper, raw yellow potato, raw purple potato, raw red potato, knife.
- I am carrying a red apple, a red onion, a block of cheese, an orange bell pepper, and a yellow bell pepper.
- The stove is empty.",I should take the red hot pepper from the counter next.,take red hot pepper from counter,,You're carrying too many things already.,Kitchen,"You arrive in a kitchen. A normal kind of place.

You see an opened fridge. The fridge contains a raw pork chop and a carrot. Huh, weird. You rest your hand against a wall, but you miss the wall and fall onto an oven. I mean, just wow! Isn't TextWorld just the best? You see a table. The table is massive. On the table you can see a cookbook. You see a gleam over in a corner, where you can see a counter. On the counter you can see a red hot pepper, a raw yellow potato, a raw purple potato, a raw red potato and a knife. You see a stove. The stove is conventional. Unfortunately, there isn't a thing on it.","You are carrying: a red apple, a red onion, a block of cheese, an orange bell pepper and a yellow bell pepper.",3 of 16,0.1875,False,
7,"- I am in the kitchen.
- The fridge is open and contains a raw pork chop and a carrot.
- The recipe requires red apple, block of cheese, red onion, orange bell pepper, red hot pepper.
- On the counter: red hot pepper, raw yellow potato, raw purple potato, raw red potato, knife.
- I am carrying a red apple, a red onion, a block of cheese, an orange bell pepper, and a yellow bell pepper.
- The stove is empty.
- I cannot carry more items.","I need to drop the yellow bell pepper to free space, then take the red hot pepper.",drop yellow bell pepper,,You drop the yellow bell pepper on the ground.,Kitchen,"You arrive in a kitchen. A normal kind of place.

You see an opened fridge. The fridge contains a raw pork chop and a carrot. Huh, weird. You rest your hand against a wall, but you miss the wall and fall onto an oven. I mean, just wow! Isn't TextWorld just the best? You see a table. The table is massive. On the table you can see a cookbook. You see a gleam over in a corner, where you can see a counter. On the counter you can see a red hot pepper, a raw yellow potato, a raw purple potato, a raw red potato and a knife. You see a stove. The stove is conventional. Unfortunately, there isn't a thing on it.



There is a yellow bell pepper on the floor.","You are carrying: a red apple, a red onion, a block of cheese and an orange bell pepper.",3 of 16,0.1875,False,
8,"- I am in the kitchen.
- The fridge is open and contains a raw pork chop and a carrot.
- The recipe requires red apple, block of cheese, red onion, orange bell pepper, red hot pepper.
- On the counter: red hot pepper, raw yellow potato, raw purple potato, raw red potato, knife.
- I am carrying a red apple, a red onion, a block of cheese, and an orange bell pepper.
- The stove is empty.
- A yellow bell pepper is on the floor.",I should take the red hot pepper from the counter now.,take red hot pepper from counter,,"You take the red hot pepper from the counter.



Your score has just gone up by one point.",Kitchen,"You arrive in a kitchen. A normal kind of place.

You see an opened fridge. The fridge contains a raw pork chop and a carrot. Huh, weird. You rest your hand against a wall, but you miss the wall and fall onto an oven. I mean, just wow! Isn't TextWorld just the best? You see a table. The table is massive. On the table you can see a cookbook. You see a gleam over in a corner, where you can see a counter. On the counter you can see a raw yellow potato, a raw purple potato, a raw red potato and a knife. You see a stove. The stove is conventional. Unfortunately, there isn't a thing on it.



There is a yellow bell pepper on the floor.","You are carrying: a red hot pepper, a red apple, a red onion, a block of cheese and an orange bell pepper.",4 of 16,0.25,False,
9,"- I am in the kitchen.
- The fridge is open and contains a raw pork chop and a carrot.
- The recipe requires red apple, block of cheese, red onion, orange bell pepper, red hot pepper.
- On the counter: raw yellow potato, raw purple potato, raw red potato, knife.
- I am carrying a red hot pepper, a red apple, a red onion, a block of cheese, and an orange bell pepper.
- The stove is empty.
- A yellow bell pepper is on the floor.",I should examine the cookbook on the table to check the recipe details.,examine cookbook,,"You open the copy of ""Cooking: A Modern Approach (3rd Ed.)"" and start reading:

Recipe #1
---------
Gather all following ingredients and follow the directions to prepare this tasty meal.

Ingredients:
red apple
  block of cheese
  red onion
  orange bell pepper
  red hot pepper

Directions:
dice the red apple
  fry the red apple
  chop the block of cheese
  roast the block of cheese
  dice the red onion
  fry the red onion
  dice the orange bell pepper
  roast the orange bell pepper
  slice the red hot pepper
  fry the red hot pepper
  prepare meal",Kitchen,"You arrive in a kitchen. A normal kind of place.

You see an opened fridge. The fridge contains a raw pork chop and a carrot. Huh, weird. You rest your hand against a wall, but you miss the wall and fall onto an oven. I mean, just wow! Isn't TextWorld just the best? You see a table. The table is massive. On the table you can see a cookbook. You see a gleam over in a corner, where you can see a counter. On the counter you can see a raw yellow potato, a raw purple potato, a raw red potato and a knife. You see a stove. The stove is conventional. Unfortunately, there isn't a thing on it.



There is a yellow bell pepper on the floor.","You are carrying: a red hot pepper, a red apple, a red onion, a block of cheese and an orange bell pepper.",4 of 16,0.25,False,
10,"- I am in the kitchen.
- The fridge is open and contains a raw pork chop and a carrot.
- The recipe requires red apple, block of cheese, red onion, orange bell pepper, red hot pepper.
- On the counter: raw yellow potato, raw purple potato, raw red potato, knife.
- I am carrying a red hot pepper, a red apple, a red onion, a block of cheese, and an orange bell pepper.
- The stove is empty.
- A yellow bell pepper is on the floor.
- The cookbook recipe instructions are:
  - dice the red apple
  - fry the red apple
  - chop the block of cheese
  - roast the block of cheese
  - dice the red onion
  - fry the red onion
  - dice the orange bell pepper
  - roast the orange bell pepper
  - slice the red hot pepper
  - fry the red hot pepper
  - prepare meal",I should start by dicing the red apple with the knife.,dice red apple with knife,,You need to take the knife first.,Kitchen,"You arrive in a kitchen. A normal kind of place.

You see an opened fridge. The fridge contains a raw pork chop and a carrot. Huh, weird. You rest your hand against a wall, but you miss the wall and fall onto an oven. I mean, just wow! Isn't TextWorld just the best? You see a table. The table is massive. On the table you can see a cookbook. You see a gleam over in a corner, where you can see a counter. On the counter you can see a raw yellow potato, a raw purple potato, a raw red potato and a knife. You see a stove. The stove is conventional. Unfortunately, there isn't a thing on it.



There is a yellow bell pepper on the floor.","You are carrying: a red hot pepper, a red apple, a red onion, a block of cheese and an orange bell pepper.",4 of 16,0.25,False,
11,"- I am in the kitchen.
- The fridge is open and contains a raw pork chop and a carrot.
- The recipe requires red apple, block of cheese, red onion, orange bell pepper, red hot pepper.
- On the counter: raw yellow potato, raw purple potato, raw red potato, knife.
- I am carrying a red hot pepper, a red apple, a red onion, a block of cheese, and an orange bell pepper.
- The stove is empty.
- A yellow bell pepper is on the floor.
- The cookbook recipe instructions are:
  - dice the red apple
  - fry the red apple
  - chop the block of cheese
  - roast the block of cheese
  - dice the red onion
  - fry the red onion
  - dice the orange bell pepper
  - roast the orange bell pepper
  - slice the red hot pepper
  - fry the red hot pepper
  - prepare meal
- I need to take the knife before dicing.",I should take the knife from the counter first.,take knife from counter,,You're carrying too many things already.,Kitchen,"You arrive in a kitchen. A normal kind of place.

You see an opened fridge. The fridge contains a raw pork chop and a carrot. Huh, weird. You rest your hand against a wall, but you miss the wall and fall onto an oven. I mean, just wow! Isn't TextWorld just the best? You see a table. The table is massive. On the table you can see a cookbook. You see a gleam over in a corner, where you can see a counter. On the counter you can see a raw yellow potato, a raw purple potato, a raw red potato and a knife. You see a stove. The stove is conventional. Unfortunately, there isn't a thing on it.



There is a yellow bell pepper on the floor.","You are carrying: a red hot pepper, a red apple, a red onion, a block of cheese and an orange bell pepper.",4 of 16,0.25,False,
12,"- I am in the kitchen.
- The fridge is open and contains a raw pork chop and a carrot.
- The recipe requires red apple, block of cheese, red onion, orange bell pepper, red hot pepper.
- On the counter: raw yellow potato, raw purple potato, raw red potato, knife.
- I am carrying a red hot pepper, a red apple, a red onion, a block of cheese, and an orange bell pepper.
- The stove is empty.
- A yellow bell pepper is on the floor.
- The cookbook recipe instructions are:
  - dice the red apple
  - fry the red apple
  - chop the block of cheese
  - roast the block of cheese
  - dice the red onion
  - fry the red onion
  - dice the orange bell pepper
  - roast the orange bell pepper
  - slice the red hot pepper
  - fry the red hot pepper
  - prepare meal
- I need to take the knife before dicing.
- I am carrying too many things to take the knife.",I should drop the orange bell pepper to free space to take the knife.,drop orange bell pepper,,You drop the orange bell pepper on the ground.,Kitchen,"You arrive in a kitchen. A normal kind of place.

You see an opened fridge. The fridge contains a raw pork chop and a carrot. Huh, weird. You rest your hand against a wall, but you miss the wall and fall onto an oven. I mean, just wow! Isn't TextWorld just the best? You see a table. The table is massive. On the table you can see a cookbook. You see a gleam over in a corner, where you can see a counter. On the counter you can see a raw yellow potato, a raw purple potato, a raw red potato and a knife. You see a stove. The stove is conventional. Unfortunately, there isn't a thing on it.



There is an orange bell pepper and a yellow bell pepper on the floor.","You are carrying: a red hot pepper, a red apple, a red onion and a block of cheese.",4 of 16,0.25,False,
13,"- I am in the kitchen.
- The fridge is open and contains a raw pork chop and a carrot.
- The recipe requires red apple, block of cheese, red onion, orange bell pepper, red hot pepper.
- On the counter: raw yellow potato, raw purple potato, raw red potato, knife.
- I am carrying a red hot pepper, a red apple, a red onion, and a block of cheese.
- The stove is empty.
- Orange bell pepper and yellow bell pepper are on the floor.
- The cookbook recipe instructions are:
  - dice the red apple
  - fry the red apple
  - chop the block of cheese
  - roast the block of cheese
  - dice the red onion
  - fry the red onion
  - dice the orange bell pepper
  - roast the orange bell pepper
  - slice the red hot pepper
  - fry the red hot pepper
  - prepare meal
- I need to take the knife before dicing.",I should take the knife from the counter now.,take knife from counter,,You take the knife from the counter.,Kitchen,"You arrive in a kitchen. A normal kind of place.

You see an opened fridge. The fridge contains a raw pork chop and a carrot. Huh, weird. You rest your hand against a wall, but you miss the wall and fall onto an oven. I mean, just wow! Isn't TextWorld just the best? You see a table. The table is massive. On the table you can see a cookbook. You see a gleam over in a corner, where you can see a counter. On the counter you can see a raw yellow potato, a raw purple potato and a raw red potato. You see a stove. The stove is conventional. Unfortunately, there isn't a thing on it.



There is an orange bell pepper and a yellow bell pepper on the floor.","You are carrying: a knife, a red hot pepper, a red apple, a red onion and a block of cheese.",4 of 16,0.25,False,
14,"- I am in the kitchen.
- The fridge is open and contains a raw pork chop and a carrot.
- The recipe requires red apple, block of cheese, red onion, orange bell pepper, red hot pepper.
- On the counter: raw yellow potato, raw purple potato, raw red potato.
- I am carrying a knife, a red hot pepper, a red apple, a red onion, and a block of cheese.
- The stove is empty.
- Orange bell pepper and yellow bell pepper are on the floor.
- The cookbook recipe instructions are:
  - dice the red apple
  - fry the red apple
  - chop the block of cheese
  - roast the block of cheese
  - dice the red onion
  - fry the red onion
  - dice the orange bell pepper
  - roast the orange bell pepper
  - slice the red hot pepper
  - fry the red hot pepper
  - prepare meal",I should dice the red apple with the knife now.,dice red apple with knife,,"You dice the red apple.



Your score has just gone up by one point.",Kitchen,"You arrive in a kitchen. A normal kind of place.

You see an opened fridge. The fridge contains a raw pork chop and a carrot. Huh, weird. You rest your hand against a wall, but you miss the wall and fall onto an oven. I mean, just wow! Isn't TextWorld just the best? You see a table. The table is massive. On the table you can see a cookbook. You see a gleam over in a corner, where you can see a counter. On the counter you can see a raw yellow potato, a raw purple potato and a raw red potato. You see a stove. The stove is conventional. Unfortunately, there isn't a thing on it.



There is an orange bell pepper and a yellow bell pepper on the floor.","You are carrying: a knife, a red hot pepper, a diced red apple, a red onion and a block of cheese.",5 of 16,0.3125,False,
15,"- I am in the kitchen.
- The fridge is open and contains a raw pork chop and a carrot.
- The recipe requires red apple, block of cheese, red onion, orange bell pepper, red hot pepper.
- On the counter: raw yellow potato, raw purple potato, raw red potato.
- I am carrying a knife, a red hot pepper, a diced red apple, a red onion, and a block of cheese.
- The stove is empty.
- Orange bell pepper and yellow bell pepper are on the floor.
- The cookbook recipe instructions are:
  - fry the red apple
  - chop the block of cheese
  - roast the block of cheese
  - dice the red onion
  - fry the red onion
  - dice the orange bell pepper
  - roast the orange bell pepper
  - slice the red hot pepper
  - fry the red hot pepper
  - prepare meal",I should fry the diced red apple now.,fry diced red apple with stove,,That's not a verb I recognise.,Kitchen,"You arrive in a kitchen. A normal kind of place.

You see an opened fridge. The fridge contains a raw pork chop and a carrot. Huh, weird. You rest your hand against a wall, but you miss the wall and fall onto an oven. I mean, just wow! Isn't TextWorld just the best? You see a table. The table is massive. On the table you can see a cookbook. You see a gleam over in a corner, where you can see a counter. On the counter you can see a raw yellow potato, a raw purple potato and a raw red potato. You see a stove. The stove is conventional. Unfortunately, there isn't a thing on it.



There is an orange bell pepper and a yellow bell pepper on the floor.","You are carrying: a knife, a red hot pepper, a diced red apple, a red onion and a block of cheese.",5 of 16,0.3125,False,
16,"- I am in the kitchen.
- The fridge is open and contains a raw pork chop and a carrot.
- The recipe requires red apple, block of cheese, red onion, orange bell pepper, red hot pepper.
- On the counter: raw yellow potato, raw purple potato, raw red potato.
- I am carrying a knife, a red hot pepper, a diced red apple, a red onion, and a block of cheese.
- The stove is empty.
- Orange bell pepper and yellow bell pepper are on the floor.
- The cookbook recipe instructions are:
  - fry the red apple
  - chop the block of cheese
  - roast the block of cheese
  - dice the red onion
  - fry the red onion
  - dice the orange bell pepper
  - roast the orange bell pepper
  - slice the red hot pepper
  - fry the red hot pepper
  - prepare meal
- ""fry diced red apple with stove"" is not recognized.","I should try ""cook diced red apple with stove"" instead to fry it.",cook diced red apple with stove,,"You fried the red apple.



Your score has just gone up by one point.",Kitchen,"You arrive in a kitchen. A normal kind of place.

You see an opened fridge. The fridge contains a raw pork chop and a carrot. Huh, weird. You rest your hand against a wall, but you miss the wall and fall onto an oven. I mean, just wow! Isn't TextWorld just the best? You see a table. The table is massive. On the table you can see a cookbook. You see a gleam over in a corner, where you can see a counter. On the counter you can see a raw yellow potato, a raw purple potato and a raw red potato. You see a stove. The stove is conventional. Unfortunately, there isn't a thing on it.



There is an orange bell pepper and a yellow bell pepper on the floor.","You are carrying: a knife, a red hot pepper, a diced fried red apple, a red onion and a block of cheese.",6 of 16,0.375,False,
17,"- I am in the kitchen.
- The fridge is open and contains a raw pork chop and a carrot.
- The recipe requires red apple, block of cheese, red onion, orange bell pepper, red hot pepper.
- On the counter: raw yellow potato, raw purple potato, raw red potato.
- I am carrying a knife, a red hot pepper, a diced fried red apple, a red onion, and a block of cheese.
- The stove is empty.
- Orange bell pepper and yellow bell pepper are on the floor.
- The cookbook recipe instructions are:
  - chop the block of cheese
  - roast the block of cheese
  - dice the red onion
  - fry the red onion
  - dice the orange bell pepper
  - roast the orange bell pepper
  - slice the red hot pepper
  - fry the red hot pepper
  - prepare meal",I should chop the block of cheese with the knife now.,chop block of cheese with knife,,"You chop the block of cheese.



Your score has just gone up by one point.",Kitchen,"You arrive in a kitchen. A normal kind of place.

You see an opened fridge. The fridge contains a raw pork chop and a carrot. Huh, weird. You rest your hand against a wall, but you miss the wall and fall onto an oven. I mean, just wow! Isn't TextWorld just the best? You see a table. The table is massive. On the table you can see a cookbook. You see a gleam over in a corner, where you can see a counter. On the counter you can see a raw yellow potato, a raw purple potato and a raw red potato. You see a stove. The stove is conventional. Unfortunately, there isn't a thing on it.



There is an orange bell pepper and a yellow bell pepper on the floor.","You are carrying: a knife, a red hot pepper, a diced fried red apple, a red onion and a chopped block of cheese.",7 of 16,0.4375,False,
18,"- I am in the kitchen.
- The fridge is open and contains a raw pork chop and a carrot.
- The recipe requires red apple, block of cheese, red onion, orange bell pepper, red hot pepper.
- On the counter: raw yellow potato, raw purple potato, raw red potato.
- I am carrying a knife, a red hot pepper, a diced fried red apple, a red onion, and a chopped block of cheese.
- The stove is empty.
- Orange bell pepper and yellow bell pepper are on the floor.
- The cookbook recipe instructions are:
  - roast the block of cheese
  - dice the red onion
  - fry the red onion
  - dice the orange bell pepper
  - roast the orange bell pepper
  - slice the red hot pepper
  - fry the red hot pepper
  - prepare meal",I should roast the chopped block of cheese on the stove.,cook chopped block of cheese with stove,,"You fried the block of cheese.



                              *** You lost! ***

You scored 7 out of a possible 16, in 17 turns.


Would you like to RESTART, RESTORE a saved game, QUIT or UNDO the last command?
>",Kitchen,"You arrive in a kitchen. A normal kind of place.

You see an opened fridge. The fridge contains a raw pork chop and a carrot. Huh, weird. You rest your hand against a wall, but you miss the wall and fall onto an oven. I mean, just wow! Isn't TextWorld just the best? You see a table. The table is massive. On the table you can see a cookbook. You see a gleam over in a corner, where you can see a counter. On the counter you can see a raw yellow potato, a raw purple potato and a raw red potato. You see a stove. The stove is conventional. Unfortunately, there isn't a thing on it.



There is an orange bell pepper and a yellow bell pepper on the floor.","You are carrying: a knife, a red hot pepper, a diced fried red apple, a red onion and a chopped block of cheese.",7 of 16,0.4375,True,
