agent_name,model_name,eval_name,task_id,type,task,correct_answer,agent_answer,reward,steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,start_time,end_time,total_time,reward_per_step,reward_per_token,error,episode_id,episode,stop_time
react-v0,gpt-4.1-mini,tw-curriculum-7-3,0,,,,,1.0,46,101989,1199,103188,0.0815912,0.0038368,0.085428,1761263329.76729,,87.33085012435913,0.021739130434782608,9.691049346823275e-06,,0,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",1761263417.0981402
react-v0,gpt-4.1-mini,tw-curriculum-7-3,0,,,,,0.8666666666666667,70,251801,2253,254054,0.2014408,0.0072096,0.2086504,1761263418.2285836,,181.41337895393372,0.012380952380952381,3.4113482435492717e-06,,1,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",1761263599.6419625
react-v0,gpt-4.1-mini,tw-curriculum-7-3,0,,,,,0.8666666666666667,70,194644,2201,196845,0.15571520000000003,0.0070431999999999995,0.16275840000000003,1761263600.7822218,,147.45921277999878,0.012380952380952381,4.40278730303877e-06,,2,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",1761263748.2414346
react-v0,gpt-4.1-mini,tw-curriculum-7-3,0,,,,,0.0,70,173969,1471,175440,0.13917520000000003,0.004707200000000001,0.14388240000000002,1761263749.3795576,,137.012708902359,0.0,0.0,,3,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",1761263886.3922665
react-v0,gpt-4.1-mini,tw-curriculum-7-3,0,,,,,0.3333333333333333,21,30476,562,31038,0.0243808,0.0017984000000000001,0.0261792,1761263887.5864296,,40.49060368537903,0.015873015873015872,1.0739523594733337e-05,,4,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",1761263928.0770333
react-v0,gpt-4.1-mini,tw-curriculum-7-3,0,,,,,0.2,27,48677,838,49515,0.0389416,0.0026816,0.0416232,1761263929.1936145,,51.7438702583313,0.007407407407407408,4.039180046450571e-06,,5,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",1761263980.9374847
react-v0,gpt-4.1-mini,tw-curriculum-7-3,0,,,,,0.875,64,171218,2057,173275,0.13697440000000002,0.0065823999999999995,0.1435568,1761263982.0473855,,141.22554326057434,0.013671875,5.049776367046602e-06,,6,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",1761264123.2729287
react-v0,gpt-4.1-mini,tw-curriculum-7-3,0,,,,,0.9375,60,163862,1808,165670,0.1310896,0.0057856,0.1368752,1761264124.3720992,,130.44566011428833,0.015625,5.658839862377014e-06,,7,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",1761264254.8177593
react-v0,gpt-4.1-mini,tw-curriculum-7-3,0,,,,,0.06666666666666667,10,11075,295,11370,0.00886,0.0009440000000000001,0.009804,1761264255.9442515,,18.795897722244263,0.006666666666666666,5.863383172090296e-06,,8,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",1761264274.7401493
react-v0,gpt-4.1-mini,tw-curriculum-7-3,0,,,,,0.75,70,190182,1918,192100,0.1521456,0.0061376,0.15828319999999999,1761264275.8780856,,157.4935483932495,0.010714285714285714,3.9042165538781886e-06,,9,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",1761264433.371634
