level,sublevel,average_depth,count
1,1,4.0,13
1,2,5.0,12
1,3,5.769230769230769,13
1,4,6.0,12
1,5,8.0,13
1,6,6.833333333333333,12
1,7,9.76923076923077,13
1,8,9.833333333333334,12
2,1,16.0,6
2,2,18.333333333333332,6
2,3,18.8,5
2,4,22.0,6
2,5,25.0,5
2,6,26.166666666666668,6
2,7,26.6,5
2,8,28.0,6
2,9,32.8,5
2,10,32.0,6
2,11,33.166666666666664,6
2,12,34.0,5
2,13,34.0,6
2,14,37.8,5
2,15,39.666666666666664,6
2,16,40.0,5
2,17,40.166666666666664,6
2,18,42.6,5
3,1,39.857142857142854,7
3,2,39.857142857142854,7
3,3,42.833333333333336,6
3,4,43.0,7
3,5,43.142857142857146,7
3,6,57.666666666666664,6
3,7,57.857142857142854,7
3,8,62.142857142857146,7
3,9,57.5,6
3,10,64.0,7
3,11,61.857142857142854,7
3,12,62.666666666666664,6
3,13,60.57142857142857,7
3,14,61.857142857142854,7
3,15,64.5,6
