level,sublevel,average_depth,count
1,1,9.0,1
1,2,12.0,1
1,3,8.0,1
1,4,12.0,1
1,5,8.0,1
1,6,12.0,1
1,7,8.0,1
1,8,12.0,1
1,9,8.0,1
1,10,8.0,1
1,11,8.0,1
1,12,12.0,1
1,13,12.0,1
1,14,9.0,1
1,15,12.0,1
1,16,12.0,1
1,17,12.0,1
1,18,12.0,1
1,19,8.0,1
1,20,8.0,1
1,21,9.0,1
1,22,12.0,1
1,23,12.0,1
1,24,12.0,1
1,25,12.0,1
1,26,8.0,1
1,27,8.0,1
1,28,8.0,1
1,29,8.0,1
1,30,8.0,1
1,31,9.0,1
1,32,9.0,1
1,33,8.0,1
1,34,12.0,1
1,35,8.0,1
1,36,12.0,1
1,37,12.0,1
1,38,12.0,1
1,39,8.0,1
1,40,9.0,1
1,41,8.0,1
1,42,12.0,1
1,43,8.0,1
1,44,12.0,1
1,45,12.0,1
1,46,8.0,1
1,47,12.0,1
1,48,8.0,1
1,49,12.0,1
1,50,9.0,1
1,51,8.0,1
1,52,9.0,1
1,53,12.0,1
1,54,8.0,1
1,55,9.0,1
1,56,12.0,1
1,57,12.0,1
1,58,8.0,1
1,59,8.0,1
1,60,8.0,1
1,61,12.0,1
1,62,12.0,1
1,63,12.0,1
1,64,8.0,1
1,65,12.0,1
1,66,8.0,1
1,67,12.0,1
1,68,8.0,1
1,69,12.0,1
1,70,8.0,1
1,71,12.0,1
1,72,12.0,1
1,73,12.0,1
1,74,12.0,1
1,75,9.0,1
1,76,12.0,1
1,77,12.0,1
1,78,12.0,1
1,79,9.0,1
1,80,9.0,1
1,81,12.0,1
1,82,8.0,1
1,83,8.0,1
1,84,12.0,1
1,85,8.0,1
1,86,12.0,1
1,87,9.0,1
1,88,8.0,1
1,89,12.0,1
1,90,12.0,1
1,91,8.0,1
1,92,8.0,1
1,93,9.0,1
1,94,8.0,1
1,95,12.0,1
1,96,8.0,1
1,97,8.0,1
1,98,12.0,1
1,99,12.0,1
1,100,9.0,1
