agent_name,model_name,eval_name,episode,task,success,reward,steps,max_steps,solution_steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,start_time,end_time,total_time,reward_per_step,reward_per_token,error,stop_time
v99-oracle,oracle,tw-coin-3,1,You are now playing a profound round of TextWorld! Your task for today is to lift the coin from the floor of the studio.,True,1.0,1,20,1,0,0,0,0.0,0.0,0.0,1762619311.8431246,,0.0077893733978271484,1.0,0.0,,1762619311.850914
v99-oracle,oracle,tw-coin-3,2,"Hey, thanks for coming over to the TextWorld today, there is something I need you to do for me. First of all, make an attempt to go north. With that done, pick up the coin from the floor of the sauna. That's it!",True,1.0,2,20,2,0,0,0,0.0,0.0,0.0,1762619311.9532173,,0.012720823287963867,0.5,0.0,,1762619311.965938
v99-oracle,oracle,tw-coin-3,3,"Hey, thanks for coming over to the TextWorld today, there is something I need you to do for me. First thing I need you to do is to head east. And then, go north. If you can manage that, pick up the coin from the floor of the shower. And once you've done that, you win!",True,1.0,3,20,3,0,0,0,0.0,0.0,0.0,1762619312.0891883,,0.01894998550415039,0.3333333333333333,0.0,,1762619312.1081383
v99-oracle,oracle,tw-coin-3,4,"It's time to explore the amazing world of TextWorld! First off, try to head east. And then, head east. With that done, attempt to head south. With that accomplished, recover the coin from the floor of the cellar. And if you do that, you're the winner!",True,1.0,4,20,4,0,0,0,0.0,0.0,0.0,1762619312.2792451,,0.018857240676879883,0.25,0.0,,1762619312.2981024
v99-oracle,oracle,tw-coin-3,5,"Who's got a virtual machine and is about to play through an exciting round of TextWorld? You do! Here is how to play! First of all, make an attempt to take a trip west. If you can get through with that, try to take a trip west. Then, go south. Then, head west. With that accomplished, pick-up the coin from the floor of the canteen. Got that? Good!",True,1.0,5,20,5,0,0,0,0.0,0.0,0.0,1762619312.4184587,,0.02389216423034668,0.2,0.0,,1762619312.4423509
v99-oracle,oracle,tw-coin-3,6,"Welcome to another fast paced round of TextWorld! Here is how to play! First off, if it's not too much trouble, I need you to make an attempt to move east. And then, try to take a trip south. After that, make an attempt to head south. Next, make an attempt to move west. After that, venture south. Next, pick up the coin from the floor of the shower. And if you do that, you're the winner!",True,1.0,6,20,6,0,0,0,0.0,0.0,0.0,1762619312.566487,,0.03729844093322754,0.16666666666666666,0.0,,1762619312.6037855
v99-oracle,oracle,tw-coin-3,7,"Hey, thanks for coming over to the TextWorld today, there is something I need you to do for me. First thing I need you to do is to head west. After that, make an effort to move north. If you can get around to doing that, make an effort to take a trip east. And then, go east. And then, move north. With that accomplished, try to move east. Then, recover the coin from the floor of the spare room. Once that's all handled, you can stop!",True,1.0,7,20,7,0,0,0,0.0,0.0,0.0,1762619312.7434309,,0.07164835929870605,0.14285714285714285,0.0,,1762619312.8150792
v99-oracle,oracle,tw-coin-3,8,"You are now playing a fast paced round of TextWorld! First off, if it's not too much trouble, I need you to make an attempt to go to the west. If you can finish that, attempt to go north. With that done, make an effort to travel east. After that, make an effort to head south. And then, attempt to venture east. After that, go to the east. And then, make an effort to go to the north. Okay, and then, recover the coin from the floor of the kitchen. And if you do that, you're the winner!",True,1.0,8,20,8,0,0,0,0.0,0.0,0.0,1762619312.9564853,,0.04189705848693848,0.125,0.0,,1762619312.9983823
v99-oracle,oracle,tw-coin-3,9,"I hope you're ready to go into rooms and interact with objects, because you've just entered TextWorld! Here is how to play! First of all, move east. Next, head north. With that done, try to move west. Next, make an attempt to go south. And then, go west. And then, take a trip north. Then, travel west. Next, attempt to take a trip south. And then, pick-up the coin from the floor of the washroom. Once that's all handled, you can stop!",True,1.0,9,20,9,0,0,0,0.0,0.0,0.0,1762619313.099966,,0.050391197204589844,0.1111111111111111,0.0,,1762619313.1503572
v99-oracle,oracle,tw-coin-3,10,"Who's got a virtual machine and is about to play through an fast paced round of TextWorld? You do! Here is your task for today. First of all, attempt to go south. Okay, and then, make an effort to go to the east. And then, try to venture north. Then, venture north. Okay, and then, move east. With that done, move north. And then, try to travel east. After that, move south. Next, make an effort to take a trip south. And then, pick up the coin from the floor of the washroom. Alright, thanks!",True,1.0,10,20,10,0,0,0,0.0,0.0,0.0,1762619313.249797,,0.09540128707885742,0.1,0.0,,1762619313.3451984
v99-oracle,oracle,tw-coin-3,11,"Hey, thanks for coming over to the TextWorld today, there is something I need you to do for me. First of all, you could, like, try to go to the south. Then, try to go to the south. Next, make an effort to move east. Then, head south. Once you accomplish that, make an effort to move south. And then, attempt to venture east. And then, go to the east. After that, travel north. After that, make an effort to venture east. With that over with, attempt to go north. Then, pick up the coin from the floor of the basement. Alright, thanks!",True,1.0,11,20,11,0,0,0,0.0,0.0,0.0,1762619313.4887245,,0.06141471862792969,0.09090909090909091,0.0,,1762619313.5501392
v99-oracle,oracle,tw-coin-3,12,"Get ready to pick stuff up and put it in places, because you've just entered TextWorld! Here is how to play! Your first objective is to make an effort to head west. And then, try to move west. Following that, go to the south. And then, attempt to take a trip east. After that, go to the east. And then, go to the north. With that done, try to take a trip north. After that, go west. If you can do that, venture south. After that, take a trip south. Then, try to take a trip east. After that, retrieve the coin from the floor of the cubicle. And once you've done that, you win!",True,1.0,12,20,12,0,0,0,0.0,0.0,0.0,1762619313.6722255,,0.06771373748779297,0.08333333333333333,0.0,,1762619313.7399392
v99-oracle,oracle,tw-coin-3,13,"Hey, thanks for coming over to the TextWorld today, there is something I need you to do for me. First of all, you could, like, venture east. After that, venture north. Then, make an attempt to travel west. Then, venture north. Then, go to the west. And then, head west. After that, venture north. And then, attempt to travel east. Then, try to move north. And then, move west. And then, go to the west. Following that, attempt to go north. With that accomplished, retrieve the coin from the floor of the closet. Alright, thanks!",True,1.0,13,20,13,0,0,0,0.0,0.0,0.0,1762619313.8573499,,0.08019185066223145,0.07692307692307693,0.0,,1762619313.9375417
