step_id,plan,thought,action,task,feedback,location,description,inventory,score,reward,is_done,error
0,,,,"It's time to explore the amazing world of TextWorld! Here is how to play! First off, make an attempt to move west. After that, go west. Then, try to move north. Then, try to travel west. And then, make an effort to head north. And then, head north. With that done, make an attempt to go north. Then, travel north. And then, move north. That done, make an effort to venture west. And then, venture north. Okay, and then, head north. Then, travel north. After that, venture east. With that accomplished, travel south. And then, make an attempt to move east. After that, make an attempt to venture north. Then, make an attempt to go to the west. And then, make an effort to venture south. Then, venture west. Then, attempt to travel north. If you can finish that, make an attempt to venture east. After that, attempt to move north. With that over with, travel west. Then, head north. After that, make an effort to go to the west. And then, move north. Okay, and then, go east. Okay, and then, venture north. And then, travel north. With that accomplished, make an attempt to take a trip west. Following that, go to the south. And then, go west. And then, go south. With that done, make an attempt to go to the south. Then, attempt to go west. Then, attempt to move west. After that, try to head north. With that over with, go north. And then, move east. With that accomplished, go south. If you can manage that, travel south. Okay, and then, attempt to head east. Then, head east. Once you get through with that, go to the east. If you can get around to doing that, make an attempt to go east. After that, take a trip east. After that, attempt to travel south. That done, attempt to venture south. Once you accomplish that, make an attempt to head west. After that, make an effort to move north. Then, go north. And then, take a trip west. Then, head west. And then, try to travel west. And then, attempt to head south. Then, make an effort to go to the west. And then, attempt to head west. After that, attempt to take a trip north. With that over with, make an effort to go east. After that, attempt to take a trip south. And then, take a trip west. After that, venture south. That done, head south. And then, try to head south. Then, travel west. If you can manage that, make an attempt to move north. That done, retrieve the coin from the floor of the fun salon. Alright, thanks!",,Playroom,"Well, here we are in a playroom.



There is an exit to the west. Don't worry, it is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
1,,I'll attempt to move west from the playroom.,go west,,"Well, here we are in a restroom.



You need an unblocked exit? You should try going east. There is an exit to the west. Don't worry, it is unblocked.",Restroom,"Well, here we are in a restroom.



You need an unblocked exit? You should try going east. There is an exit to the west. Don't worry, it is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
2,,I will go west.,go west,,"You are in a spare room. A typical kind of place. Okay, just remember what you're here to do, and everything will go great.



There is an unguarded exit to the east. There is an exit to the north. Don't worry, it is unblocked.",Spare Room,"You are in a spare room. A typical kind of place. Okay, just remember what you're here to do, and everything will go great.



There is an unguarded exit to the east. There is an exit to the north. Don't worry, it is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
3,,I will go north.,go north,,"You find yourself in a salon. A typical kind of place.



There is an unguarded exit to the south. There is an unguarded exit to the west.",Salon,"You find yourself in a salon. A typical kind of place.



There is an unguarded exit to the south. There is an unguarded exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
4,,I'll take the coin from the floor of the salon.,take coin from floor,,You can't see any such thing.,Salon,"You find yourself in a salon. A typical kind of place.



There is an unguarded exit to the south. There is an unguarded exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
5,,I'll look around the salon to see if the coin is visible.,look,,"You find yourself in a salon. A typical kind of place.



There is an unguarded exit to the south. There is an unguarded exit to the west.",Salon,"You find yourself in a salon. A typical kind of place.



There is an unguarded exit to the south. There is an unguarded exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
6,,I will examine the floor to see if the coin is there.,examine floor,,You can't see any such thing.,Salon,"You find yourself in a salon. A typical kind of place.



There is an unguarded exit to the south. There is an unguarded exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
7,,I'll go west from the salon to explore and see if that reveals anything useful.,go west,,"You've just walked into a pantry. You decide to start listing off everything you see in the room, as if you were in a text adventure.



There is an exit to the east. Don't worry, it is unguarded. There is an exit to the north. Don't worry, it is unguarded.",Pantry,"You've just walked into a pantry. You decide to start listing off everything you see in the room, as if you were in a text adventure.



There is an exit to the east. Don't worry, it is unguarded. There is an exit to the north. Don't worry, it is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
8,,I'll head north from the pantry.,go north,,"You've entered a silent studio.



You don't like doors? Why not try going north, that entranceway is unguarded. There is an exit to the south. Don't worry, it is unguarded.",Silent Studio,"You've entered a silent studio.



You don't like doors? Why not try going north, that entranceway is unguarded. There is an exit to the south. Don't worry, it is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
9,,I'll go north from the Silent Studio.,go north,,"You are in a silent workshop.



There is an exit to the north. Don't worry, it is unblocked. You need an unblocked exit? You should try going south.",Silent Workshop,"You are in a silent workshop.



There is an exit to the north. Don't worry, it is unblocked. You need an unblocked exit? You should try going south.",You are carrying nothing.,0 of 1,0.0,False,
10,,I'll go north.,go north,,"You find yourself in a pantry. A roomy one.



You don't like doors? Why not try going north, that entranceway is unblocked. There is an exit to the south. Don't worry, it is unguarded.",Roomy Pantry,"You find yourself in a pantry. A roomy one.



You don't like doors? Why not try going north, that entranceway is unblocked. There is an exit to the south. Don't worry, it is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
11,,I'll go north from the roomy pantry.,go north,,"You've entered a gloomy closet.



There is an unblocked exit to the north. You don't like doors? Why not try going south, that entranceway is unblocked.",Gloomy Closet,"You've entered a gloomy closet.



There is an unblocked exit to the north. You don't like doors? Why not try going south, that entranceway is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
12,,I'll go north from the gloomy closet.,go north,,"You find yourself in a cookhouse. A balmy one. You begin looking for stuff.



You don't like doors? Why not try going south, that entranceway is unguarded. There is an unguarded exit to the west.",Balmy Cookhouse,"You find yourself in a cookhouse. A balmy one. You begin looking for stuff.



You don't like doors? Why not try going south, that entranceway is unguarded. There is an unguarded exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
13,,I'll venture west from the Balmy Cookhouse.,go west,,"You've entered a clean restroom. You start to take note of what's in the room.



There is an unblocked exit to the east. There is an exit to the north. Don't worry, it is unguarded.",Clean Restroom,"You've entered a clean restroom. You start to take note of what's in the room.



There is an unblocked exit to the east. There is an exit to the north. Don't worry, it is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
14,,I'll go north from the clean restroom.,go north,,"You've just walked into a spacious cellar. You decide to start listing off everything you see in the room, as if you were in a text adventure.



You need an unguarded exit? You should try going north. You need an unguarded exit? You should try going south.",Spacious Cellar,"You've just walked into a spacious cellar. You decide to start listing off everything you see in the room, as if you were in a text adventure.



You need an unguarded exit? You should try going north. You need an unguarded exit? You should try going south.",You are carrying nothing.,0 of 1,0.0,False,
15,,I'll move north from the spacious cellar.,go north,,"You are in a cookery. A hot one.



You need an unblocked exit? You should try going north. You need an unblocked exit? You should try going south.",Hot Cookery,"You are in a cookery. A hot one.



You need an unblocked exit? You should try going north. You need an unblocked exit? You should try going south.",You are carrying nothing.,0 of 1,0.0,False,
16,,I'll travel north from the Hot Cookery.,go north,,"You find yourself in a studio. A normal one.



There is an unguarded exit to the east. You need an unblocked exit? You should try going south.",Studio,"You find yourself in a studio. A normal one.



There is an unguarded exit to the east. You need an unblocked exit? You should try going south.",You are carrying nothing.,0 of 1,0.0,False,
17,,I'll go south from the Studio.,go south,,"You are in a cookery. A hot one.



You need an unblocked exit? You should try going north. You need an unblocked exit? You should try going south.",Hot Cookery,"You are in a cookery. A hot one.



You need an unblocked exit? You should try going north. You need an unblocked exit? You should try going south.",You are carrying nothing.,0 of 1,0.0,False,
18,,I'll follow the next instruction in the sequence and go east.,go east,,You can't go that way.,Hot Cookery,"You are in a cookery. A hot one.



You need an unblocked exit? You should try going north. You need an unblocked exit? You should try going south.",You are carrying nothing.,0 of 1,0.0,False,
19,,I'll venture north from the Hot Cookery.,go north,,"You find yourself in a studio. A normal one.



There is an unguarded exit to the east. You need an unblocked exit? You should try going south.",Studio,"You find yourself in a studio. A normal one.



There is an unguarded exit to the east. You need an unblocked exit? You should try going south.",You are carrying nothing.,0 of 1,0.0,False,
20,,I'll go east from the Studio.,go east,,"You've just sauntered into an office.



There is an exit to the south. Don't worry, it is unguarded. You need an unguarded exit? You should try going west.",Office,"You've just sauntered into an office.



There is an exit to the south. Don't worry, it is unguarded. You need an unguarded exit? You should try going west.",You are carrying nothing.,0 of 1,0.0,False,
21,,I'll go west from the office to continue back toward the salon.,go west,,"You find yourself in a studio. A normal one.



There is an unguarded exit to the east. You need an unblocked exit? You should try going south.",Studio,"You find yourself in a studio. A normal one.



There is an unguarded exit to the east. You need an unblocked exit? You should try going south.",You are carrying nothing.,0 of 1,0.0,False,
22,,I'll go south from the studio.,go south,,"You are in a cookery. A hot one.



You need an unblocked exit? You should try going north. You need an unblocked exit? You should try going south.",Hot Cookery,"You are in a cookery. A hot one.



You need an unblocked exit? You should try going north. You need an unblocked exit? You should try going south.",You are carrying nothing.,0 of 1,0.0,False,
