agent_name,model_name,eval_name,episode,task,success,reward,steps,max_steps,solution_steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,start_time,end_time,total_time,reward_per_step,reward_per_token,error,stop_time
baseline-10,gpt-4.1-mini,tw-treasure-1,10,You are now playing a life changing round of TextWorld! Recover the loaf of bread from the floor of the shower.,True,1.0,1,20,1,1448,26,1474,0.0011584000000000002,8.32e-05,0.0012416000000000003,1765329929.691516,,0.09331059455871582,1.0,0.0006784260515603799,,1765329930.7848265
baseline-10,gpt-4.1-mini,tw-treasure-1,20,"Get ready to pick stuff up and put it in places, because you've just entered TextWorld! Your task for today is to retrieve the keycard from the floor of the parlor.",True,1.0,1,20,1,1464,33,1497,0.0011712,0.00010560000000000002,0.0012768,1765329932.2121294,,0.5064027309417725,1.0,0.0006680026720106881,,1765329933.718532
baseline-10,gpt-4.1-mini,tw-treasure-1,30,"I hope you're ready to go into rooms and interact with objects, because you've just entered TextWorld! Here is your task for today. First of all, you could, like, make an attempt to travel west. Then, recover the cookie from the floor of the cellar. And if you do that, you're the winner!",True,1.0,2,20,2,3140,53,3193,0.0025120000000000003,0.0001696,0.0026816,1765329932.4932315,,0.9151186943054199,0.5,0.00031318509238960227,,1765329935.4083502
baseline-10,gpt-4.1-mini,tw-treasure-1,40,"It's time to explore the amazing world of TextWorld! First of all, you could, like, travel east. That done, lift the passkey from the floor of the office. And if you do that, you're the winner!",True,1.0,2,20,2,3141,44,3185,0.0025128000000000004,0.0001408,0.0026536000000000003,1765329936.7454424,,0.5310764312744141,0.5,0.0003139717425431711,,1765329939.2765188
baseline-10,gpt-4.1-mini,tw-treasure-1,50,"You are now playing a life changing round of TextWorld! First off, if it's not too much trouble, I need you to attempt to go north. Okay, and then, travel east. If you can succeed at that, pick-up the paper towel from the floor of the bathroom. That's it!",True,1.0,4,20,3,6955,96,7051,0.005564,0.00030720000000000004,0.0058712,1765329940.6716013,,2.807652235031128,0.25,0.00014182385477237272,,1765329947.4792535
baseline-10,gpt-4.1-mini,tw-treasure-1,60,"Welcome to TextWorld! First thing I need you to do is to attempt to move north. Following that, take a trip east. Okay, and then, recover the loaf of bread from the floor of the cookery. That's it!",True,1.0,3,20,3,4776,67,4843,0.0038208,0.0002144,0.0040352,1765329948.8891943,,1.7944068908691406,0.3333333333333333,0.00020648358455502787,,1765329953.6836011
baseline-10,gpt-4.1-mini,tw-treasure-1,70,"Welcome to TextWorld! First of all, make an attempt to venture south. And then, try to travel west. And then, head west. With that over with, pick-up the latchkey from the floor of the vault. That's it!",True,1.0,4,20,4,6623,73,6696,0.005298400000000001,0.0002336,0.0055320000000000005,1765329955.038707,,2.3170506954193115,0.25,0.00014934289127837514,,1765329961.3557577
baseline-10,gpt-4.1-mini,tw-treasure-1,80,"Welcome to TextWorld! Here is your task for today. First of all, take a trip north. Then, travel east. After that, move south. After that, retrieve the top hat from the floor of the garage. That's it!",True,1.0,4,20,4,6710,91,6801,0.005368,0.00029120000000000003,0.0056592000000000005,1765329962.660878,,0.9338359832763672,0.25,0.00014703720041170417,,1765329967.594714
baseline-10,gpt-4.1-mini,tw-treasure-1,90,"I hope you're ready to go into rooms and interact with objects, because you've just entered TextWorld! Here is how to play! First step, travel south. If you can finish that, make an attempt to head south. With that over with, attempt to go to the west. And then, try to take a trip north. After that, pick up the key from the floor of the basement. Got that? Good!",True,1.0,5,20,5,9178,102,9280,0.007342400000000001,0.0003264,0.007668800000000001,1765329969.0079443,,3.3009490966796875,0.2,0.00010775862068965517,,1765329977.3088934
baseline-10,gpt-4.1-mini,tw-treasure-1,100,"Hey, thanks for coming over to the TextWorld today, there is something I need you to do for me. First off, if it's not too much trouble, I need you to move south. Next, go to the east. Then, make an effort to go north. After that, make an effort to venture east. After that, recover the latchkey from the floor of the studio. And once you've done that, you win!",True,1.0,5,20,5,9078,101,9179,0.0072624,0.00032320000000000005,0.0075856,1765329978.8891017,,3.313349723815918,0.2,0.00010894432944765226,,1765329987.2024515
