agent_name,model_name,eval_name,tasks,successes,failures,errors,accuracy,total_reward,total_steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,total_time,avg_reward_per_task,avg_reward_per_step,avg_reward_per_token
baseline-10,gpt-4.1-mini,tw-coin-1,10,2,0,0,0.2,2.0,706,1888454,13783,1902237,1.5107632,0.0441056,1.5548688000000002,1866.755725860596,0.2,0.0028328611898017,1.0513937012054755e-06
baseline-10,gpt-4.1-mini,tw-coin-2,10,1,0,0,0.1,1.0,710,1956937,15437,1972374,1.5655496,0.0493983999999999,1.6149479999999998,1981.231580734253,0.1,0.0014084507042253,5.070032356946502e-07
baseline-10,gpt-4.1-mini,tw-coin-3,10,1,0,0,0.1,1.0,710,1999634,16017,2015651,1.5997072,0.0512544,1.6509616,1981.646250963211,0.1,0.0014084507042253,4.961176314748933e-07
baseline-10,gpt-4.1-mini,tw-cooking-1,10,6,0,0,0.6,7.450000000000001,59,122551,1503,124054,0.0980408,0.0048096,0.1028504,115.77516531944276,0.7450000000000001,0.1262711864406779,6.005449239847165e-05
baseline-10,gpt-4.1-mini,tw-cooking-2,10,0,0,0,0.0,4.601384399913812,252,644319,6613,650932,0.5154552,0.0211616,0.5366168,596.7699077129364,0.4601384399913811,0.0182594619044198,7.068917183229296e-06
baseline-10,gpt-4.1-mini,tw-cooking-3,10,0,0,0,0.0,3.414915966386554,512,1466921,15008,1481929,1.1735368,0.0480256,1.2215624,1999.943161725998,0.3414915966386554,0.0066697577468487,2.304372184083417e-06
baseline-10,gpt-4.1-mini,tw-simple-1,10,4,0,0,0.4,6.2,169,398870,4220,403090,0.319096,0.013504,0.3326,529.3388042449951,0.62,0.0366863905325443,1.5381180381552506e-05
baseline-10,gpt-4.1-mini,tw-treasure-1,10,10,0,0,1.0,10.0,30,46303,615,46918,0.0370424,0.001968,0.0390104,44.24822783470154,1.0,0.3333333333333333,0.0002131378149111
baseline-10,gpt-4.1-mini,tw-treasure-2,10,10,0,0,1.0,10.0,56,103862,1209,105071,0.0830896,0.0038688,0.0869584,172.643483877182,1.0,0.1785714285714285,9.517373966175252e-05
baseline-10,gpt-4.1-mini,tw-treasure-3,10,7,0,0,0.7,7.0,139,323197,2802,325999,0.2585576,0.0089664,0.267524,381.7138440608978,0.7,0.0503597122302158,2.147245850447394e-05
baseline-new,gpt-4.1-mini,tw-coin-1,10,2,0,0,0.2,2.0,707,1856486,13243,1869729,1.4851888000000002,0.0423776,1.5275664,1907.6461284160607,0.2,0.0028288543140028,1.0696737334661868e-06
baseline-new,gpt-4.1-mini,tw-coin-2,10,1,0,0,0.1,1.0,710,1923132,15500,1938632,1.5385056,0.0496,1.5881056,1656.5858054161072,0.1,0.0014084507042253,5.158276557902686e-07
baseline-new,gpt-4.1-mini,tw-coin-3,10,1,0,0,0.1,1.0,713,1988409,15550,2003959,1.5907272000000003,0.04976,1.6404872,1998.3398776054385,0.1,0.0014025245441795,4.990122053395304e-07
baseline-new,gpt-4.1-mini,tw-cooking-1,10,7,0,0,0.7,8.200000000000001,77,172638,2134,174772,0.1381104,0.0068288,0.1449392,150.07536339759827,0.8200000000000001,0.1064935064935065,4.691827066120432e-05
baseline-new,gpt-4.1-mini,tw-cooking-2,10,1,0,0,0.1,5.334122495151907,295,765232,7767,772999,0.6121856,0.0248544,0.63704,723.4768054485321,0.5334122495151907,0.0180817711700064,6.900555492506338e-06
baseline-new,gpt-4.1-mini,tw-cooking-3,10,0,0,0,0.0,3.828256302521008,506,1401147,14445,1415592,1.1209176,0.046224,1.1671416,2026.551147699356,0.3828256302521008,0.0075657239180257,2.7043500546209698e-06
baseline-new,gpt-4.1-mini,tw-simple-1,10,4,0,0,0.4,5.5,173,402760,4318,407078,0.322208,0.0138176,0.3360256,469.4796040058136,0.55,0.0317919075144508,1.3510924196345665e-05
baseline-new,gpt-4.1-mini,tw-treasure-1,10,10,0,0,1.0,10.0,30,45299,628,45927,0.0362392,0.0020096,0.0382488,74.83831310272217,1.0,0.3333333333333333,0.0002177368432512
baseline-new,gpt-4.1-mini,tw-treasure-2,10,10,0,0,1.0,10.0,55,99722,1093,100815,0.0797776,0.0034976,0.0832752,74.94286608695984,1.0,0.1818181818181818,9.919158855329068e-05
baseline-new,gpt-4.1-mini,tw-treasure-3,10,8,0,0,0.8,8.0,124,279400,2320,281720,0.22352,0.007424,0.2309439999999999,295.7469074726105,0.8,0.064516129032258,2.839698991906858e-05
baseline-old,gpt-4.1-mini,tw-coin-1,10,2,0,0,0.2,2.0,705,1839235,13738,1852973,1.471388,0.0439616,1.5153496,1738.627769947052,0.2,0.0028368794326241,1.0793465420165324e-06
baseline-old,gpt-4.1-mini,tw-coin-2,10,1,0,0,0.1,1.0,710,1892358,15149,1907507,1.5138864000000003,0.0484768,1.5623632000000005,1699.516329050064,0.1,0.0014084507042253,5.242444719731041e-07
baseline-old,gpt-4.1-mini,tw-coin-3,10,0,0,0,0.0,0.0,720,1947548,14798,1962346,1.5580384000000005,0.0473535999999999,1.605392,1835.498146295548,0.0,0.0,0.0
baseline-old,gpt-4.1-mini,tw-cooking-1,10,7,0,0,0.7,8.200000000000001,72,151543,1796,153339,0.1212344,0.0057472,0.1269816,89.77448725700378,0.8200000000000001,0.1138888888888889,5.347628457209191e-05
baseline-old,gpt-4.1-mini,tw-cooking-2,10,1,0,0,0.1,5.203065072182719,249,618259,6381,624640,0.4946072,0.0204192,0.5150264000000001,532.6353049278259,0.5203065072182719,0.0208958436633844,8.329702023858092e-06
baseline-old,gpt-4.1-mini,tw-cooking-3,10,0,0,0,0.0,3.650210084033613,394,1064013,10966,1074979,0.8512104,0.0350912,0.8863016,1407.318699836731,0.3650210084033612,0.00926449259907,3.3956105970754896e-06
baseline-old,gpt-4.1-mini,tw-simple-1,10,3,0,0,0.3,5.25,175,408515,4453,412968,0.326812,0.0142496,0.3410616,329.9623885154724,0.525,0.03,1.2712849421746965e-05
baseline-old,gpt-4.1-mini,tw-treasure-1,10,10,0,0,1.0,10.0,30,44225,633,44858,0.03538,0.0020256,0.0374056,28.30254983901977,1.0,0.3333333333333333,0.0002229256765794
