step_id,plan,summary,thought,action,task,feedback,location,description,inventory,score,reward,is_done,error
0,,,,,"Welcome to TextWorld! Here is how to play! First of all, you could, like, make an attempt to move west. Then, try to travel south. With that over with, make an effort to go south. And then, make an effort to venture east. And then, go to the east. Okay, and then, move south. Following that, retrieve the latchkey from the stand. And once you've done that, you win!",,Kitchenette,"You arrive in a kitchenette. A typical one.

You can see a chair. But the thing is empty.

There is an unguarded exit to the south. You need an unguarded exit? You should try going west.",You are carrying nothing.,0 of 1,0.0,False,
1,,,I should try to move west as suggested.,go west,,"You arrive in a shower. A normal one.

You see a counter. But the thing hasn't got anything on it. Oh! Why couldn't there just be stuff on it?

There is an unguarded exit to the east. You don't like doors? Why not try going south, that entranceway is unguarded.",Shower,"You arrive in a shower. A normal one.

You see a counter. But the thing hasn't got anything on it. Oh! Why couldn't there just be stuff on it?

There is an unguarded exit to the east. You don't like doors? Why not try going south, that entranceway is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
2,,,I should try to move west as the first step of the instructions.,go west,,You can't go that way.,Shower,"You arrive in a shower. A normal one.

You see a counter. But the thing hasn't got anything on it. Oh! Why couldn't there just be stuff on it?

There is an unguarded exit to the east. You don't like doors? Why not try going south, that entranceway is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
3,,,I should go south since the entranceway is unguarded and going west is not possible.,go south,,"Look at you, bigshot, walking into a recreation zone like it isn't some huge deal.



You need an unblocked exit? You should try going east. There is an exit to the north. Don't worry, it is unguarded. There is an exit to the south. Don't worry, it is unguarded.",Recreation Zone,"Look at you, bigshot, walking into a recreation zone like it isn't some huge deal.



You need an unblocked exit? You should try going east. There is an exit to the north. Don't worry, it is unguarded. There is an exit to the south. Don't worry, it is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
4,,,I should go east as suggested to find an unblocked exit.,go east,,"You are in an office. An ordinary one. You can barely contain your excitement.

You see a gleam over in a corner, where you can see a case.

There is an exit to the east. Don't worry, it is unblocked. You don't like doors? Why not try going north, that entranceway is unblocked. There is an exit to the south. Don't worry, it is unguarded. There is an unguarded exit to the west.",Office,"You are in an office. An ordinary one. You can barely contain your excitement.

You see a gleam over in a corner, where you can see a case.

There is an exit to the east. Don't worry, it is unblocked. You don't like doors? Why not try going north, that entranceway is unblocked. There is an exit to the south. Don't worry, it is unguarded. There is an unguarded exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
5,,,I should move west as the first step of the instructions.,go west,,"Look at you, bigshot, walking into a recreation zone like it isn't some huge deal.



You need an unblocked exit? You should try going east. There is an exit to the north. Don't worry, it is unguarded. There is an exit to the south. Don't worry, it is unguarded.",Recreation Zone,"Look at you, bigshot, walking into a recreation zone like it isn't some huge deal.



You need an unblocked exit? You should try going east. There is an exit to the north. Don't worry, it is unguarded. There is an exit to the south. Don't worry, it is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
6,,,I should go east as suggested to find an unblocked exit.,go east,,"You are in an office. An ordinary one. You can barely contain your excitement.

You see a gleam over in a corner, where you can see a case.

There is an exit to the east. Don't worry, it is unblocked. You don't like doors? Why not try going north, that entranceway is unblocked. There is an exit to the south. Don't worry, it is unguarded. There is an unguarded exit to the west.",Office,"You are in an office. An ordinary one. You can barely contain your excitement.

You see a gleam over in a corner, where you can see a case.

There is an exit to the east. Don't worry, it is unblocked. You don't like doors? Why not try going north, that entranceway is unblocked. There is an exit to the south. Don't worry, it is unguarded. There is an unguarded exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
7,,,I should take the latchkey from the case in the corner to complete the task.,take latchkey from case,,You can't see any such thing.,Office,"You are in an office. An ordinary one. You can barely contain your excitement.

You see a gleam over in a corner, where you can see a case.

There is an exit to the east. Don't worry, it is unblocked. You don't like doors? Why not try going north, that entranceway is unblocked. There is an exit to the south. Don't worry, it is unguarded. There is an unguarded exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
8,,,I should go west to explore the area and possibly find the latchkey.,go west,,"Look at you, bigshot, walking into a recreation zone like it isn't some huge deal.



You need an unblocked exit? You should try going east. There is an exit to the north. Don't worry, it is unguarded. There is an exit to the south. Don't worry, it is unguarded.",Recreation Zone,"Look at you, bigshot, walking into a recreation zone like it isn't some huge deal.



You need an unblocked exit? You should try going east. There is an exit to the north. Don't worry, it is unguarded. There is an exit to the south. Don't worry, it is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
9,,,I should try going east as suggested to find an unblocked exit.,go east,,"You are in an office. An ordinary one. You can barely contain your excitement.

You see a gleam over in a corner, where you can see a case.

There is an exit to the east. Don't worry, it is unblocked. You don't like doors? Why not try going north, that entranceway is unblocked. There is an exit to the south. Don't worry, it is unguarded. There is an unguarded exit to the west.",Office,"You are in an office. An ordinary one. You can barely contain your excitement.

You see a gleam over in a corner, where you can see a case.

There is an exit to the east. Don't worry, it is unblocked. You don't like doors? Why not try going north, that entranceway is unblocked. There is an exit to the south. Don't worry, it is unguarded. There is an unguarded exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
