agent_name,model_name,eval_name,task_id,type,question,correct_answer,agent_answer,reward,steps,input_tokens,output_tokens,total_tokens,reward_per_step,reward_per_token,error
react,gpt-4.1,cooking-game-10,0,,,,,1.0,29,57974,957,58931,0.034482758620689655,1.6968997641309327e-05,
react,gpt-4.1,cooking-game-10,1,,,,,1.0,40,94130,1097,95227,0.025,1.0501223392525229e-05,
react,gpt-4.1,cooking-game-10,2,,,,,1.0,38,83358,1048,84406,0.02631578947368421,1.1847498992962586e-05,
react,gpt-4.1,cooking-game-10,3,,,,,1.0,40,90549,1164,91713,0.025,1.0903579645197518e-05,
react,gpt-4.1,cooking-game-10,4,,,,,0.8181818181818182,50,141719,1810,143529,0.016363636363636365,5.700463447678296e-06,
react,gpt-4.1,cooking-game-10,5,,,,,0.9090909090909091,50,138905,1526,140431,0.01818181818181818,6.4735771239321024e-06,
react,gpt-4.1,cooking-game-10,6,,,,,0.8,50,145003,1483,146486,0.016,5.461272749614298e-06,
react,gpt-4.1,cooking-game-10,7,,,,,1.0,40,105043,1175,106218,0.025,9.414600161931124e-06,
react,gpt-4.1,cooking-game-10,8,,,,,1.0,30,54828,866,55694,0.03333333333333333,1.7955255503285813e-05,
react,gpt-4.1,cooking-game-10,9,,,,,1.0,47,123585,1382,124967,0.02127659574468085,8.002112557715236e-06,
