agent_name,model_name,eval_name,task_id,type,question,correct_answer,agent_answer,reward,steps,input_tokens,output_tokens,total_tokens,reward_per_step,reward_per_token,error
react,gpt-4.1-mini,cooking-game-10,0,,,,,0.2,50,144709,1873,146582,0.004,1.364424008404852e-06,
react,gpt-4.1-mini,cooking-game-10,1,,,,,0.8181818181818182,50,148239,1511,149750,0.016363636363636365,5.463651540446198e-06,
react,gpt-4.1-mini,cooking-game-10,2,,,,,0.2727272727272727,50,122589,1371,123960,0.005454545454545454,2.2001232068995863e-06,
react,gpt-4.1-mini,cooking-game-10,3,,,,,0.36363636363636365,50,130795,1587,132382,0.007272727272727273,2.7468716565421557e-06,
react,gpt-4.1-mini,cooking-game-10,4,,,,,0.2727272727272727,50,138676,1760,140436,0.005454545454545454,1.942003992760209e-06,
react,gpt-4.1-mini,cooking-game-10,5,,,,,0.18181818181818182,50,116030,1428,117458,0.0036363636363636364,1.5479420883905892e-06,
react,gpt-4.1-mini,cooking-game-10,6,,,,,0.2,50,182967,1762,184729,0.004,1.0826670419912414e-06,
react,gpt-4.1-mini,cooking-game-10,7,,,,,0.2727272727272727,50,130530,1441,131971,0.005454545454545454,2.0665697215848386e-06,
react,gpt-4.1-mini,cooking-game-10,8,,,,,0.6,50,149725,1698,151423,0.012,3.962409937724124e-06,
react,gpt-4.1-mini,cooking-game-10,9,,,,,0.2,50,167788,1956,169744,0.004,1.178244886417193e-06,
