agent_name,model_name,eval_name,task_id,type,question,correct_answer,agent_answer,reward,steps,input_tokens,output_tokens,total_tokens,reward_per_step,reward_per_token,error
react,gpt-4.1,treasure-game-10,0,,,,,1.0,2,2428,57,2485,0.5,0.00040241448692152917,
react,gpt-4.1,treasure-game-10,1,,,,,1.0,3,3579,105,3684,0.3333333333333333,0.0002714440825190011,
react,gpt-4.1,treasure-game-10,2,,,,,1.0,4,4906,110,5016,0.25,0.00019936204146730463,
react,gpt-4.1,treasure-game-10,3,,,,,1.0,6,7348,132,7480,0.16666666666666666,0.00013368983957219252,
react,gpt-4.1,treasure-game-10,4,,,,,1.0,6,7588,146,7734,0.16666666666666666,0.00012929919834497026,
react,gpt-4.1,treasure-game-10,5,,,,,1.0,6,6586,155,6741,0.16666666666666666,0.0001483459427384661,
react,gpt-4.1,treasure-game-10,6,,,,,1.0,7,8472,140,8612,0.14285714285714285,0.00011611704598235021,
react,gpt-4.1,treasure-game-10,7,,,,,1.0,8,9851,170,10021,0.125,9.979044007584074e-05,
react,gpt-4.1,treasure-game-10,8,,,,,1.0,5,5984,134,6118,0.2,0.00016345210853220007,
react,gpt-4.1,treasure-game-10,9,,,,,1.0,11,14395,246,14641,0.09090909090909091,6.830134553650706e-05,
