agent_name,model_name,eval_name,episode,task,success,reward,steps,max_steps,solution_steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,start_time,end_time,total_time,reward_per_step,reward_per_token,error,stop_time
modular-v1,gpt-5.2,tw-treasure-2,10,"Welcome to TextWorld! Here is your task for today. First stop, go south. And then, pick-up the berry from the floor of the dish-pit. And once you've done that, you win!",True,1.0,3,20,2,11516,139,11655,0.020153,0.0019459999999999998,0.022099,1767221639.7657948,,39.01876759529114,0.3333333333333333,8.58000858000858e-05,,1767221681.7845623
modular-v1,gpt-5.2,tw-treasure-2,20,"I hope you're ready to go into rooms and interact with objects, because you've just entered TextWorld! Here is your task for today. First, it would be good if you could make sure that the door in the laundromat is wide open. After opening the door, venture north. If you can accomplish that, pick-up the key from the floor of the workshop. That's it!",True,1.0,4,20,3,14762,147,14909,0.025833500000000002,0.002058,0.027891500000000003,1767221682.9987838,,9.332715034484863,0.25,6.70735797169495e-05,,1767221696.3314989
modular-v1,gpt-5.2,tw-treasure-2,30,"Hey, thanks for coming over to the TextWorld today, there is something I need you to do for me. First off, travel east. With that done, ensure that the gateway is open. After that, go to the east. And then, pick-up the fondue from the floor of the office. Got that? Good!",True,1.0,5,20,4,19528,208,19736,0.034174,0.0029119999999999997,0.037086,1767221695.480648,,41.84870529174805,0.2,5.066882853668423e-05,,1767221742.3293533
modular-v1,gpt-5.2,tw-treasure-2,40,"You are now playing a profound round of TextWorld! Here is your task for today. First stop, attempt to go to the east. Then, look and see that the gateway in the cellar is open. After that, venture south. And then, try to take a trip west. After that, retrieve the key from the floor of the bedchamber. That's it!",True,1.0,7,20,5,31632,416,32048,0.055356,0.005823999999999999,0.06118,1767221743.5010438,,15.695667028427124,0.14285714285714285,3.120319520718922e-05,,1767221766.1967108
modular-v1,gpt-5.2,tw-treasure-2,50,"Welcome to TextWorld! Here is your task for today. First off, if it's not too much trouble, I need you to make absolutely sure that the door is opened. Once you have opened the door, head east. And then, head east. With that over with, try to venture south. Okay, and then, make an effort to travel west. Then, retrieve the fly larva from the floor of the studio. Alright, thanks!",True,1.0,7,20,6,32376,279,32655,0.056658,0.003906,0.060564,1767221767.393403,,47.14663600921631,0.14285714285714285,3.062318174858368e-05,,1767221821.540039
modular-v1,gpt-5.2,tw-treasure-2,60,"It's time to explore the amazing world of TextWorld! Here is how to play! First off, if it's not too much trouble, I need you to go to the west. After that, make an effort to go to the north. And then, make an effort to take a trip west. If you can accomplish that, go north. After that, attempt to head north. After that, retrieve the legume from the plate within the cookhouse. And once you've done that, you win!",True,1.0,7,20,6,33480,254,33734,0.05859,0.003556,0.06214600000000001,1767221822.6603055,,52.99032235145569,0.14285714285714285,2.9643682931167367e-05,,1767221882.6506279
modular-v1,gpt-5.2,tw-treasure-2,70,"It's time to explore the amazing world of TextWorld! Here is how to play! First of all, ensure that the gateway is open. Then, go west. And then, make it so that the hatch inside the vault is opened. After that, head west. And then, make an effort to go north. Then, go to the east. Then, recover the passkey from the floor of the garage. That's it!",True,1.0,8,20,7,37977,338,38315,0.06645975,0.004732,0.07119175,1767221883.8028119,,47.87294340133667,0.125,2.6099438862064465e-05,,1767221939.6757553
modular-v1,gpt-5.2,tw-treasure-2,80,"Get ready to pick stuff up and put it in places, because you've just entered TextWorld! Here is your task for today. First stop, attempt to venture west. Following that, open the door. After that, attempt to move south. And then, ensure that the portal inside the bedroom is open. Then, take a trip south. Then, make an effort to go to the east. After that, attempt to go south. If you can accomplish that, recover the worm from the floor of the bedchamber. And once you've done that, you win!",True,1.0,9,20,8,40426,361,40787,0.07074549999999999,0.0050539999999999995,0.07579949999999999,1767221940.9094634,,45.299113273620605,0.1111111111111111,2.45176159070292e-05,,1767221995.2085767
modular-v1,gpt-5.2,tw-treasure-2,90,"Welcome to TextWorld! Here is how to play! First thing I need you to do is to go west. With that done, try to take a trip south. Following that, try to travel south. With that done, make an effort to go west. Okay, and then, travel west. Then, take a trip north. After that, make an effort to go to the east. Okay, and then, make an effort to move north. Once you get around to doing that, recover the stick of butter from the suitcase. Once that's all handled, you can stop!",True,1.0,10,20,9,48813,354,49167,0.08542275,0.0049559999999999995,0.09037875000000001,1767221996.4244897,,59.12911558151245,0.1,2.0338845160371793e-05,,1767222065.5536053
modular-v1,gpt-5.2,tw-treasure-2,100,"Welcome to TextWorld! Here is your task for today. First thing I need you to do is to venture north. And then, make an attempt to move east. Then, lift the broom from the floor of the washroom. Once that's all handled, you can stop!",True,1.0,4,20,3,16177,154,16331,0.02830975,0.002156,0.03046575,1767222066.6987467,,41.240851402282715,0.25,6.123323740126141e-05,,1767222111.939598
