agent_name,model_name,eval_name,episode,task,success,reward,steps,max_steps,solution_steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,start_time,end_time,total_time,reward_per_step,reward_per_token,error,stop_time
modular-v2,gpt-5.2,tw-cooking-2,10,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",True,1.0,22,30,20,126362,1349,127711,0.2211335,0.018886,0.2400195,1767255522.2276351,,341.827317237854,0.045454545454545456,7.830179076195473e-06,,1767255886.0549524
modular-v2,gpt-5.2,tw-cooking-2,20,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.5,13,33,22,73062,914,73976,0.1278585,0.012796,0.14065450000000002,1767255887.1864192,,218.10562872886658,0.038461538461538464,6.758948848275116e-06,,1767256118.292048
modular-v2,gpt-5.2,tw-cooking-2,30,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",True,1.0,24,37,25,138921,1470,140391,0.24311175,0.02058,0.26369175,1767256119.4555311,,306.6452867984772,0.041666666666666664,7.12296372274576e-06,,1767256450.100818
modular-v2,gpt-5.2,tw-cooking-2,40,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",True,1.0,21,42,28,127247,1326,128573,0.22268225,0.018563999999999997,0.24124625,1767256451.2843745,,320.22027468681335,0.047619047619047616,7.777682717211234e-06,,1767256792.5046492
modular-v2,gpt-5.2,tw-cooking-2,50,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",True,1.0,33,60,40,200757,2161,202918,0.35132474999999996,0.030254000000000003,0.38157874999999997,1767256793.6881614,,480.52082777023315,0.030303030303030304,4.9280990350782085e-06,,1767257307.2089891
modular-v2,gpt-5.2,tw-cooking-2,60,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",True,1.0,28,46,31,169704,1715,171419,0.29698199999999997,0.02401,0.32099199999999994,1767257308.446437,,421.4212613105774,0.03571428571428571,5.833659045963399e-06,,1767257757.8676982
modular-v2,gpt-5.2,tw-cooking-2,70,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.25,9,51,34,46208,543,46751,0.08086399999999999,0.007601999999999999,0.08846599999999999,1767257759.067506,,118.11775517463684,0.027777777777777776,5.347479198305919e-06,,1767257886.1852612
modular-v2,gpt-5.2,tw-cooking-2,80,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",True,1.0,29,55,37,187910,1683,189593,0.3288425,0.023562,0.3524045,1767257887.3909872,,401.5390145778656,0.034482758620689655,5.274456335413227e-06,,1767258317.9300017
modular-v2,gpt-5.2,tw-cooking-2,90,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",True,1.0,40,61,41,253408,2559,255967,0.443464,0.035826000000000004,0.47929000000000005,1767258319.0732815,,631.2356514930725,0.025,3.906753604956889e-06,,1767258990.308933
modular-v2,gpt-5.2,tw-cooking-2,100,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",False,0.5294117647058824,19,66,44,119457,1088,120545,0.20904974999999998,0.015231999999999999,0.22428174999999997,1767258991.4752297,,244.29026412963867,0.02786377708978328,4.391818530058338e-06,,1767259254.7654939
