step_id,plan,thought,action,task,feedback,location,description,inventory,score,reward,is_done,error
0,,,,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",,Kitchen,"You are in a kitchen. A normal one. The room is well lit.

Hey, want to see a fridge? Look over there, a fridge. You can see a closed oven in the corner. You rest your hand against a wall, but you miss the wall and fall onto a table. You see a cookbook on the table. You see a counter. The counter is vast. On the counter you see a red hot pepper, a raw yellow potato, a raw purple potato and a knife. Look over there! a stove. You wonder idly who left that here. The stove appears to be empty.","You are carrying: a red apple, a carrot and a raw red potato.",0 of 8,0.0,False,
1,,I should examine the cookbook on the table to find a recipe for a delicious meal.,examine cookbook,,"You open the copy of ""Cooking: A Modern Approach (3rd Ed.)"" and start reading:

Recipe #1
---------
Gather all following ingredients and follow the directions to prepare this tasty meal.

Ingredients:
carrot
  red apple
  red potato

Directions:
slice the carrot
  fry the carrot
  slice the red apple
  fry the red apple
  dice the red potato
  fry the red potato
  prepare meal",Kitchen,"You are in a kitchen. A normal one. The room is well lit.

Hey, want to see a fridge? Look over there, a fridge. You can see a closed oven in the corner. You rest your hand against a wall, but you miss the wall and fall onto a table. You see a cookbook on the table. You see a counter. The counter is vast. On the counter you see a red hot pepper, a raw yellow potato, a raw purple potato and a knife. Look over there! a stove. You wonder idly who left that here. The stove appears to be empty.","You are carrying: a red apple, a carrot and a raw red potato.",0 of 8,0.0,False,
2,,I need to slice the carrot first as per the recipe.,slice carrot with knife,,You need to take the knife first.,Kitchen,"You are in a kitchen. A normal one. The room is well lit.

Hey, want to see a fridge? Look over there, a fridge. You can see a closed oven in the corner. You rest your hand against a wall, but you miss the wall and fall onto a table. You see a cookbook on the table. You see a counter. The counter is vast. On the counter you see a red hot pepper, a raw yellow potato, a raw purple potato and a knife. Look over there! a stove. You wonder idly who left that here. The stove appears to be empty.","You are carrying: a red apple, a carrot and a raw red potato.",0 of 8,0.0,False,
3,,I need to take the knife from the counter before slicing the carrot.,take knife from counter,,You're carrying too many things already.,Kitchen,"You are in a kitchen. A normal one. The room is well lit.

Hey, want to see a fridge? Look over there, a fridge. You can see a closed oven in the corner. You rest your hand against a wall, but you miss the wall and fall onto a table. You see a cookbook on the table. You see a counter. The counter is vast. On the counter you see a red hot pepper, a raw yellow potato, a raw purple potato and a knife. Look over there! a stove. You wonder idly who left that here. The stove appears to be empty.","You are carrying: a red apple, a carrot and a raw red potato.",0 of 8,0.0,False,
4,,I need to drop one item to free up space to take the knife. I will drop the raw red potato since it is raw and might be less useful than the others.,drop raw red potato,,You drop the red potato on the ground.,Kitchen,"You are in a kitchen. A normal one. The room is well lit.

Hey, want to see a fridge? Look over there, a fridge. You can see a closed oven in the corner. You rest your hand against a wall, but you miss the wall and fall onto a table. You see a cookbook on the table. You see a counter. The counter is vast. On the counter you see a red hot pepper, a raw yellow potato, a raw purple potato and a knife. Look over there! a stove. You wonder idly who left that here. The stove appears to be empty.



There is a raw red potato on the floor.",You are carrying: a red apple and a carrot.,0 of 8,0.0,False,
5,,"Now that I have space, I should take the knife from the counter.",take knife from counter,,You take the knife from the counter.,Kitchen,"You are in a kitchen. A normal one. The room is well lit.

Hey, want to see a fridge? Look over there, a fridge. You can see a closed oven in the corner. You rest your hand against a wall, but you miss the wall and fall onto a table. You see a cookbook on the table. You see a counter. The counter is vast. On the counter you see a red hot pepper, a raw yellow potato and a raw purple potato. Look over there! a stove. You wonder idly who left that here. The stove appears to be empty.



There is a raw red potato on the floor.","You are carrying: a knife, a red apple and a carrot.",0 of 8,0.0,False,
6,,I should slice the carrot now that I have the knife.,slice carrot with knife,,"You slice the carrot.



Your score has just gone up by one point.",Kitchen,"You are in a kitchen. A normal one. The room is well lit.

Hey, want to see a fridge? Look over there, a fridge. You can see a closed oven in the corner. You rest your hand against a wall, but you miss the wall and fall onto a table. You see a cookbook on the table. You see a counter. The counter is vast. On the counter you see a red hot pepper, a raw yellow potato and a raw purple potato. Look over there! a stove. You wonder idly who left that here. The stove appears to be empty.



There is a raw red potato on the floor.","You are carrying: a knife, a red apple and a sliced carrot.",1 of 8,0.125,False,
7,,"Next, I should fry the sliced carrot as per the recipe.",cook sliced carrot with stove,,"You fried the carrot.



Your score has just gone up by one point.",Kitchen,"You are in a kitchen. A normal one. The room is well lit.

Hey, want to see a fridge? Look over there, a fridge. You can see a closed oven in the corner. You rest your hand against a wall, but you miss the wall and fall onto a table. You see a cookbook on the table. You see a counter. The counter is vast. On the counter you see a red hot pepper, a raw yellow potato and a raw purple potato. Look over there! a stove. You wonder idly who left that here. The stove appears to be empty.



There is a raw red potato on the floor.","You are carrying: a knife, a red apple and a sliced fried carrot.",2 of 8,0.25,False,
8,,I should slice the red apple next as per the recipe.,slice red apple with knife,,"You slice the red apple.



Your score has just gone up by one point.",Kitchen,"You are in a kitchen. A normal one. The room is well lit.

Hey, want to see a fridge? Look over there, a fridge. You can see a closed oven in the corner. You rest your hand against a wall, but you miss the wall and fall onto a table. You see a cookbook on the table. You see a counter. The counter is vast. On the counter you see a red hot pepper, a raw yellow potato and a raw purple potato. Look over there! a stove. You wonder idly who left that here. The stove appears to be empty.



There is a raw red potato on the floor.","You are carrying: a knife, a sliced red apple and a sliced fried carrot.",3 of 8,0.375,False,
9,,I should fry the sliced red apple next.,cook sliced red apple with stove,,"You fried the red apple.



Your score has just gone up by one point.",Kitchen,"You are in a kitchen. A normal one. The room is well lit.

Hey, want to see a fridge? Look over there, a fridge. You can see a closed oven in the corner. You rest your hand against a wall, but you miss the wall and fall onto a table. You see a cookbook on the table. You see a counter. The counter is vast. On the counter you see a red hot pepper, a raw yellow potato and a raw purple potato. Look over there! a stove. You wonder idly who left that here. The stove appears to be empty.



There is a raw red potato on the floor.","You are carrying: a knife, a sliced fried red apple and a sliced fried carrot.",4 of 8,0.5,False,
10,,I should take the raw red potato from the floor to dice it next.,take raw red potato from floor,,You're carrying too many things already.,Kitchen,"You are in a kitchen. A normal one. The room is well lit.

Hey, want to see a fridge? Look over there, a fridge. You can see a closed oven in the corner. You rest your hand against a wall, but you miss the wall and fall onto a table. You see a cookbook on the table. You see a counter. The counter is vast. On the counter you see a red hot pepper, a raw yellow potato and a raw purple potato. Look over there! a stove. You wonder idly who left that here. The stove appears to be empty.



There is a raw red potato on the floor.","You are carrying: a knife, a sliced fried red apple and a sliced fried carrot.",4 of 8,0.5,False,
