topic,count
Mathematics,967
Physics,216
Computer Science,175
Chemistry,161
Applied Mathematics,107
Trivia,77
Electrical Engineering,74
Biology,57
Medicine,53
Linguistics,45
Genetics,33
History,31
Ecology,28
Musicology,26
Artificial Intelligence,25
Art History,25
Law,23
Neuroscience,23
Economics,21
Biochemistry,18
Philosophy,17
Games,17
Chess,16
Classics,16
Materials Science,16
Poetry,15
Astronomy,14
Data Science,13
Classical Ballet,13
Molecular Biology,12
Microbiology,12
Statistics,10
Geography,10
Computational Biology,9
Robotics,9
English Literature,9
Civil Engineering,9
Logic,9
Immunology,8
Education,7
Mechanical Engineering,7
Earth Science,7
Puzzle,7
Archaeology,6
Finance,6
Psychology,6
Computer Engineering,6
Game Design,6
Geology,6
Bioinformatics,5
Biophysics,5
Film Studies,5
Shape Rotation,5
Cryptography,5
Cybersecurity,4
Cultural Studies,4
Comparative Literature,4
Aerospace Engineering,4
Game Theory,4
Videogame Trivia,4
Quantum Computing,4
Machine Learning,4
International Business,3
Poker,3
Religious Studies,3
Paleography,3
Graph Theory,3
Anatomy,3
Literature,3
Environmental Contamination,3
Computational Chemistry,3
Pharmacy,3
Quantum Chemistry,3
Puzzles,3
Nanotechnology,2
Movies,2
Information Technology,2
Political Science,2
Architecture,2
Nuclear Science,2
Cognitive Science,2
Go,2
Dentistry,2
Russian Literature,2
Veterinary Medicine,2
Biotechnology,2
Bioengineering,2
Graphic Design,2
Agronomy,2
Programming,2
Computational Combinatorics,2
Biomedical Engineering,2
Public Health,2
Atmospheric Physics,1
Food Science,1
It,1
3D Modelling,1
Electrochemistry,1
Spatial Geometry,1
Math,1
Chemical Engineering,1
Travel,1
Epigenetics,1
Sociology,1
Nuclear Physics,1
Anthropology,1
Knowledge Management,1
Other,1
Process Optimization,1
Molecular Diagnostics,1
Chemoinformatics,1
Oceanography,1
Nutrition,1
Computational Geometry,1
Mathematical Statistics,1
Paleoclimatology,1
Heraldry,1
Calculus Engineering,1
Epistemology,1
Sports,1
Neurology,1
Complex Analysis,1
Theoretical Biology,1
Statistical Thermodynamics,1
Molecular Genetics,1
Communications,1
Industrial Engineering,1
Pattern Recognition,1
Plastic Surgery,1
Physical Medicine And Rehabilitation,1
Electrophysiology,1
Sliding Block Puzzles,1
Design,1
Corporate Eco-Efficiency,1
Lighting Design,1
Graphics Programing,1
Interdisciplinary,1
Pediatrics,1
Contemporary Ballet,1
Orthopedics,1
Transmission Model,1
Visual Reasoning,1
Acoustics,1
Health Sciences,1
Remote Sensing,1
Art,1
Organic Chemistry,1
"Religious Studies, Classics, Trivia",1
Cypher,1
Ballroom Dancing,1
Path Finding,1
Lojban,1
Information Systems,1
Runology,1
Photonics,1
Information Theory,1
Image Processing,1
Visual Imagery,1
Physiology,1
Quantization Scheme,1
Game Of Go,1
Environmental Science,1
Immunohistochemistry,1
Geophyics/Geodynamics,1
Set Theory,1
Theoretical Computer Science,1
Genomics,1
High Energy Physics And Nuclear Physics,1
Wireless Communication,1
Pathology,1
Spatial Recognition,1
Crystallography,1
Kinesiology,1
Mathematical Logic,1
Quantum Logic,1
Computational Mathematics,1
Bioeletronics,1
Chess And Topology,1
Complex Adaptive Systems,1
