step_id,plan,thought,action,task,feedback,location,description,inventory,score,reward,is_done,error
0,,,,The dinner is almost ready! It's only missing a grilled lettuce.,,Bedroom,"Look at that board! What does it say? It says Welcome to the bedroom? Well that's cool.

You see a chest drawer. You can't wait to tell the folks at home about this! You make out a closed antique trunk right there by you. Were you looking for a king-size bed? Because look over there, it's a king-size bed. But there isn't a thing on it. You move on, clearly upset with TextWorld.

There is a closed wooden door leading east.",You are carrying nothing.,0 of 4,0.0,False,
1,,I will open the closed wooden door to the east so I can explore the other rooms and find a kitchen and ingredients to make a grilled lettuce.,open door,,You have to unlock the wooden door with the old key first.,Bedroom,"Look at that board! What does it say? It says Welcome to the bedroom? Well that's cool.

You see a chest drawer. You can't wait to tell the folks at home about this! You make out a closed antique trunk right there by you. Were you looking for a king-size bed? Because look over there, it's a king-size bed. But there isn't a thing on it. You move on, clearly upset with TextWorld.

There is a closed wooden door leading east.",You are carrying nothing.,0 of 4,0.0,False,
2,,I'll examine the chest drawer to look for the old key needed to unlock the door.,examine chest drawer,,"The chest drawer looks strong, and impossible to destroy. It is closed.",Bedroom,"Look at that board! What does it say? It says Welcome to the bedroom? Well that's cool.

You see a chest drawer. You can't wait to tell the folks at home about this! You make out a closed antique trunk right there by you. Were you looking for a king-size bed? Because look over there, it's a king-size bed. But there isn't a thing on it. You move on, clearly upset with TextWorld.

There is a closed wooden door leading east.",You are carrying nothing.,0 of 4,0.0,False,
3,,I'll examine the antique trunk to see if the old key is inside.,examine antique trunk,,"The antique trunk looks strong, and impossible to destroy. You can't see inside it because the lid's in your way.",Bedroom,"Look at that board! What does it say? It says Welcome to the bedroom? Well that's cool.

You see a chest drawer. You can't wait to tell the folks at home about this! You make out a closed antique trunk right there by you. Were you looking for a king-size bed? Because look over there, it's a king-size bed. But there isn't a thing on it. You move on, clearly upset with TextWorld.

There is a closed wooden door leading east.",You are carrying nothing.,0 of 4,0.0,False,
4,,I'll try to open the antique trunk to see if the old key is inside.,open antique trunk,,"You open the antique trunk, revealing an old key.",Bedroom,"Look at that board! What does it say? It says Welcome to the bedroom? Well that's cool.

You see a chest drawer. You can't wait to tell the folks at home about this! You make out an opened antique trunk right there by you. The antique trunk contains an old key. Were you looking for a king-size bed? Because look over there, it's a king-size bed. But there isn't a thing on it. You move on, clearly upset with TextWorld.

There is a closed wooden door leading east.",You are carrying nothing.,0 of 4,0.0,False,
5,,I'll take the old key from the antique trunk so I can unlock the wooden door and continue searching for ingredients to grill lettuce.,take old key from antique trunk,,You take the old key from the antique trunk.,Bedroom,"Look at that board! What does it say? It says Welcome to the bedroom? Well that's cool.

You see a chest drawer. You can't wait to tell the folks at home about this! You make out an opened antique trunk right there by you. The antique trunk is empty! What a waste of a day! Were you looking for a king-size bed? Because look over there, it's a king-size bed. But there isn't a thing on it. You move on, clearly upset with TextWorld.

There is a closed wooden door leading east.",You are carrying: an old key.,0 of 4,0.0,False,
6,,I'll unlock the wooden door with the old key so I can go east and look for a kitchen.,unlock wooden door with old key,,You unlock wooden door.,Bedroom,"Look at that board! What does it say? It says Welcome to the bedroom? Well that's cool.

You see a chest drawer. You can't wait to tell the folks at home about this! You make out an opened antique trunk right there by you. The antique trunk is empty! What a waste of a day! Were you looking for a king-size bed? Because look over there, it's a king-size bed. But there isn't a thing on it. You move on, clearly upset with TextWorld.

There is a closed wooden door leading east.",You are carrying: an old key.,0 of 4,0.0,False,
7,,I'll open the wooden door to the east so I can go into the next room and search for a kitchen.,open wooden door,,You open wooden door.,Bedroom,"Look at that board! What does it say? It says Welcome to the bedroom? Well that's cool.

You see a chest drawer. You can't wait to tell the folks at home about this! You make out an opened antique trunk right there by you. The antique trunk is empty! What a waste of a day! Were you looking for a king-size bed? Because look over there, it's a king-size bed. But there isn't a thing on it. You move on, clearly upset with TextWorld.

There is an open wooden door leading east.",You are carrying: an old key.,0 of 4,0.0,False,
8,,I'll go east through the open wooden door to explore the next room and search for a kitchen or cooking items.,go east,,"You are in a kitchen. A typical one.

You can see a closed refrigerator, which looks normal, nearby. You make out a counter. You shudder, but continue examining the counter. But the thing is empty. Look over there! a stove. The stove is standard. Unfortunately, there isn't a thing on it. You move on, clearly upset with TextWorld. You make out a kitchen island. On the kitchen island you make out a note.

There is a closed screen door leading east. There is an open wooden door leading west. You need an unblocked exit? You should try going north. There is an unblocked exit to the south.



Your score has just gone up by one point.",Kitchen,"You are in a kitchen. A typical one.

You can see a closed refrigerator, which looks normal, nearby. You make out a counter. You shudder, but continue examining the counter. But the thing is empty. Look over there! a stove. The stove is standard. Unfortunately, there isn't a thing on it. You move on, clearly upset with TextWorld. You make out a kitchen island. On the kitchen island you make out a note.

There is a closed screen door leading east. There is an open wooden door leading west. You need an unblocked exit? You should try going north. There is an unblocked exit to the south.",You are carrying: an old key.,1 of 4,0.25,False,
9,,I'll open the refrigerator to look for lettuce or other ingredients needed to prepare a grilled lettuce.,open refrigerator,,"You open the refrigerator, revealing a bell pepper and a milk.",Kitchen,"You are in a kitchen. A typical one.

You can see an opened refrigerator, which looks normal, nearby. The refrigerator contains a bell pepper and a milk. You make out a counter. You shudder, but continue examining the counter. But the thing is empty. Look over there! a stove. The stove is standard. Unfortunately, there isn't a thing on it. You move on, clearly upset with TextWorld. You make out a kitchen island. On the kitchen island you make out a note.

There is a closed screen door leading east. There is an open wooden door leading west. You need an unblocked exit? You should try going north. There is an unblocked exit to the south.",You are carrying: an old key.,1 of 4,0.25,False,
10,,I'll examine the note on the kitchen island to see if it mentions where the lettuce or grilling instructions are.,examine note,,The dinner is almost ready! It's only missing a grilled lettuce.,Kitchen,"You are in a kitchen. A typical one.

You can see an opened refrigerator, which looks normal, nearby. The refrigerator contains a bell pepper and a milk. You make out a counter. You shudder, but continue examining the counter. But the thing is empty. Look over there! a stove. The stove is standard. Unfortunately, there isn't a thing on it. You move on, clearly upset with TextWorld. You make out a kitchen island. On the kitchen island you make out a note.

There is a closed screen door leading east. There is an open wooden door leading west. You need an unblocked exit? You should try going north. There is an unblocked exit to the south.",You are carrying: an old key.,1 of 4,0.25,False,
11,,I'll go north from the kitchen to search for the lettuce needed to make the grilled lettuce.,go north,,"You find yourself in a bathroom.

You see a closed toilet. You can see a bath. You see a sink. You see a toothbrush on the sink.

You need an unblocked exit? You should try going south.",Bathroom,"You find yourself in a bathroom.

You see a closed toilet. You can see a bath. You see a sink. You see a toothbrush on the sink.

You need an unblocked exit? You should try going south.",You are carrying: an old key.,1 of 4,0.25,False,
12,,I'll go south back to the kitchen so I can try the screen door to the east and look for lettuce outside.,go south,,"You are in a kitchen. A typical one.

You can see an opened refrigerator, which looks normal, nearby. The refrigerator contains a bell pepper and a milk. You make out a counter. You shudder, but continue examining the counter. But the thing is empty. Look over there! a stove. The stove is standard. Unfortunately, there isn't a thing on it. You move on, clearly upset with TextWorld. You make out a kitchen island. On the kitchen island you make out a note.

There is a closed screen door leading east. There is an open wooden door leading west. You need an unblocked exit? You should try going north. There is an unblocked exit to the south.",Kitchen,"You are in a kitchen. A typical one.

You can see an opened refrigerator, which looks normal, nearby. The refrigerator contains a bell pepper and a milk. You make out a counter. You shudder, but continue examining the counter. But the thing is empty. Look over there! a stove. The stove is standard. Unfortunately, there isn't a thing on it. You move on, clearly upset with TextWorld. You make out a kitchen island. On the kitchen island you make out a note.

There is a closed screen door leading east. There is an open wooden door leading west. You need an unblocked exit? You should try going north. There is an unblocked exit to the south.",You are carrying: an old key.,1 of 4,0.25,False,
13,,I'll open the closed screen door to the east to see if the lettuce is outside.,open screen door,,"You open screen door.


Your score has just gone up by one point.",Kitchen,"You are in a kitchen. A typical one.

You can see an opened refrigerator, which looks normal, nearby. The refrigerator contains a bell pepper and a milk. You make out a counter. You shudder, but continue examining the counter. But the thing is empty. Look over there! a stove. The stove is standard. Unfortunately, there isn't a thing on it. You move on, clearly upset with TextWorld. You make out a kitchen island. On the kitchen island you make out a note.

There is an open screen door leading east. There is an open wooden door leading west. You need an unblocked exit? You should try going north. There is an unblocked exit to the south.",You are carrying: an old key.,2 of 4,0.5,False,
14,,I'll go east through the open screen door to look for the lettuce needed for the grilled lettuce.,go east,,"You find yourself in a backyard. An ordinary one. You decide to just list off a complete list of everything you see in the room, because hey, why not?

You see a set of chairs. The set of chairs is standard. However, the set of chairs, like an empty set of chairs, has nothing on it. Oh! Why couldn't there just be stuff on it? You can make out a bbq. Looks like someone's already been here and taken everything off it, though. You think about smashing the bbq to bits, throwing the bits in the dump, etc, until you get bored. You make out a patio table. But the thing is empty. Oh! Why couldn't there just be stuff on it?

There is an open screen door leading west. You need an unguarded exit? You should try going south.",Backyard,"You find yourself in a backyard. An ordinary one. You decide to just list off a complete list of everything you see in the room, because hey, why not?

You see a set of chairs. The set of chairs is standard. However, the set of chairs, like an empty set of chairs, has nothing on it. Oh! Why couldn't there just be stuff on it? You can make out a bbq. Looks like someone's already been here and taken everything off it, though. You think about smashing the bbq to bits, throwing the bits in the dump, etc, until you get bored. You make out a patio table. But the thing is empty. Oh! Why couldn't there just be stuff on it?

There is an open screen door leading west. You need an unguarded exit? You should try going south.",You are carrying: an old key.,2 of 4,0.5,False,
15,,I'll go south from the backyard to search for lettuce or a garden area where it might be growing.,go south,,"Well, here we are in the garden. Let's see what's in here.



You don't like doors? Why not try going north, that entranceway is unblocked.

There is a tomato plant, a half of a bag of chips, a lettuce and a shovel on the floor.",Garden,"Well, here we are in the garden. Let's see what's in here.



You don't like doors? Why not try going north, that entranceway is unblocked.

There is a tomato plant, a half of a bag of chips, a lettuce and a shovel on the floor.",You are carrying: an old key.,2 of 4,0.5,False,
16,,I'll take the lettuce from the garden floor so I can grill it.,take lettuce,,"You pick up the lettuce from the ground.



Your score has just gone up by one point.",Garden,"Well, here we are in the garden. Let's see what's in here.



You don't like doors? Why not try going north, that entranceway is unblocked.

There is a tomato plant, a half of a bag of chips and a shovel on the floor.",You are carrying: a lettuce and an old key.,3 of 4,0.75,False,
17,,I'll go north to the backyard so I can return to the kitchen and grill the lettuce.,go north,,"You find yourself in a backyard. An ordinary one. You decide to just list off a complete list of everything you see in the room, because hey, why not?

You see a set of chairs. The set of chairs is standard. However, the set of chairs, like an empty set of chairs, has nothing on it. Oh! Why couldn't there just be stuff on it? You can make out a bbq. Looks like someone's already been here and taken everything off it, though. You think about smashing the bbq to bits, throwing the bits in the dump, etc, until you get bored. You make out a patio table. But the thing is empty. Oh! Why couldn't there just be stuff on it?

There is an open screen door leading west. You need an unguarded exit? You should try going south.",Backyard,"You find yourself in a backyard. An ordinary one. You decide to just list off a complete list of everything you see in the room, because hey, why not?

You see a set of chairs. The set of chairs is standard. However, the set of chairs, like an empty set of chairs, has nothing on it. Oh! Why couldn't there just be stuff on it? You can make out a bbq. Looks like someone's already been here and taken everything off it, though. You think about smashing the bbq to bits, throwing the bits in the dump, etc, until you get bored. You make out a patio table. But the thing is empty. Oh! Why couldn't there just be stuff on it?

There is an open screen door leading west. You need an unguarded exit? You should try going south.",You are carrying: a lettuce and an old key.,3 of 4,0.75,False,
18,,I'll go west through the open screen door to return to the kitchen and grill the lettuce on the stove.,go west,,"You are in a kitchen. A typical one.

You can see an opened refrigerator, which looks normal, nearby. The refrigerator contains a bell pepper and a milk. You make out a counter. You shudder, but continue examining the counter. But the thing is empty. Look over there! a stove. The stove is standard. Unfortunately, there isn't a thing on it. You move on, clearly upset with TextWorld. You make out a kitchen island. On the kitchen island you make out a note.

There is an open screen door leading east. There is an open wooden door leading west. You need an unblocked exit? You should try going north. There is an unblocked exit to the south.",Kitchen,"You are in a kitchen. A typical one.

You can see an opened refrigerator, which looks normal, nearby. The refrigerator contains a bell pepper and a milk. You make out a counter. You shudder, but continue examining the counter. But the thing is empty. Look over there! a stove. The stove is standard. Unfortunately, there isn't a thing on it. You move on, clearly upset with TextWorld. You make out a kitchen island. On the kitchen island you make out a note.

There is an open screen door leading east. There is an open wooden door leading west. You need an unblocked exit? You should try going north. There is an unblocked exit to the south.",You are carrying: a lettuce and an old key.,3 of 4,0.75,False,
