agent_name,model_name,eval_name,tasks,successes,failures,errors,accuracy,total_reward,total_steps,input_tokens,output_tokens,total_tokens,avg_reward_per_task,avg_reward_per_step,avg_reward_per_token
baseline,gpt-4.1,aqua-rat-10,10,7.0,3,0,0.7,7.0,10,2756,1070,3826,0.7,0.7,0.001829587
baseline,gpt-4.1,aqua-rat-100,100,70.0,30,5,0.7,70.0,100,26105,9244,35349,0.7,0.7,0.001980254
baseline,gpt-4.1-mini,aqua-rat-1,1,0.0,1,0,0.0,0.0,1,296,407,703,0.0,0.0,0.0
baseline,gpt-4.1-mini,aqua-rat-10,10,7.0,3,0,0.7,7.0,10,2756,1688,4444,0.7,0.7,0.001575158
baseline,gpt-4.1-mini,aqua-rat-10,10,6.0,4,0,0.6,6.0,11,3674,3261,6935,0.6,0.5454545454545454,0.0008651766402307
baseline,gpt-4.1-mini,aqua-rat-100,100,60.0,40,0,0.6,60.0,104,28695,13612,42307,0.6,0.576923077,0.001418205
baseline,gpt-4.1-mini,gsm-8k-10,10,10.0,0,0,1.0,10.0,10,2742,957,3699,1.0,1.0,0.0027034333603676
baseline,o3-mini,aqua-rat-10,10,9.0,1,0,0.9,9.0,10,2746,5486,8232,0.9,0.9,0.001093294
react,gpt-4.1,aqua-rat-10,10,5.0,5,0,0.5,5.0,36,16379,2208,18587,0.5,0.1388888888888889,0.000269005
react,gpt-4.1,aqua-rat-100,100,48.0,52,0,0.48,48.0,307,135877,18366,154243,0.48,0.1563517915309446,0.000311197
react,gpt-4.1-mini,aqua-rat-1,1,0.0,1,0,0.0,0.0,4,2545,668,3213,0.0,0.0,0.0
react,gpt-4.1-mini,aqua-rat-10,10,7.0,3,0,0.7,7.0,24,10638,2515,13153,0.7,0.2916666666666667,0.000532198
react,gpt-4.1-mini,aqua-rat-10,10,7.0,3,0,0.7,7.0,20,9733,4524,14257,0.7,0.35,0.0004909868836361
react,gpt-4.1-mini,aqua-rat-100,100,65.0,35,0,0.65,65.0,325,159011,25826,184837,0.65,0.2,0.000351661
react,gpt-4.1-mini,gsm-8k-10,10,10.0,0,0,1.0,10.0,26,10732,1633,12365,1.0,0.3846153846153846,0.0008087343307723
react,gpt-4.1-mini,gsm-8k-10,10,10.0,0,0,1.0,10.0,27,11371,1619,12990,1.0,0.37037037037037035,0.0007698229407236335
react,o3-mini,aqua-rat-10,10,8.0,2,0,0.8,8.0,12,4073,5589,9662,0.8,0.6666666666666666,0.000827986
