agent_name,model_name,eval_name,tasks,successes,failures,errors,accuracy,total_reward,total_steps,input_tokens,output_tokens,total_tokens,avg_reward_per_task,avg_reward_per_step,avg_reward_per_token
baseline,gpt-4.1,gaia-level-1-10,10,1.0,9,0,0.1,1.0,10,3268,959,4227,0.1,0.1,0.0002365744026496
baseline,gpt-4.1,gaia-level-2-10,10,2.0,8,0,0.2,2.0,10,2952,1002,3954,0.2,0.2,0.0005058168942842
baseline,gpt-4.1,gaia-level-3-10,10,0.0,10,0,0.0,0.0,10,3197,1402,4599,0.0,0.0,0.0
baseline,gpt-4.1,gaia-test-10,10,0.0,10,1,0.0,0.0,10,2896,802,3698,0.0,0.0,0.0
baseline,gpt-4.1-mini,gaia-level-1-10,10,1.0,9,0,0.1,1.0,10,3268,1276,4544,0.1,0.1,0.0002200704225352
baseline,gpt-4.1-mini,gaia-level-2-10,10,2.0,8,0,0.2,2.0,11,3546,1487,5033,0.2,0.1818181818181818,0.0003973773097556
baseline,gpt-4.1-mini,gaia-level-3-10,10,1.0,9,0,0.1,1.0,11,4096,1782,5878,0.1,0.0909090909090909,0.0001701258931609
baseline,gpt-4.1-mini,gaia-test-10,10,0.0,10,0,0.0,0.0,11,3481,1144,4625,0.0,0.0,0.0
react,gpt-4.1,gaia-level-1-10,10,2.0,8,0,0.2,2.0,37,21714,2807,24521,0.2,0.054054054054054,8.156274213939073e-05
react,gpt-4.1,gaia-level-2-10,10,3.0,7,0,0.3,3.0,28,42034,2280,44314,0.3,0.1071428571428571,6.769869567179673e-05
react,gpt-4.1,gaia-level-3-10,10,0.0,10,0,0.0,0.0,32,27451,2287,29738,0.0,0.0,0.0
react,gpt-4.1,gaia-test-10,10,2.0,8,0,0.2,2.0,44,93322,4194,97516,0.2,0.0454545454545454,2.0509454858689857e-05
react,gpt-4.1,gaia-test-10,10,1.0,9,0,0.1,1.0,42,76662,4499,81161,0.1,0.023809523809523808,1.2321188748290436e-05
react,gpt-4.1-mini,gaia-level-1-10,10,3.0,7,0,0.3,3.0,24,12344,1853,14197,0.3,0.125,0.0002113122490667
react,gpt-4.1-mini,gaia-level-3-10,10,0.0,10,0,0.0,0.0,34,67537,3424,70961,0.0,0.0,0.0
react,gpt-4.1-mini,gaia-test-10,10,2.0,8,1,0.2,2.0,47,183647,5789,189436,0.2,0.0425531914893617,1.0557655355898564e-05
