step_id,plan,thought,action,task,feedback,location,description,inventory,score,reward,is_done,error
0,,,,"Welcome to TextWorld! First stop, look and see that the portal is wide open. And then, make an attempt to go east. Then, open the door. After opening the door, go south. And then, attempt to go west. And then, try to travel south. Once you get through with that, travel east. Following that, recover the key from the floor of the studio. And if you do that, you're the winner!",,Cookhouse,"You've moved into a typical room. Your mind races to think of what kind of room would be typical. And then it hits you. Of course. You're in the cookhouse. You decide to start listing off everything you see in the room, as if you were in a text adventure.

You can make out an opened fridge. The fridge is empty, what a horrible day!

There is a closed portal leading east. There is an open gate leading west.",You are carrying nothing.,0 of 1,0.0,False,
1,,I should look around to confirm the portal is wide open as the task suggests.,look,,"-= Cookhouse =-
You've moved into a typical room. Your mind races to think of what kind of room would be typical. And then it hits you. Of course. You're in the cookhouse. You decide to start listing off everything you see in the room, as if you were in a text adventure.

You can make out an opened fridge. The fridge is empty, what a horrible day!

There is a closed portal leading east. There is an open gate leading west.",Cookhouse,"You've moved into a typical room. Your mind races to think of what kind of room would be typical. And then it hits you. Of course. You're in the cookhouse. You decide to start listing off everything you see in the room, as if you were in a text adventure.

You can make out an opened fridge. The fridge is empty, what a horrible day!

There is a closed portal leading east. There is an open gate leading west.",You are carrying nothing.,0 of 1,0.0,False,
2,,"The portal is closed, so I should try to open the portal leading east.",open portal,,You open portal.,Cookhouse,"You've moved into a typical room. Your mind races to think of what kind of room would be typical. And then it hits you. Of course. You're in the cookhouse. You decide to start listing off everything you see in the room, as if you were in a text adventure.

You can make out an opened fridge. The fridge is empty, what a horrible day!

There is an open portal leading east. There is an open gate leading west.",You are carrying nothing.,0 of 1,0.0,False,
3,,"Now that the portal is open, I should go east through the portal.",go east,,"-= Cubicle =-
You arrive in a cubicle. A typical one.



There is a closed door leading south. There is an open portal leading west.",Cubicle,"You arrive in a cubicle. A typical one.



There is a closed door leading south. There is an open portal leading west.",You are carrying nothing.,0 of 1,0.0,False,
4,,I should open the closed door leading south in the cubicle.,open door,,You open door.,Cubicle,"You arrive in a cubicle. A typical one.



There is an open door leading south. There is an open portal leading west.",You are carrying nothing.,0 of 1,0.0,False,
5,,I should go south through the open door.,go south,,"-= Office =-
A laminated placard tells you that you are now in the office.

You can see a mantle. The mantle is usual. On the mantle you see a nest of shrimp.

There is an open door leading north. You need an unblocked exit? You should try going south. You don't like doors? Why not try going west, that entranceway is unblocked.",Office,"A laminated placard tells you that you are now in the office.

You can see a mantle. The mantle is usual. On the mantle you see a nest of shrimp.

There is an open door leading north. You need an unblocked exit? You should try going south. You don't like doors? Why not try going west, that entranceway is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
6,,I should try to go west through the unblocked entranceway.,go west,,"-= Parlor =-
You find yourself in a parlor. An usual kind of place.

You bend down to tie your shoe. When you stand up, you notice a box. Make a note of this, you might have to put stuff on or in it later on. You make out a safe. You can see a mantelpiece. But oh no! there's nothing on this piece of garbage. You can make out a bar. You shudder, but continue examining the bar. The bar is standard. The bar appears to be empty. What, you think everything in TextWorld should have stuff on it?

You don't like doors? Why not try going east, that entranceway is unguarded. You need an unguarded exit? You should try going south.",Parlor,"You find yourself in a parlor. An usual kind of place.

You bend down to tie your shoe. When you stand up, you notice a box. Make a note of this, you might have to put stuff on or in it later on. You make out a safe. You can see a mantelpiece. But oh no! there's nothing on this piece of garbage. You can make out a bar. You shudder, but continue examining the bar. The bar is standard. The bar appears to be empty. What, you think everything in TextWorld should have stuff on it?

You don't like doors? Why not try going east, that entranceway is unguarded. You need an unguarded exit? You should try going south.",You are carrying nothing.,0 of 1,0.0,False,
7,,I should go south from the parlor as suggested to continue exploring.,go south,,"-= Garage =-
You are in a garage. A standard one.



You don't like doors? Why not try going east, that entranceway is unblocked. You need an unblocked exit? You should try going north. You need an unblocked exit? You should try going south.",Garage,"You are in a garage. A standard one.



You don't like doors? Why not try going east, that entranceway is unblocked. You need an unblocked exit? You should try going north. You need an unblocked exit? You should try going south.",You are carrying nothing.,0 of 1,0.0,False,
8,,I should try to go east through the unblocked entranceway in the garage.,go east,,"-= Studio =-
You arrive in a studio. A standard one. You try to gain information on your surroundings by using a technique you call ""looking.""



There is an unguarded exit to the north. You need an unblocked exit? You should try going south. There is an unblocked exit to the west.

There is a key on the floor.",Studio,"You arrive in a studio. A standard one. You try to gain information on your surroundings by using a technique you call ""looking.""



There is an unguarded exit to the north. You need an unblocked exit? You should try going south. There is an unblocked exit to the west.

There is a key on the floor.",You are carrying nothing.,0 of 1,0.0,False,
9,,I should take the key from the floor in the studio to complete the task.,take key from floor,,"You pick up the key from the ground.



Your score has just gone up by one point.


                               *** The End ***

You scored 1 out of a possible 1, in 10 turns.


Would you like to RESTART, RESTORE a saved game, QUIT or UNDO the last command?
>",Studio,"You arrive in a studio. A standard one. You try to gain information on your surroundings by using a technique you call ""looking.""



There is an unguarded exit to the north. You need an unblocked exit? You should try going south. There is an unblocked exit to the west.",You are carrying: a key.,1 of 1,1.0,True,
