step_id,memory,thought,action,task,feedback,location,description,inventory,score,reward,is_done,error
0,,,,"Hey, thanks for coming over to the TextWorld today, there is something I need you to do for me. First step, try to go to the south. That done, make an effort to travel east. Then, travel south. And then, make an effort to head east. Okay, and then, make an attempt to venture north. After that, take a trip north. Then, take a trip west. Then, make an attempt to travel south. And then, make an effort to venture east. After that, make an effort to venture east. Next, attempt to go to the south. And then, attempt to head east. Then, attempt to move south. Okay, and then, try to go to the east. With that done, venture south. Okay, and then, make an effort to take a trip west. And then, go to the west. Then, try to travel north. Following that, try to go north. Then, try to travel west. With that accomplished, venture north. Once you accomplish that, make an effort to venture north. After that, try to move west. After that, make an effort to move west. Then, make an effort to travel west. And then, try to move south. Then, venture south. And then, move west. And then, venture north. And then, retrieve the coin from the floor of the cookery. Got that? Good!",,Still Workshop,"You arrive in a workshop. A still one.



There is an unblocked exit to the south.",You are carrying nothing.,0 of 1,0.0,False,
1,"- Starting location is Still Workshop.
- There is an unblocked exit to the south.
- Task involves a complex sequence of movements ending with retrieving a coin from the cookery floor.",I will start by going south as the first step instructs.,go south,,"You find yourself in a dish-pit. An ordinary one. Okay, just remember what you're here to do, and everything will go great.



You don't like doors? Why not try going east, that entranceway is unguarded. There is an unguarded exit to the north.",Dish-Pit,"You find yourself in a dish-pit. An ordinary one. Okay, just remember what you're here to do, and everything will go great.



You don't like doors? Why not try going east, that entranceway is unguarded. There is an unguarded exit to the north.",You are carrying nothing.,0 of 1,0.0,False,
2,"- Starting location is Still Workshop.
- Went south to Dish-Pit.
- Dish-Pit has unguarded exits north and east.
- Next step is to go east from Dish-Pit.",I should go east from the Dish-Pit as instructed.,go east,,"You've just sauntered into a laundromat.



There is an unblocked exit to the south. There is an unguarded exit to the west.",Laundromat,"You've just sauntered into a laundromat.



There is an unblocked exit to the south. There is an unguarded exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
3,"- Starting location is Still Workshop.
- Went south to Dish-Pit.
- Went east to Laundromat.
- Laundromat has unblocked exit south and unguarded exit west.
- Next step is to go south from Laundromat.",I should go south from the Laundromat as instructed.,go south,,"This might come as a shock to you, but you've just walked into a shower.



You need an unguarded exit? You should try going east. There is an unguarded exit to the north.",Shower,"This might come as a shock to you, but you've just walked into a shower.



You need an unguarded exit? You should try going east. There is an unguarded exit to the north.",You are carrying nothing.,0 of 1,0.0,False,
4,"- Starting location is Still Workshop.
- Went south to Dish-Pit.
- Went east to Laundromat.
- Went south to Shower.
- Shower has unguarded exits east and north.
- Next step is to go east from Shower.",I should go east from the Shower as instructed.,go east,,"You're now in a spare room.



You need an unblocked exit? You should try going north. You don't like doors? Why not try going west, that entranceway is unguarded.",Spare Room,"You're now in a spare room.



You need an unblocked exit? You should try going north. You don't like doors? Why not try going west, that entranceway is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
5,"- Starting location is Still Workshop.
- Went south to Dish-Pit.
- Went east to Laundromat.
- Went south to Shower.
- Went east to Spare Room.
- Spare Room has unblocked exit north and unguarded exit west.
- Next step is to go north from Spare Room.",I should go north from the Spare Room as instructed.,go north,,"You are in a study. A serious kind of place.



You need an unblocked exit? You should try going north. There is an exit to the south. Don't worry, it is unguarded.",Serious Study,"You are in a study. A serious kind of place.



You need an unblocked exit? You should try going north. There is an exit to the south. Don't worry, it is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
6,"- Starting location is Still Workshop.
- Went south to Dish-Pit.
- Went east to Laundromat.
- Went south to Shower.
- Went east to Spare Room.
- Went north to Serious Study.
- Serious Study has unblocked exit north and unguarded exit south.
- Next step is to go north from Serious Study.",I should go north from the Serious Study as instructed.,go north,,"You find yourself in a sauna. An usual one.



There is an unguarded exit to the south. There is an exit to the west. Don't worry, it is unguarded.",Sauna,"You find yourself in a sauna. An usual one.



There is an unguarded exit to the south. There is an exit to the west. Don't worry, it is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
7,"- Starting location is Still Workshop.
- Went south to Dish-Pit.
- Went east to Laundromat.
- Went south to Shower.
- Went east to Spare Room.
- Went north to Serious Study.
- Went north to Sauna.
- Sauna has unguarded exits south and west.
- Next step is to go west from Sauna.",I should go west from the Sauna as instructed.,go west,,"You are in a bar. A typical kind of place. Let's see what's in here.



You need an unblocked exit? You should try going east. There is an exit to the south. Don't worry, it is unblocked.",Bar,"You are in a bar. A typical kind of place. Let's see what's in here.



You need an unblocked exit? You should try going east. There is an exit to the south. Don't worry, it is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
8,"- Starting location is Still Workshop.
- Went south to Dish-Pit.
- Went east to Laundromat.
- Went south to Shower.
- Went east to Spare Room.
- Went north to Serious Study.
- Went north to Sauna.
- Went west to Bar.
- Bar has unblocked exits east and south.
- Next step is to go south from Bar.",I should go south from the Bar as instructed.,go south,,"You've just walked into a steam room.



There is an unguarded exit to the east. There is an unblocked exit to the north.",Steam Room,"You've just walked into a steam room.



There is an unguarded exit to the east. There is an unblocked exit to the north.",You are carrying nothing.,0 of 1,0.0,False,
9,"- Starting location is Still Workshop.
- Went south to Dish-Pit.
- Went east to Laundromat.
- Went south to Shower.
- Went east to Spare Room.
- Went north to Serious Study.
- Went north to Sauna.
- Went west to Bar.
- Went south to Steam Room.
- Steam Room has unguarded exit east and unblocked exit north.
- Next step is to go east from Steam Room.",I should go east from the Steam Room as instructed.,go east,,"You've entered a cubicle.



You don't like doors? Why not try going east, that entranceway is unblocked. You don't like doors? Why not try going west, that entranceway is unblocked.",Cubicle,"You've entered a cubicle.



You don't like doors? Why not try going east, that entranceway is unblocked. You don't like doors? Why not try going west, that entranceway is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
