level,sublevel,average_depth,count
1,1,4.0,10
1,2,5.0,10
2,1,5.6,10
2,2,8.0,10
2,3,6.0,10
3,1,8.8,10
3,2,9.4,10
3,3,9.4,10
4,1,16.0,10
4,2,18.3,10
4,3,18.3,10
5,1,22.0,10
5,2,25.7,10
5,3,26.3,10
5,4,26.9,10
6,1,28.0,10
6,2,32.3,10
6,3,33.1,10
6,4,33.9,10
6,5,34.7,10
7,1,34.0,10
7,2,38.9,10
7,3,39.3,10
7,4,40.4,10
7,5,41.0,10
7,6,41.9,10
8,1,39.9,10
8,2,40.3,10
8,3,41.4,10
8,4,42.0,10
8,5,42.9,10
9,1,49.6,10
9,2,52.9,10
9,3,53.4,10
9,4,56.1,10
9,5,59.2,10
10,1,56.1,10
10,2,57.5,10
10,3,60.0,10
10,4,64.7,10
10,5,68.5,10
