step_id,plan,thought,action,task,feedback,location,description,inventory,score,reward,is_done,error
0,,,,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",,Kitchen,"You've just shown up in a kitchen.

You can make out a fridge. You check the price tag that hangs off the fridge. Thirty dollars?! That's ridiculous! Did you ever meet my pal, they work for the government? I'm sure my friend could get you one of those for 80 bucks! You can make out an oven. You can see a table. The table is massive. But there isn't a thing on it. You can see a counter. The counter is vast. On the counter you can make out a raw purple potato, a red apple, a banana, a raw red potato, a red onion, a raw yellow potato, a cookbook and a knife. Wow! Just like in the movies! You see a stove. However, the stove, like an empty stove, has nothing on it.",You are carrying nothing.,0 of 14,0.0,False,
1,"1. [ ] Examine the cookbook to find a recipe.
2. [ ] Take the knife from the counter.
3. [ ] Take necessary ingredients from the counter.
4. [ ] Prepare and cook the meal according to the recipe.
5. [ ] Eat the meal.",I should start by examining the cookbook to find a recipe for a delicious meal.,examine cookbook,,"You open the copy of ""Cooking: A Modern Approach (3rd Ed.)"" and start reading:

Recipe #1
---------
Gather all following ingredients and follow the directions to prepare this tasty meal.

Ingredients:
purple potato
  pork chop
  red apple
  banana

Directions:
dice the purple potato
  roast the purple potato
  slice the pork chop
  fry the pork chop
  slice the red apple
  fry the red apple
  slice the banana
  fry the banana
  prepare meal",Kitchen,"You've just shown up in a kitchen.

You can make out a fridge. You check the price tag that hangs off the fridge. Thirty dollars?! That's ridiculous! Did you ever meet my pal, they work for the government? I'm sure my friend could get you one of those for 80 bucks! You can make out an oven. You can see a table. The table is massive. But there isn't a thing on it. You can see a counter. The counter is vast. On the counter you can make out a raw purple potato, a red apple, a banana, a raw red potato, a red onion, a raw yellow potato, a cookbook and a knife. Wow! Just like in the movies! You see a stove. However, the stove, like an empty stove, has nothing on it.",You are carrying nothing.,0 of 14,0.0,False,
2,"1. [x] Examine the cookbook to find a recipe.
2. [ ] Take the knife from the counter.
3. [ ] Take the purple potato, red apple, and banana from the counter.
4. [ ] Dice the purple potato with the knife.
5. [ ] Roast the purple potato.
6. [ ] Slice the red apple and banana with the knife.
7. [ ] Fry the red apple and banana.
8. [ ] Prepare the meal.
9. [ ] Eat the meal.",I need to take the knife first to prepare the ingredients.,take knife from counter,,You take the knife from the counter.,Kitchen,"You've just shown up in a kitchen.

You can make out a fridge. You check the price tag that hangs off the fridge. Thirty dollars?! That's ridiculous! Did you ever meet my pal, they work for the government? I'm sure my friend could get you one of those for 80 bucks! You can make out an oven. You can see a table. The table is massive. But there isn't a thing on it. You can see a counter. The counter is vast. On the counter you can make out a raw purple potato, a red apple, a banana, a raw red potato, a red onion, a raw yellow potato and a cookbook. Wow! Just like in the movies! You see a stove. However, the stove, like an empty stove, has nothing on it.",You are carrying: a knife.,0 of 14,0.0,False,
3,"1. [x] Take the knife from the counter.
2. [ ] Take the purple potato, red apple, and banana from the counter.
3. [ ] Dice the purple potato with the knife.
4. [ ] Roast the purple potato.
5. [ ] Slice the red apple and banana with the knife.
6. [ ] Fry the red apple and banana.
7. [ ] Prepare the meal.
8. [ ] Eat the meal.","I should take the purple potato, red apple, and banana from the counter to start preparing the meal.",take purple potato from counter,,"You take the purple potato from the counter.



Your score has just gone up by one point.",Kitchen,"You've just shown up in a kitchen.

You can make out a fridge. You check the price tag that hangs off the fridge. Thirty dollars?! That's ridiculous! Did you ever meet my pal, they work for the government? I'm sure my friend could get you one of those for 80 bucks! You can make out an oven. You can see a table. The table is massive. But there isn't a thing on it. You can see a counter. The counter is vast. On the counter you can make out a red apple, a banana, a raw red potato, a red onion, a raw yellow potato and a cookbook. Wow! Just like in the movies! You see a stove. However, the stove, like an empty stove, has nothing on it.",You are carrying: a raw purple potato and a knife.,1 of 14,0.07142857142857142,False,
4,"1. [x] Take the knife from the counter.
2. [x] Take the purple potato from the counter.
3. [ ] Take the red apple and banana from the counter.
4. [ ] Dice the purple potato with the knife.
5. [ ] Roast the purple potato.
6. [ ] Slice the red apple and banana with the knife.
7. [ ] Fry the red apple and banana.
8. [ ] Prepare the meal.
9. [ ] Eat the meal.",I should take the red apple and banana from the counter next.,take red apple from counter,,"You take the red apple from the counter.



Your score has just gone up by one point.",Kitchen,"You've just shown up in a kitchen.

You can make out a fridge. You check the price tag that hangs off the fridge. Thirty dollars?! That's ridiculous! Did you ever meet my pal, they work for the government? I'm sure my friend could get you one of those for 80 bucks! You can make out an oven. You can see a table. The table is massive. But there isn't a thing on it. You can see a counter. The counter is vast. On the counter you can make out a banana, a raw red potato, a red onion, a raw yellow potato and a cookbook. Wow! Just like in the movies! You see a stove. However, the stove, like an empty stove, has nothing on it.","You are carrying: a red apple, a raw purple potato and a knife.",2 of 14,0.14285714285714285,False,
5,"1. [x] Take the knife from the counter.
2. [x] Take the purple potato from the counter.
3. [x] Take the red apple from the counter.
4. [ ] Take the banana from the counter.
5. [ ] Dice the purple potato with the knife.
6. [ ] Roast the purple potato.
7. [ ] Slice the red apple and banana with the knife.
8. [ ] Fry the red apple and banana.
9. [ ] Prepare the meal.
10. [ ] Eat the meal.",I should take the banana from the counter next.,take banana from counter,,"You take the banana from the counter.



Your score has just gone up by one point.",Kitchen,"You've just shown up in a kitchen.

You can make out a fridge. You check the price tag that hangs off the fridge. Thirty dollars?! That's ridiculous! Did you ever meet my pal, they work for the government? I'm sure my friend could get you one of those for 80 bucks! You can make out an oven. You can see a table. The table is massive. But there isn't a thing on it. You can see a counter. The counter is vast. On the counter you can make out a raw red potato, a red onion, a raw yellow potato and a cookbook. Wow! Just like in the movies! You see a stove. However, the stove, like an empty stove, has nothing on it.","You are carrying: a banana, a red apple, a raw purple potato and a knife.",3 of 14,0.21428571428571427,False,
6,"1. [x] Take the knife from the counter.
2. [x] Take the purple potato from the counter.
3. [x] Take the red apple from the counter.
4. [x] Take the banana from the counter.
5. [ ] Dice the purple potato with the knife.
6. [ ] Roast the purple potato.
7. [ ] Slice the red apple and banana with the knife.
8. [ ] Fry the red apple and banana.
9. [ ] Prepare the meal.
10. [ ] Eat the meal.",I should dice the purple potato with the knife now.,dice purple potato with knife,,"You dice the purple potato.



Your score has just gone up by one point.",Kitchen,"You've just shown up in a kitchen.

You can make out a fridge. You check the price tag that hangs off the fridge. Thirty dollars?! That's ridiculous! Did you ever meet my pal, they work for the government? I'm sure my friend could get you one of those for 80 bucks! You can make out an oven. You can see a table. The table is massive. But there isn't a thing on it. You can see a counter. The counter is vast. On the counter you can make out a raw red potato, a red onion, a raw yellow potato and a cookbook. Wow! Just like in the movies! You see a stove. However, the stove, like an empty stove, has nothing on it.","You are carrying: a banana, a red apple, a diced raw purple potato and a knife.",4 of 14,0.2857142857142857,False,
7,"1. [x] Take the knife from the counter.
2. [x] Take the purple potato from the counter.
3. [x] Take the red apple from the counter.
4. [x] Take the banana from the counter.
5. [x] Dice the purple potato with the knife.
6. [ ] Roast the purple potato.
7. [ ] Slice the red apple and banana with the knife.
8. [ ] Fry the red apple and banana.
9. [ ] Prepare the meal.
10. [ ] Eat the meal.",I should roast the diced purple potato now.,roast diced purple potato,,That's not a verb I recognise.,Kitchen,"You've just shown up in a kitchen.

You can make out a fridge. You check the price tag that hangs off the fridge. Thirty dollars?! That's ridiculous! Did you ever meet my pal, they work for the government? I'm sure my friend could get you one of those for 80 bucks! You can make out an oven. You can see a table. The table is massive. But there isn't a thing on it. You can see a counter. The counter is vast. On the counter you can make out a raw red potato, a red onion, a raw yellow potato and a cookbook. Wow! Just like in the movies! You see a stove. However, the stove, like an empty stove, has nothing on it.","You are carrying: a banana, a red apple, a diced raw purple potato and a knife.",4 of 14,0.2857142857142857,False,
8,"1. [x] Take the knife from the counter.
2. [x] Take the purple potato from the counter.
3. [x] Take the red apple from the counter.
4. [x] Take the banana from the counter.
5. [x] Dice the purple potato with the knife.
6. [ ] Put the diced purple potato into the oven to roast it.
7. [ ] Slice the red apple and banana with the knife.
8. [ ] Fry the red apple and banana.
9. [ ] Prepare the meal.
10. [ ] Eat the meal.",I should put the diced purple potato into the oven to roast it.,put diced purple potato into oven,,The oven is closed.,Kitchen,"You've just shown up in a kitchen.

You can make out a fridge. You check the price tag that hangs off the fridge. Thirty dollars?! That's ridiculous! Did you ever meet my pal, they work for the government? I'm sure my friend could get you one of those for 80 bucks! You can make out an oven. You can see a table. The table is massive. But there isn't a thing on it. You can see a counter. The counter is vast. On the counter you can make out a raw red potato, a red onion, a raw yellow potato and a cookbook. Wow! Just like in the movies! You see a stove. However, the stove, like an empty stove, has nothing on it.","You are carrying: a banana, a red apple, a diced raw purple potato and a knife.",4 of 14,0.2857142857142857,False,
9,"1. [x] Take the knife from the counter.
2. [x] Take the purple potato from the counter.
3. [x] Take the red apple from the counter.
4. [x] Take the banana from the counter.
5. [x] Dice the purple potato with the knife.
6. [ ] Open the oven.
7. [ ] Put the diced purple potato into the oven to roast it.
8. [ ] Slice the red apple and banana with the knife.
9. [ ] Fry the red apple and banana.
10. [ ] Prepare the meal.
11. [ ] Eat the meal.",I need to open the oven first before putting the diced purple potato inside.,open oven,,You open the oven.,Kitchen,"You've just shown up in a kitchen.

You can make out a fridge. You check the price tag that hangs off the fridge. Thirty dollars?! That's ridiculous! Did you ever meet my pal, they work for the government? I'm sure my friend could get you one of those for 80 bucks! You can make out an oven. The oven is empty, what a horrible day! You can see a table. The table is massive. But there isn't a thing on it. You can see a counter. The counter is vast. On the counter you can make out a raw red potato, a red onion, a raw yellow potato and a cookbook. Wow! Just like in the movies! You see a stove. However, the stove, like an empty stove, has nothing on it.","You are carrying: a banana, a red apple, a diced raw purple potato and a knife.",4 of 14,0.2857142857142857,False,
